player_id,game_id,team_id,opponent_id,is_home,game_date,shots_on_goal,d5_sog_per60,d10_sog_per60,d20_sog_per60,team_d10_sf_per_game,opp_d10_sf_allowed_per_game,pace_matchup_index,role_pp_share,rest_days,b2b_flag,season,attempts_d10_per60,last10_team_sog_share,hot_last5_flag,num_shotwasongoal_last5,num_shotwasongoal_last10,num_shotwasongoal_season_to_date,num_event_shot_last5,num_event_shot_last10,num_event_shot_season_to_date,team_num_event_shot_for_last10,team_num_shotwasongoal_for_last10,szn_toi_per_game_5on5,szn_toi_per_game_pp,szn_toi_per_game_pk,szn_shifts_per_game_5on5,szn_shifts_per_game_pp,szn_shifts_per_game_pk,season_5on5_icetime_per_game,season_5on4_icetime_per_game,season_4on5_icetime_per_game,season_5on5_shifts_per_game,season_5on4_shifts_per_game,season_4on5_shifts_per_game,num_sog_last5,num_sog_last10,num_sog_szn_to_date,num_event_last5,num_event_last10,num_event_szn_to_date,team_num_sog_last10,team_num_event_last10,pace_index,d3_toi_min_avg,d5_toi_min_avg,d10_toi_min_avg,d20_toi_min_avg,d10_toi_min_sd,d10_toi_cv,toi_trend_3v10,toi_hist_games,toi_missing_flag,toi_hist_ok,opp_d10_sf_per60,team_d10_sa_per60,opp_d10_sa_per60
8475784,2024020833,22,10,t,2025-02-01,3,12.95250747260046496200,10.49820425453540841720,8.19224467504096122360,,,0.00000000000000000000,0.00000000000000000000,7,f,2024,16.02357491481720232080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8475786,2024020833,22,10,t,2025-02-01,3,13.05834801533837703360,9.79373794331503190400,8.90610848344570796040,,,0.00000000000000000000,0.00000000000000000000,5,f,2024,13.35509719542958896000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8475791,2024020832,12,26,t,2025-02-01,0,2.61780104712041884800,4.49236298292902066460,5.67405695071976463180,31.8888888888888889,,0.54855567114709525932,0.00000000000000000000,7,f,2024,8.53548966756513926340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8475799,2024020831,52,15,f,2025-02-01,0,3.05693542223920519680,6.78519821574417289680,7.49630116718724313680,,30.6666666666666667,0.52753088932612645186,0.00000000000000000000,4,f,2024,9.80084186718602751780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8475810,2024020830,5,18,t,2025-02-01,2,7.60018424689083371700,7.43494423791821561340,7.44341485644842776860,32.4444444444444444,26.2222222222222222,1.00918952740650277522,0.00000000000000000000,9,f,2024,12.39157372986369268920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8475842,2024020827,3,6,f,2025-02-01,0,5.38793103448275862080,7.45283751261548016480,6.20629732301708800500,24.6666666666666667,,0.42431832402318866791,0.00000000000000000000,6,f,2024,8.85024454623088269540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.407,7.407,6.414
8475906,2024020833,22,10,t,2025-02-01,1,3.20684126135756280060,3.20684126135756280060,3.20684126135756280060,,,0.00000000000000000000,0.00000000000000000000,448,f,2024,3.20684126135756280060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8476331,2024020831,52,15,f,2025-02-01,1,2.25119594784729387480,2.51654394631372914540,2.36351839836870887040,,30.6666666666666667,0.52753088932612645186,0.00000000000000000000,4,f,2024,5.31270388666231708440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8476389,2024020827,3,6,f,2025-02-01,3,9.04159132007233273080,8.89952153110047846900,7.96237660644440305440,24.6666666666666667,,0.42431832402318866791,0.00000000000000000000,6,f,2024,13.49282296650717703320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.407,7.407,6.414
8476399,2024020834,20,17,t,2025-02-01,3,11.23100638625853336240,10.31925185424056755860,9.27802068891969713100,29.5555555555555556,,0.50841745130706389947,0.00000000000000000000,4,f,2024,16.44630764269590454680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8476419,2024020829,2,14,f,2025-02-01,0,5.30169149204746276200,4.13689356901090635600,6.07212953876349362100,,28.5555555555555556,0.49121535708990760214,0.00000000000000000000,4,f,2024,5.64121850319669048540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8476459,2024020827,3,6,f,2025-02-01,4,8.83152173913043478280,8.06581706726891434080,7.79371528065666196860,24.6666666666666667,,0.42431832402318866791,0.00000000000000000000,6,f,2024,13.22793999032101951920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.407,7.407,6.414
8476460,2024020831,52,15,f,2025-02-01,0,5.53675792063980313740,7.58571862041064023480,7.21352536005009392640,,30.6666666666666667,0.52753088932612645186,0.00000000000000000000,4,f,2024,10.62000606857489632860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8476468,2024020827,3,6,f,2025-02-01,6,10.75027995520716685320,8.69514810735609529860,8.35702103467879476960,24.6666666666666667,,0.42431832402318866791,0.00000000000000000000,5,f,2024,11.47759550171004579420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.407,7.407,6.414
8476473,2024020826,16,13,f,2025-02-01,1,2.91999221335409772240,5.12163892445582586420,4.07303370786516853920,,27.3333333333333333,0.47019057526893879296,0.00000000000000000000,34,f,2024,7.11338739507753592260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
