full_name,team,game_id,p_over_0.5,p_over_1.5,p_over_2.5,p_over_3.5,player_id
Kyle Palmieri,NYI,2025020127,0.8849794679762667,0.6362309323753463,0.3672535903524681,0.17335278916272,8475151
Casey Cizikas,NYI,2025020127,0.8912769872435322,0.6500258625632559,0.3823635540790944,0.1843869671567408,8475231
Nicolas Deslauriers,PHI,2025020127,0.9249496789171362,0.7305996344205263,0.4789555424909935,0.2617366607320243,8475235
Anders Lee,NYI,2025020127,0.9292879353504592,0.7419618418163745,0.4938354047461437,0.2747282580884902,8475314
Jean-Gabriel Pageau,NYI,2025020127,0.8657974087166981,0.5962642875228429,0.3255984876831762,0.1443963287342683,8476419
Sean Couturier,PHI,2025020127,0.8959314731473057,0.660455025830737,0.3940480778429014,0.1931145726169927,8476461
Anthony Duclair,NYI,2025020127,0.8768142408498284,0.6188556451217203,0.3487650211361275,0.1602361993975773,8477407
Jonathan Drouin,NYI,2025020127,0.8634683080061367,0.5916066055856307,0.3209412964415175,0.1412918425174216,8477494
Bo Horvat,NYI,2025020127,0.901803768354418,0.6739111874296393,0.4094660678449842,0.2048924305978083,8477500
Garnet Hathaway,PHI,2025020127,0.8807337180235295,0.6271262989050601,0.3574913192357023,0.1663743492511276,8477903
Christian Dvorak,PHI,2025020127,0.8643097642635368,0.5932847103623542,0.3226146085548753,0.1424041988334103,8477989
Travis Konecny,PHI,2025020127,0.8892483950780339,0.6455433228043486,0.3774110357202513,0.180739097500847,8478439
Mathew Barzal,NYI,2025020127,0.8951106132387544,0.6586008903137303,0.3919540408789159,0.191537918631933,8478445
Rodrigo Abols,PHI,2025020127,0.9044914965942026,0.6801859565250261,0.4167906905979976,0.2105925851287834,8479022
Owen Tippett,PHI,2025020127,0.91863602480508,0.7145082393873657,0.4584480316620307,0.2443114803961329,8480015
Noah Cates,PHI,2025020127,0.8575997035297205,0.5800454062729498,0.3095530342933097,0.1338129502273208,8480220
Kyle MacLean,NYI,2025020127,0.9000061372360412,0.6697556223971483,0.4046628551104154,0.2011912137493846,8481237
Trevor Zegras,PHI,2025020127,0.8609128609108782,0.5865419702956288,0.3159224647467764,0.1379761901030309,8481533
Bobby Brink,PHI,2025020127,0.8660022285167832,0.5966758049587246,0.3260118915828967,0.1446731947552153,8481553
Simon Holmstrom,NYI,2025020127,0.8635112746591589,0.5916921674828782,0.3210264885353959,0.1413483917767533,8481601
Tyson Foerster,PHI,2025020127,0.8850002061378797,0.6362757835187913,0.3673020909164768,0.1733877537816773,8482159
Emil Heineman,NYI,2025020127,0.8904478522222009,0.6481892054529645,0.3803293180617144,0.1828849193303106,8482476
Nikita Grebenkin,PHI,2025020127,0.8898976646502332,0.6469739248864841,0.3789871326293534,0.1818966907370113,8483733
Matvei Michkov,PHI,2025020127,0.9266099737704846,0.7349176298812776,0.484570569159287,0.2666044624956357,8484387
Jett Luchanko,PHI,2025020127,0.8423799709583006,0.5511662457048355,0.282147662560289,0.1164709520638781,8484779
Maxim Tsyplakov,NYI,2025020127,0.8925414554289877,0.6528390381860057,0.3854929231725139,0.1867077070841964,8484958
Max Shabanov,NYI,2025020127,0.8899559611707942,0.6471025625605809,0.3791290592067653,0.1820010829306355,8485702
Brock Nelson,COL,2025020128,0.8785558071190406,0.6225149618845892,0.3526094486064377,0.1629288111773176,8475754
Sean Kuraly,BOS,2025020128,0.8976242010909756,0.6642990127685731,0.3984127189089121,0.196418464250215,8476374
Gabriel Landeskog,COL,2025020128,0.90864531840038,0.6900330401861932,0.4284628209638663,0.2198164748912026,8476455
Artturi Lehkonen,COL,2025020128,0.901694798233328,0.6736583513821233,0.4091727485960867,0.2046655742766012,8477476
Nathan MacKinnon,COL,2025020128,0.9398578185903272,0.7707955106227329,0.5331747317833685,0.3105205903802706,8477492
Elias Lindholm,BOS,2025020128,0.878023643427861,0.6213941652014223,0.3514291861449106,0.1621002220143087,8477496
Valeri Nichushkin,COL,2025020128,0.8891629608539178,0.6453553606956979,0.3772042699011921,0.1805874637321201,8477501
David Pastrnak,BOS,2025020128,0.9099880398341996,0.6932560965872758,0.432331130965681,0.222911646648858,8477956
Viktor Arvidsson,BOS,2025020128,0.9350135568605906,0.7573681367122754,0.5145644550892233,0.2933236344309013,8478042
Victor Olofsson,COL,2025020128,0.9274957628230008,0.7372366490651765,0.4876062014022075,0.2692535938464098,8478109
Pavel Zacha,BOS,2025020128,0.8515224722134638,0.5683280674091847,0.2982566562399782,0.1265523054629074,8478401
Ross Colton,COL,2025020128,0.9239179383094728,0.7279349021697942,0.4755143604476137,0.2587740712935122,8479525
Michael Eyssimont,BOS,2025020128,0.9461494359701408,0.7888227298206978,0.5590044083811233,0.3351964181507643,8479591
Tanner Jeannot,BOS,2025020128,0.8917256197608777,0.651022283384437,0.3834700886048654,0.1852061786012426,8479661
Jeffrey Viel,BOS,2025020128,0.9098905650020452,0.6930214482050605,0.4320486997832566,0.2226850171322568,8479705
Morgan Geekie,BOS,2025020128,0.8818432589125806,0.6294908000434271,0.3600107732957684,0.1681640597974006,8479987
Casey Mittelstadt,BOS,2025020128,0.8510587621685631,0.5674443465500674,0.2974145753538081,0.1260173700476973,8479999
Martin Necas,COL,2025020128,0.9021358413258188,0.674682420334662,0.4103616545841388,0.205585758336912,8480039
Mark Kastelic,BOS,2025020128,0.938968087700712,0.7683009871259229,0.5296777970497935,0.3072524764487063,8480355
Parker Kelly,COL,2025020128,0.8978319874823405,0.6647727907671332,0.3989528543944391,0.1968289889585737,8480448
