game_date,player_id,team_id,opponent_id,is_home,y_saves,d10_shots_faced_per60,d10_save_pct,team_d10_sf_per_game,opp_d10_sf_allowed_per_game,pace_index,rest_days,b2b_flag,d5_saves_per60,d10_saves_per60,d5_shots_faced_per60,season_save_pct
2023-10-03,8475809,10,9,t,8,33.000000000000000000000,0.86363636363636363636,27.0000000000000000,27.0000000000000000,27.00000000000000000000000000000000,2,f,28.500,28.500,33.000,0.86363636363636363636
2023-10-05,8478492,28,11,t,20,25.793650793650793650800,0.80769230769230769231,29.0000000000000000,28.3333333333333333,28.66472861665825479719529852991038,3,f,20.833,20.833,25.794,0.80769230769230769231
2023-10-05,8479312,11,28,f,34,33.685601056803170409600,0.94117647058823529412,25.6666666666666667,26.0000000000000000,25.83279569333008397839634949508688,1,t,31.704,31.704,33.686,0.94117647058823529412
2023-10-05,8479979,10,26,t,24,15.000000000000000000000,0.90000000000000000000,28.5000000000000000,39.0000000000000000,33.33916615633930338206453961701956,2,f,13.500,13.500,15.000,0.90000000000000000000
2023-10-05,8480280,3,20,f,22,24.729520865533230293400,0.87500000000000000000,17.0000000000000000,19.0000000000000000,17.97220075561142845760032673419902,2,f,21.638,21.638,24.730,0.87500000000000000000
2023-10-05,8480313,30,9,t,31,28.474576271186440678200,0.92857142857142857143,18.0000000000000000,28.5000000000000000,22.64950330581224909171005442083835,2,f,26.441,26.441,28.475,0.92857142857142857143
2023-10-05,8480382,9,30,f,22,25.974025974025974025800,0.89285714285714285714,27.5000000000000000,29.0000000000000000,28.24004249288587738402640965226758,2,f,23.191,23.191,25.974,0.89285714285714285714
2023-10-06,8475789,12,24,t,35,33.000000000000000000000,0.96969696969696969697,29.0000000000000000,14.0000000000000000,20.14944167960988441640651478913428,2,f,32.000,32.000,33.000,0.96969696969696969697
2023-10-06,8475831,24,12,f,22,13.443640124095139607000,0.76923076923076923077,33.0000000000000000,26.5000000000000000,29.57194616524248983639628505794766,2,f,10.341,10.341,13.444,0.76923076923076923077
2023-10-06,8477465,23,4,f,33,23.589743589743589743400,0.91304347826086956522,22.0000000000000000,33.0000000000000000,26.94438717061495908017012482176481,2,f,21.538,21.538,23.590,0.91304347826086956522
2023-10-06,8478009,19,17,t,27,27.000000000000000000000,0.72222222222222222222,18.0000000000000000,20.5000000000000000,19.20937271229854605946465302386544,1,t,19.500,19.500,27.000,0.72222222222222222222
2023-10-06,8481033,17,19,f,30,19.999999999999999999800,0.75000000000000000000,21.0000000000000000,27.0000000000000000,23.81176179958131531451454178275334,2,f,15.000,15.000,20.000,0.75000000000000000000
2023-10-07,8475311,32,6,t,21,18.814675446848541862800,0.80000000000000000000,39.5000000000000000,34.3333333333333333,36.82616823220502621167135557027029,2,f,15.052,15.052,18.815,0.80000000000000000000
2023-10-07,8475660,14,30,t,28,16.120906801007556675000,0.93750000000000000000,40.0000000000000000,31.5000000000000000,35.49647869859769625540396974936970,2,f,15.113,15.113,16.121,0.93750000000000000000
2023-10-07,8475683,13,27,t,19,22.000000000000000000200,0.90909090909090909091,52.0000000000000000,52.0000000000000000,52.00000000000000000000000000000000,2,f,20.000,20.000,22.000,0.90909090909090909091
2023-10-07,8475809,10,15,f,8,28.732415902140672783000,0.90000000000000000000,27.0000000000000000,29.0000000000000000,27.98213715926644513666342662696167,2,f,26.482,26.482,28.732,0.90000000000000000000
2023-10-07,8475852,8,26,f,18,19.000000000000000000200,0.89473684210526315789,30.6666666666666667,31.5000000000000000,31.08054053584010628395421214690372,2,f,17.000,17.000,19.000,0.89473684210526315789
2023-10-07,8476412,26,8,t,11,24.000000000000000000000,1.00000000000000000000,33.5000000000000000,26.3333333333333333,29.70129065658034102983836347076429,2,f,24.000,24.000,24.000,1.00000000000000000000
2023-10-07,8477992,27,13,f,27,25.000000000000000000200,1.00000000000000000000,19.0000000000000000,19.0000000000000000,19.00000000000000000000000000000000,2,f,25.000,25.000,25.000,1.00000000000000000000
2023-10-07,8478007,6,32,f,25,25.999999999999999999800,0.88461538461538461538,31.3333333333333333,21.0000000000000000,25.65151067676132011905177493875268,2,f,23.000,23.000,26.000,0.88461538461538461538
2023-10-07,8478024,11,28,t,21,28.112449799196787148400,0.92857142857142857143,25.0000000000000000,24.5000000000000000,24.74873734152916335402955267366972,2,f,26.104,26.104,28.112,0.92857142857142857143
2023-10-07,8478499,30,14,f,22,30.201342281879194630800,0.93333333333333333333,22.0000000000000000,16.0000000000000000,18.76166303929371821826252045417787,2,f,28.188,28.188,30.201,0.93333333333333333333
2023-10-07,8479979,10,15,f,11,21.696383302349163427500,0.86842105263157894737,27.0000000000000000,29.0000000000000000,27.98213715926644513666342662696167,2,f,18.918,18.918,21.696,0.86842105263157894737
2023-10-07,8480981,26,8,t,2,38.598273235144743524400,0.89473684210526315789,33.5000000000000000,26.3333333333333333,29.70129065658034102983836347076429,2,f,34.535,34.535,38.598,0.89473684210526315789
2023-10-10,8475831,24,30,f,24,20.019692402473101718500,0.84210526315789473684,34.5000000000000000,29.6666666666666667,31.99218654609278188950066694702032,4,f,16.873,16.873,20.020,0.84210526315789473684
2023-10-10,8475852,8,23,f,39,21.548192771084337349500,0.83333333333333333333,27.0000000000000000,30.5000000000000000,28.69668970456348646337376312952578,3,f,17.929,17.929,21.548,0.83333333333333333333
2023-10-10,8477424,18,27,f,29,41.323702334957164455000,0.97560975609756097561,31.0000000000000000,40.5000000000000000,35.43303543305314958858265501965404,4,f,40.316,40.316,41.324,0.97560975609756097561
