resample,sampled_rows,brier_improvement,log_loss_improvement,roc_auc_change
1,2049,0.000340735909792445,0.000816862506968441,-0.00173577916446976
2,2158,-0.000588998976725708,-0.00120785255353439,-0.00403811311409175
3,2047,1.97077520464606e-05,6.7636729596976e-05,-0.00100825090135892
4,2213,-0.000337454820209526,-0.000620860470506246,-0.00365679820043996
5,2150,0.000379503707702178,0.00082671000862522,0.00188315504672409
6,2042,0.000129574032768393,0.00031222542470144,-0.00138042169844288
7,1900,-0.000303006447289755,-0.000597790120951958,-0.002845947850599
8,2041,-0.00040345535607747,-0.000815115445197079,-0.00349439557004416
9,1955,-0.000881307469430381,-0.00184784416215655,-0.00731482304349107
10,2007,0.000463503947674637,0.000957065561503656,0.000950579904036686
11,2048,-0.000286259797925681,-0.00059336764826734,-0.00291178956386828
12,2128,0.000470316558691286,0.00100814338211175,0.0026463890930577
13,2039,-2.39414881219868e-05,3.45570360336112e-05,-0.000554895889113838
14,2084,-0.000393979356335894,-0.000732473889614393,-0.00613507865581664
15,2078,-0.000278770300461612,-0.000551944423745621,-0.00423666358195129
16,2008,-0.000400500405726367,-0.000789970582220412,-0.00377451084338798
17,2119,0.000154449929309464,0.000309951115252338,0.000420274857941605
18,2143,-0.000252223402067847,-0.000533369278590046,-0.00270366965814917
19,2176,-0.000464236517704386,-0.000812442624328891,-0.00592578375687491
20,2162,0.000304291085004904,0.000624039650638841,0.00192382385784351
21,2104,-3.5985277621664e-05,-8.4979587703149e-05,-5.66301584823403e-05
22,1976,-0.000227460415222563,-0.00049521483318693,-0.00109592733908426
23,2041,0.000218703207823967,0.00048916773213481,-0.00036459518267673
24,2031,-0.000796332305815828,-0.00160500793249618,-0.00586019110539959
25,2152,-0.000765228780280652,-0.0016268846531734,-0.00405462633389675
26,2184,-0.000239701870007297,-0.000437233933429426,-0.00383877486925299
27,2175,0.000415058901430287,0.000960363525346675,-0.000385123613215299
28,2083,-0.000273063605108814,-0.000480868377315979,-0.00398561904494754
29,1857,-0.000404874063284294,-0.00077966737721602,-0.0062619322601174
30,2127,-0.000277139622276906,-0.000534156867983193,-0.00267741083034556
31,2028,-0.000523193203715244,-0.00101201531007833,-0.00555569292853364
32,1995,0.00020138541599185,0.000395607167788192,0.00106411103767345
33,2061,-0.000271755376153288,-0.000434213081487278,-0.00520432905553259
34,2172,-6.7751579254316e-05,-4.09544596751132e-05,-0.00384948736556445
35,2187,0.000750615194056642,0.00159543404562168,0.00240251276972969
36,2056,-0.000551693155646155,-0.0011467206839828,-0.00463685080227938
37,2129,2.91811241507622e-05,0.000250492383367273,-0.00389934416880533
38,2209,-0.000223290224194844,-0.000401720369103686,-0.00311434576948488
39,2040,0.00054881696552897,0.00112686468871226,0.002956248883352
40,2203,-0.000903217017304364,-0.00173971929493311,-0.0094916987317113
41,2189,0.000423504385075268,0.00096191832151693,-0.000643294752577073
42,1940,-0.000177602966971613,-0.000321568352221191,-0.00394580818242807
43,2203,-0.00035589325584573,-0.000710299727632036,-0.00351946913734813
44,2173,-0.000439725577716321,-0.000872804285173223,-0.00454808602453483
45,2347,-2.32257300810945e-05,-2.40759781402478e-05,-0.000960526646844428
46,2074,0.000883756304950523,0.00186247254538163,0.00486142265033596
47,2117,-0.000216119858752251,-0.000426748256895593,-0.00319958052564928
48,2164,0.000135318166528092,0.000392890809291058,-0.000671949901631996
49,2172,0.000314150441268896,0.000744495170109438,0.000338286580612968
50,2263,-0.000104198046429166,-0.000183380690181423,-0.00200279755849442
