record_type,month,rows,champion_brier,challenger_brier,brier_improvement,champion_log_loss,challenger_log_loss,log_loss_improvement,champion_roc_auc,challenger_roc_auc,roc_auc_change,champion_accuracy,challenger_accuracy,accuracy_change,champion_ece,challenger_ece,ece_degradation
direct_month,2024-01,79,0.248510670403623,0.249425975975991,-0.000915305572367908,0.690248423694548,0.691831463341335,-0.0015830396467873,0.548449612403101,0.549741602067183,0.00129198966408273,0.544303797468354,0.531645569620253,-0.0126582278481013,0.0532025940323127,0.0569934705423542,0.00379087651004151
leave_one_month_out,2024-01,2018,0.236122452972357,0.23615701484494,-3.45618725824393e-05,0.664721378368671,0.664763601338644,-4.2222969973027e-05,0.623793409409218,0.622119799624395,-0.00167360978482312,0.592666005946482,0.597621407333994,0.00495540138751238,0.0181907406748679,0.0224130418523395,0.00422230117747157
direct_month,2024-02,172,0.228765095107819,0.227485961192288,0.00127913391553086,0.649447139523045,0.646636273594894,0.00281086592815161,0.699797160243408,0.706964164976335,0.00716700473292764,0.63953488372093,0.63953488372093,0,0.0741020157290058,0.0839170313699418,0.00981501564093606
leave_one_month_out,2024-02,1925,0.237288237247563,0.237476323498243,-0.000188086250680369,0.667133744946433,0.667494126777676,-0.000360381831243428,0.613498794652641,0.610864014902476,-0.00263477975016435,0.586493506493507,0.591168831168831,0.00467532467532461,0.017010429973285,0.0187075593362377,0.00169712936295271
direct_month,2024-03,228,0.229272101788332,0.22907984709696,0.000192254691372268,0.650503468989689,0.650031280028059,0.000472188961630482,0.656828885400314,0.656985871271586,0.000156985871271553,0.635964912280702,0.635964912280702,0,0.0545310438930828,0.0526074626656591,-0.00192358122742375
leave_one_month_out,2024-03,1869,0.237481762360815,0.237581221466605,-9.94591057899286e-05,0.667534818667843,0.667704923092002,-0.000170104424159101,0.615818070181536,0.613903659680951,-0.00191441050058516,0.58533975387908,0.590155163188871,0.0048154093097913,0.0116207279734281,0.015373211769612,0.00375248379618385
direct_month,2024-04,169,0.239436315806746,0.241475759718573,-0.00203944391182709,0.671394901593821,0.675726644462151,-0.00433174286832994,0.613271344040575,0.607354184277261,-0.00591715976331364,0.550295857988166,0.532544378698225,-0.0177514792899408,0.0745699527817811,0.0995896158019768,0.0250196630201958
leave_one_month_out,2024-04,1928,0.236339582826122,0.23623449412176,0.000105088704362183,0.665182380005441,0.664911737651061,0.000270642354380679,0.621018844390948,0.620055582449117,-0.000963261941831273,0.594398340248963,0.600622406639004,0.00622406639004147,0.0202977351000593,0.0253830120290045,0.00508527692894521
direct_month,2024-05,42,0.25537797568501,0.25565345748715,-0.000275481802140098,0.705259596967773,0.705869351048621,-0.00060975408084829,0.569794050343249,0.567505720823799,-0.0022883295194509,0.5,0.523809523809524,0.0238095238095238,0.0815050639175103,0.0847748634053777,0.00326979948786739
leave_one_month_out,2024-05,2055,0.236205147484834,0.236268643720064,-6.34962352304425e-05,0.664874191701801,0.664964048837619,-8.98571358179945e-05,0.622197647338905,0.620285894208967,-0.00191175312993785,0.592700729927007,0.596593673965937,0.00389294403892948,0.0180821630669965,0.0208201019469667,0.00273793887997025
direct_month,2024-06,9,0.215232855559826,0.212984425103174,0.00224843045665238,0.622885927463809,0.618315280789615,0.00457064667419482,0.785714285714286,0.785714285714286,0,0.777777777777778,0.777777777777778,0,0.224920098242005,0.222696846921026,-0.00222325132097886
leave_one_month_out,2024-06,2088,0.236681205632215,0.236758931146199,-7.77255139838839e-05,0.665867525705303,0.665987928916783,-0.000120403211479547,0.620553605586198,0.618595743495459,-0.00195786209073856,0.590038314176245,0.594348659003831,0.00431034482758619,0.015386943345681,0.0185453844170909,0.00315844107140997
direct_month,2024-10,166,0.2477843170844,0.246900121751887,0.000884195332512827,0.688388809770674,0.686758242376293,0.00163056739438128,0.5495337995338,0.560096153846154,0.0105623543123542,0.518072289156627,0.530120481927711,0.0120481927710844,0.0695837365785782,0.061383944641734,-0.00819979193684421
leave_one_month_out,2024-10,1931,0.23562675112589,0.235776327213039,-0.000149576087149467,0.663731136508501,0.663980199311695,-0.000249062803194589,0.626908382422333,0.624013055608106,-0.00289532681422733,0.597099948213361,0.60072501294666,0.00362506473329882,0.0236681091983449,0.0258140788075009,0.00214596960915604
direct_month,2024-11,220,0.239084094650152,0.239284430433287,-0.000200335783134553,0.670768473488357,0.671060019262771,-0.000291545774414037,0.611083416417414,0.606098371552011,-0.00498504486540374,0.568181818181818,0.6,0.0318181818181817,0.0229979478388957,0.036927291111832,0.0139293432729363
leave_one_month_out,2024-11,1877,0.236296724686771,0.236348925606749,-5.22009199780404e-05,0.665087002052429,0.665164852886275,-7.78508338467043e-05,0.621831739565713,0.620252356129389,-0.00157938343632413,0.593500266382525,0.594565796483751,0.00106553010122534,0.0188541520311499,0.018740768912673,-0.00011338311847689
direct_month,2024-12,214,0.226440714644791,0.226924406073488,-0.000483691428696448,0.644699673372437,0.645760187378385,-0.00106051400594775,0.695301418439716,0.687943262411348,-0.00735815602836865,0.64018691588785,0.635514018691589,-0.00467289719626174,0.0716991897377299,0.0640884562582768,-0.0076107334794531
leave_one_month_out,2024-12,1883,0.23774250670532,0.237762976717719,-2.04700123990487e-05,0.668067783812079,0.668058923529673,8.860282406431e-06,0.612475591234541,0.611068161834397,-0.00140742940014393,0.585236325013277,0.590546999468933,0.00531067445565581,0.0115375063431441,0.0143452494136505,0.00280774307050637
direct_month,2025-01,224,0.239503964138812,0.238581123601115,0.000922840537696729,0.671905020698976,0.669880126999096,0.00202489369987924,0.600242424242424,0.602585858585858,0.0023434343434342,0.589285714285714,0.584821428571429,-0.0044642857142857,0.0194871345761778,0.0258690301379312,0.00638189556175339
leave_one_month_out,2025-01,1873,0.236240557978115,0.23642676795117,-0.000186209973055268,0.664938944144835,0.665293371413535,-0.000354427268699498,0.623215440022163,0.620943184966294,-0.00227225505586848,0.591030432461292,0.596369460758142,0.00533902829684996,0.0161142298515511,0.0201588374921913,0.00404460764064012
direct_month,2025-02,122,0.247967257855807,0.245755602172833,0.00221165568297346,0.688973128166313,0.684046679052836,0.00492644911347684,0.545183175033921,0.555223880597015,0.0100407055630936,0.516393442622951,0.532786885245902,0.0163934426229508,0.0559979758006456,0.0669542992844528,0.0109563234838072
leave_one_month_out,2025-02,1975,0.235886302583137,0.23609484789575,-0.000208545312613301,0.664244377409396,0.664655158613115,-0.000410781203719401,0.625000778859874,0.622519331302067,-0.00248144755780699,0.595443037974684,0.598987341772152,0.00354430379746828,0.0204824183562634,0.022766854880068,0.00228443652380465
direct_month,2025-03,234,0.230331471954857,0.23116705270478,-0.000835580749923487,0.652866831596984,0.654507948661125,-0.00164111706414061,0.636398176291793,0.629179331306991,-0.00721884498480252,0.611111111111111,0.623931623931624,0.0128205128205128,0.0630140843870325,0.0674077390085962,0.00439365462156377
leave_one_month_out,2025-03,1863,0.237375141504384,0.237346440003367,2.87015010164149e-05,0.667292822558321,0.667199556156009,9.32664023119978e-05,0.618283951335933,0.61738343326154,-0.000900518074393175,0.588298443370907,0.591519055287171,0.0032206119162641,0.0141046140685598,0.0154951300298829,0.00139051596132308
direct_month,2025-04,172,0.23645680418557,0.237951091387759,-0.00149428720218858,0.66574157133683,0.669044033556573,-0.00330246221974273,0.578576563623293,0.576132278936017,-0.00244428468727531,0.63953488372093,0.633720930232558,-0.0058139534883721,0.0829226024220084,0.0816543737851343,-0.00126822863687412
leave_one_month_out,2025-04,1925,0.23660097804685,0.236541257319739,5.97207271106348e-05,0.665677826883071,0.665491978874607,0.00018584800846444,0.624024568128152,0.622339706481948,-0.00168486164620418,0.586493506493507,0.591688311688312,0.0051948051948052,0.0143588724524478,0.0177858717069798,0.00342699925453199
direct_month,2025-05,40,0.239016379426731,0.239660055331748,-0.000643675905016849,0.670877886276352,0.672174345270738,-0.00129645899438646,0.616161616161616,0.616161616161616,-1.11022302462516e-16,0.525,0.55,0.025,0.109620890630721,0.0836448512859969,-0.0259760393447244
leave_one_month_out,2025-05,2057,0.23654195327323,0.236598495792864,-5.65425196343006e-05,0.665582037709671,0.665659046813087,-7.70091034155707e-05,0.620744480244127,0.618927215607896,-0.00181726463623122,0.59212445308702,0.596013612056393,0.00388915896937292,0.0173657121739956,0.0200636815789938,0.00269796940499825
