scope,system,record_type,bucket,rows,mean_probability,observed_home_win_rate,absolute_calibration_gap,ece,monotonicity_reversals
validation,champion,bucket,0,0,,,,,
validation,champion,bucket,1,0,,,,,
validation,champion,bucket,2,1,0.298704461696438,1,0.701295538303562,,
validation,champion,bucket,3,30,0.369894563589576,0.266666666666667,0.103227896922909,,
validation,champion,bucket,4,191,0.456391735147411,0.418848167539267,0.0375435676081438,,
validation,champion,bucket,5,279,0.551003069580977,0.537634408602151,0.0133686609788267,,
validation,champion,bucket,6,168,0.638393452026703,0.672619047619048,0.0342255955923444,,
validation,champion,bucket,7,30,0.725808119802043,0.766666666666667,0.0408585468646234,,
validation,champion,bucket,8,0,,,,,
validation,champion,bucket,9,0,,,,,
validation,champion,summary,ALL,699,0.545522979585378,0.536480686695279,0.00904229289009917,0.0310078207978419,1
validation,challenger,bucket,0,0,,,,,
validation,challenger,bucket,1,0,,,,,
validation,challenger,bucket,2,0,,,,,
validation,challenger,bucket,3,32,0.363445919367849,0.28125,0.0821959193678486,,
validation,challenger,bucket,4,185,0.45735443913997,0.427027027027027,0.0303274121129431,,
validation,challenger,bucket,5,281,0.550542610846623,0.526690391459075,0.0238522193875487,,
validation,challenger,bucket,6,167,0.637365353452943,0.676646706586826,0.0392813531338836,,
validation,challenger,bucket,7,34,0.722223236503312,0.764705882352941,0.0424826458496296,,
validation,challenger,bucket,8,0,,,,,
validation,challenger,bucket,9,0,,,,,
validation,challenger,summary,ALL,699,0.546407608549815,0.536480686695279,0.00992692185453625,0.0328293422615347,0
holdout,champion,bucket,0,0,,,,,
holdout,champion,bucket,1,0,,,,,
holdout,champion,bucket,2,1,0.256216429878798,0,0.256216429878798,,
holdout,champion,bucket,3,45,0.370305848496761,0.422222222222222,0.0519163737254613,,
holdout,champion,bucket,4,332,0.458425994792486,0.466867469879518,0.00844147508703236,,
holdout,champion,bucket,5,697,0.548276490954379,0.565279770444763,0.0170032794903844,,
holdout,champion,bucket,6,291,0.635810800296983,0.676975945017182,0.0411651447201996,,
holdout,champion,bucket,7,31,0.731191956760436,0.774193548387097,0.0430015916266603,,
holdout,champion,bucket,8,1,0.830904603929283,1,0.169095396070717,,
holdout,champion,bucket,9,0,,,,,
holdout,champion,summary,ALL,1398,0.543479915757128,0.565092989985694,0.0216130742285656,0.0219796213385497,0
holdout,challenger,bucket,0,0,,,,,
holdout,challenger,bucket,1,0,,,,,
holdout,challenger,bucket,2,2,0.267445729604654,0,0.267445729604654,,
holdout,challenger,bucket,3,49,0.372717311620388,0.36734693877551,0.00537037284487751,,
holdout,challenger,bucket,4,349,0.459115883853088,0.461318051575931,0.00220216772284343,,
holdout,challenger,bucket,5,671,0.549104147091436,0.573770491803279,0.0246663447118429,,
holdout,challenger,bucket,6,290,0.635857627294581,0.675862068965517,0.0400044416709365,,
holdout,challenger,bucket,7,37,0.729665330794311,0.810810810810811,0.0811454800164998,,
holdout,challenger,bucket,8,0,,,,,
holdout,challenger,bucket,9,0,,,,,
holdout,challenger,summary,ALL,1398,0.542828823352294,0.565092989985694,0.0222641666333996,0.0234058543710367,0
combined_out_of_time,champion,bucket,0,0,,,,,
combined_out_of_time,champion,bucket,1,0,,,,,
combined_out_of_time,champion,bucket,2,2,0.277460445787618,0.5,0.222539554212382,,
combined_out_of_time,champion,bucket,3,75,0.370141334533887,0.36,0.0101413345338869,,
combined_out_of_time,champion,bucket,4,523,0.457683081614265,0.449330783938815,0.0083522976754507,,
combined_out_of_time,champion,bucket,5,976,0.549055912508499,0.557377049180328,0.00832113667182899,,
combined_out_of_time,champion,bucket,6,459,0.636756084590214,0.675381263616558,0.038625179026344,,
combined_out_of_time,champion,bucket,7,61,0.728544168092374,0.770491803278688,0.0419476351863141,,
combined_out_of_time,champion,bucket,8,1,0.830904603929283,1,0.169095396070717,,
combined_out_of_time,champion,bucket,9,0,,,,,
combined_out_of_time,champion,summary,ALL,2097,0.544160937033211,0.555555555555556,0.0113946185223441,0.0162862272722746,1
combined_out_of_time,challenger,bucket,0,0,,,,,
combined_out_of_time,challenger,bucket,1,0,,,,,
combined_out_of_time,challenger,bucket,2,2,0.267445729604654,0,0.267445729604654,,
combined_out_of_time,challenger,bucket,3,81,0.369054539372471,0.333333333333333,0.0357212060391378,,
combined_out_of_time,challenger,bucket,4,534,0.458505645516146,0.449438202247191,0.00906744326895537,,
combined_out_of_time,challenger,bucket,5,952,0.54952873565783,0.559873949579832,0.0103452139220015,,
combined_out_of_time,challenger,bucket,6,457,0.636408590682866,0.676148796498906,0.0397402058160397,,
combined_out_of_time,challenger,bucket,7,71,0.726101510992987,0.788732394366197,0.0626308833732098,,
combined_out_of_time,challenger,bucket,8,0,,,,,
combined_out_of_time,challenger,bucket,9,0,,,,,
combined_out_of_time,challenger,summary,ALL,2097,0.544021751751468,0.555555555555556,0.0115338038040876,0.0194215709514426,0
