record_type,team,appearance,rows,champion_brier,challenger_brier,brier_improvement,champion_log_loss,challenger_log_loss,log_loss_improvement,champion_roc_auc,challenger_roc_auc,roc_auc_change,champion_accuracy,challenger_accuracy,accuracy_change,champion_ece,challenger_ece,ece_degradation
team_appearance,ANA,home,59,0.249569610939583,0.247425564495021,0.00214404644456184,0.69227483735832,0.687783041571948,0.00449179578637249,0.515046296296296,0.527777777777778,0.0127314814814815,0.576271186440678,0.542372881355932,-0.0338983050847458,0.103150042334749,0.044528752897897,-0.0586212894368523
team_appearance,ARI,home,19,0.260169680536056,0.255750327180815,0.00441935335524102,0.713501870208022,0.703616582684819,0.00988528752320306,0.555555555555556,0.466666666666667,-0.0888888888888889,0.473684210526316,0.473684210526316,0,0.211134029297451,0.211409823002414,0.000275793704963501
team_appearance,BOS,home,69,0.237299657909796,0.239243697534135,-0.00194403962433901,0.666966312580289,0.670845543585666,-0.00387923100537724,0.643581081081081,0.613175675675676,-0.0304054054054055,0.579710144927536,0.550724637681159,-0.0289855072463768,0.1229044838606,0.110368455656359,-0.0125360282042408
team_appearance,BUF,home,59,0.257433077072159,0.258355671601579,-0.000922594529420728,0.708140914144874,0.709894956652537,-0.00175404250766309,0.414918414918415,0.406759906759907,-0.00815850815850816,0.457627118644068,0.457627118644068,0,0.0949207035168872,0.120630019872689,0.0257093163558015
team_appearance,CAR,home,76,0.202156033495983,0.202654214699422,-0.000498181203438836,0.593538959904555,0.59418284356297,-0.00064388365841539,0.604329004329004,0.593073593073593,-0.0112554112554112,0.723684210526316,0.723684210526316,0,0.083556567189266,0.102398280243623,0.0188417130543573
team_appearance,CBJ,home,57,0.246135037204807,0.247728105733824,-0.00159306852901778,0.68631743119429,0.689650924383867,-0.00333349318957676,0.543478260869565,0.539641943734015,-0.00383631713554977,0.596491228070175,0.578947368421053,-0.0175438596491228,0.0826127935001469,0.0833129677424983,0.000700174242351345
team_appearance,CGY,home,62,0.242252140972607,0.244366897079367,-0.00211475610676004,0.67866283215886,0.682451329645825,-0.00378849748696464,0.61128526645768,0.577847439916405,-0.0334378265412748,0.612903225806452,0.629032258064516,0.0161290322580645,0.0699557070394746,0.141548816550872,0.0715931095113969
team_appearance,CHI,home,61,0.234471416675362,0.236781970768726,-0.00231055409336484,0.661288318548414,0.665802546696976,-0.00451422814856117,0.593240093240093,0.58041958041958,-0.0128205128205128,0.573770491803279,0.557377049180328,-0.0163934426229508,0.0982483503765681,0.103388712612331,0.00514036223576253
team_appearance,COL,home,67,0.228467845547489,0.226035798629545,0.00243204691794327,0.648662198859335,0.643408186782437,0.00525401207689757,0.563953488372093,0.578488372093023,0.0145348837209303,0.611940298507463,0.641791044776119,0.0298507462686567,0.0491976240975604,0.0462041541919772,-0.00299346990558316
team_appearance,DAL,home,78,0.235578365480055,0.233669213775592,0.0019091517044629,0.663700946820279,0.659659910033389,0.00404103678689005,0.567901234567901,0.57443718228032,0.00653594771241839,0.58974358974359,0.615384615384615,0.0256410256410257,0.100791957293728,0.100189929006752,-0.0006020282869766
team_appearance,DET,home,60,0.238471194386641,0.239617968541232,-0.00114677415459166,0.669296814285908,0.671645249236215,-0.00234843495030723,0.625565610859729,0.616515837104072,-0.00904977375565619,0.6,0.583333333333333,-0.0166666666666666,0.107989517067161,0.105701791295598,-0.00228772577156246
team_appearance,EDM,home,84,0.218823070342145,0.220643569719134,-0.00182049937698886,0.629021439986337,0.633109571757187,-0.0040881317708501,0.642006269592477,0.62884012539185,-0.013166144200627,0.654761904761905,0.666666666666667,0.0119047619047619,0.0486524180813295,0.0951662113831159,0.0465137933017864
