check_group,field,field_present,rows,nonblank_rows,coverage_pct,status,source_rows,source_path
component,offense_factor_vs_league_clamped,True,1777,1756,0.988182329769274,PASS,1777,artifacts/analysis/mlb/review_aids/hits_o15_tier_backtest_rows.csv
component,offense_hits_form_blended,True,1777,1756,0.988182329769274,PASS,1777,artifacts/analysis/mlb/review_aids/hits_o15_tier_backtest_rows.csv
component,pitcher_expected_hits_allowed_weighted,True,1777,1449,0.8154192459200901,PASS,1777,artifacts/analysis/mlb/review_aids/hits_o15_tier_backtest_rows.csv
component,pitcher_base,True,1777,1449,0.8154192459200901,PASS,1777,artifacts/analysis/mlb/review_aids/hits_o15_tier_backtest_rows.csv
component,starter_expected_hits_allowed,True,1777,1449,0.8154192459200901,PASS,1777,artifacts/analysis/mlb/review_aids/hits_o15_tier_backtest_rows.csv
component,bullpen_hits_allowed_form_blended,True,1777,1756,0.988182329769274,PASS,1777,artifacts/analysis/mlb/review_aids/hits_o15_tier_backtest_rows.csv
component,team_expected_hits_allowed,True,1777,1449,0.8154192459200901,PASS,1777,artifacts/analysis/mlb/review_aids/hits_o15_tier_backtest_rows.csv
dashboard,env_v2_alpha_research_status,True,1777,1777,1.0,PASS,1777,artifacts/analysis/mlb/review_aids/hits_o15_tier_backtest_rows.csv
dashboard,env_v2_alpha_bucket_schema,True,1777,1777,1.0,PASS,1777,artifacts/analysis/mlb/review_aids/hits_o15_tier_backtest_rows.csv
dashboard,env_v2_alpha_offense_strength_bucket,True,1777,1777,1.0,PASS,1777,artifacts/analysis/mlb/review_aids/hits_o15_tier_backtest_rows.csv
dashboard,env_v2_alpha_offense_form_bucket,True,1777,1777,1.0,PASS,1777,artifacts/analysis/mlb/review_aids/hits_o15_tier_backtest_rows.csv
dashboard,env_v2_alpha_pitcher_base_bucket,True,1777,1777,1.0,PASS,1777,artifacts/analysis/mlb/review_aids/hits_o15_tier_backtest_rows.csv
dashboard,env_v2_alpha_starter_matchup_bucket,True,1777,1777,1.0,PASS,1777,artifacts/analysis/mlb/review_aids/hits_o15_tier_backtest_rows.csv
dashboard,env_v2_alpha_bullpen_support_bucket,True,1777,1777,1.0,PASS,1777,artifacts/analysis/mlb/review_aids/hits_o15_tier_backtest_rows.csv
dashboard,env_v2_alpha_team_rollup_bucket,True,1777,1777,1.0,PASS,1777,artifacts/analysis/mlb/review_aids/hits_o15_tier_backtest_rows.csv
dashboard,env_v2_alpha_agreement_profile,True,1777,1777,1.0,PASS,1777,artifacts/analysis/mlb/review_aids/hits_o15_tier_backtest_rows.csv
dashboard,env_v2_alpha_offense_high_starter_high_bullpen_high,True,1777,1777,1.0,PASS,1777,artifacts/analysis/mlb/review_aids/hits_o15_tier_backtest_rows.csv
dashboard,env_v2_alpha_offense_high_starter_high_bullpen_low,True,1777,1777,1.0,PASS,1777,artifacts/analysis/mlb/review_aids/hits_o15_tier_backtest_rows.csv
dashboard,env_v2_alpha_offense_high_starter_low_bullpen_high,True,1777,1777,1.0,PASS,1777,artifacts/analysis/mlb/review_aids/hits_o15_tier_backtest_rows.csv
dashboard,env_v2_alpha_offense_low_starter_high_bullpen_high,True,1777,1777,1.0,PASS,1777,artifacts/analysis/mlb/review_aids/hits_o15_tier_backtest_rows.csv
dashboard,env_v2_alpha_team_expected_high_starter_mediocre,True,1777,1777,1.0,PASS,1777,artifacts/analysis/mlb/review_aids/hits_o15_tier_backtest_rows.csv
dashboard,env_v2_alpha_starter_high_team_expected_mediocre,True,1777,1777,1.0,PASS,1777,artifacts/analysis/mlb/review_aids/hits_o15_tier_backtest_rows.csv
dashboard,env_v2_alpha_component_missing_count,True,1777,1777,1.0,PASS,1777,artifacts/analysis/mlb/review_aids/hits_o15_tier_backtest_rows.csv
dashboard,env_v2_alpha_component_coverage,True,1777,1777,1.0,PASS,1777,artifacts/analysis/mlb/review_aids/hits_o15_tier_backtest_rows.csv
