population,variant,games,crps,brier,log_loss,ece,crps_delta_candidate_minus_raw,brier_delta_candidate_minus_raw,log_loss_delta_candidate_minus_raw,ece_delta_candidate_minus_raw
FROZEN_2025_VALIDATION,RAW,2433,2.5315957786140326,0.22718558400314987,0.6462966570143279,0.016467438652683374,0.0,0.0,0.0,0.0
FROZEN_2025_VALIDATION,CORE_1,2433,2.520562264620592,0.22596494312801457,0.6434874006923355,0.009602494331746049,-0.011033513993440547,-0.0012206408751352926,-0.0028092563219924704,-0.006864944320937325
FROZEN_2025_VALIDATION,CORE_1_PLUS_LEAGUE_TOTAL,2433,2.52123289805255,0.2260496533305862,0.6436600691265613,0.013480228189541782,-0.010362880561482601,-0.0011359306725636786,-0.0026365878877666615,-0.0029872104631415916
FROZEN_2025_VALIDATION,CORE_1_PLUS_HOME_STARTER_PRIOR_STARTS,2433,2.5185205034726175,0.22568075373041577,0.642880047620093,0.006341063248631415,-0.013075275141415155,-0.0015048302727340979,-0.0034166093942349374,-0.010126375404051959
FROZEN_2025_VALIDATION,CORE_1_PLUS_PARK_HISTORY_DEPTH,2433,2.5261386139969173,0.22647086784857223,0.6447481776765962,0.02140386837255716,-0.005457164617115318,-0.0007147161545776326,-0.001548479337731723,0.004936429719873788
FROZEN_2025_VALIDATION,CONSERVATIVE_SURVIVOR_CORE,2433,2.527726431049543,0.2266763337826546,0.6451966217929167,0.01685660429854941,-0.0038693475644895337,-0.0005092502204952776,-0.001100035221411222,0.0003891656458660381
2026_SEQUENTIAL_EARLY,RAW,1281,2.5051476024217507,0.22689948711410368,0.6460560815972384,0.04974880558097441,0.0,0.0,0.0,0.0
2026_SEQUENTIAL_EARLY,CORE_1,1281,2.481443931139117,0.22419323867438737,0.639636813215755,0.008205338389488186,-0.02370367128263373,-0.0027062484397163133,-0.006419268381483323,-0.04154346719148622
2026_SEQUENTIAL_EARLY,CORE_1_PLUS_LEAGUE_TOTAL,1281,2.4809125171411903,0.22414197757578228,0.6395296419508284,0.006425024871660254,-0.024235085280560398,-0.0027575095383214066,-0.006526439646409976,-0.043323780709314155
2026_SEQUENTIAL_EARLY,CORE_1_PLUS_HOME_STARTER_PRIOR_STARTS,1281,2.484384040002113,0.2244817089945468,0.6402372245569531,0.015001800158961036,-0.020763562419637616,-0.0024177781195568737,-0.005818857040285286,-0.03474700542201337
2026_SEQUENTIAL_EARLY,CORE_1_PLUS_PARK_HISTORY_DEPTH,1281,2.5014423647751287,0.2263957273178717,0.6445974101889715,0.050854684598335184,-0.003705237646622006,-0.0005037597962319895,-0.0014586714082668317,0.0011058790173607766
2026_SEQUENTIAL_EARLY,CONSERVATIVE_SURVIVOR_CORE,1281,2.4986888670631173,0.2261347301895152,0.6441029302037902,0.04915470089070752,-0.006458735358633394,-0.0007647569245884944,-0.0019531513934482048,-0.0005941046902668903
2026_LATE_HOLDOUT,RAW,439,2.6022766473304486,0.23053602911161053,0.6543558561017103,0.04390562249268725,0.0,0.0,0.0,0.0
2026_LATE_HOLDOUT,CORE_1,439,2.568263541072939,0.22776546073615214,0.6472249789759924,0.02943352383050646,-0.03401310625750975,-0.0027705683754583876,-0.007130877125717916,-0.014472098662180792
2026_LATE_HOLDOUT,CORE_1_PLUS_LEAGUE_TOTAL,439,2.5686293626285983,0.22793529912015198,0.64755322725184,0.031295363830778127,-0.0336472847018503,-0.00260072999145855,-0.0068026288498703735,-0.012610258661909124
2026_LATE_HOLDOUT,CORE_1_PLUS_HOME_STARTER_PRIOR_STARTS,439,2.571856790710013,0.2278002106214517,0.6474365476305263,0.022292324465370755,-0.03041985662043567,-0.002735818490158831,-0.006919308471184049,-0.021613298027316496
2026_LATE_HOLDOUT,CORE_1_PLUS_PARK_HISTORY_DEPTH,439,2.5884830980986258,0.2288611398423077,0.6504652001371013,0.03959950623877281,-0.013793549231822855,-0.0016748892693028428,-0.0038906559646090244,-0.004306116253914444
2026_LATE_HOLDOUT,CONSERVATIVE_SURVIVOR_CORE,439,2.5874298301052554,0.22888459397021238,0.6505231920168463,0.040678306544366306,-0.01484681722519321,-0.0016514351413981498,-0.003832664084864046,-0.003227315948320944
PROSPECTIVE_AUG17_28_CLEAN_RAW,RAW,156,2.597321439591524,0.2286143909653751,0.649957880078647,0.041828115061280056,0.0,0.0,0.0,0.0
PROSPECTIVE_AUG17_28_CLEAN_RAW,CORE_1,156,2.600487122392304,0.2288362510486548,0.6494586760322588,0.031170840650685844,0.003165682800780001,0.0002218600832796791,-0.0004992040463881464,-0.010657274410594213
PROSPECTIVE_AUG17_28_CLEAN_RAW,CORE_1_PLUS_LEAGUE_TOTAL,156,2.602782812086746,0.22907986903951125,0.6499393119989944,0.03500110387978801,0.005461372495221717,0.00046547807413613307,-1.8568079652614422e-05,-0.0068270111814920445
PROSPECTIVE_AUG17_28_CLEAN_RAW,CORE_1_PLUS_HOME_STARTER_PRIOR_STARTS,156,2.6042624072024068,0.22923256998951594,0.6503856617819265,0.03412008257742273,0.006940967610882698,0.0006181790241408247,0.00042778170327950615,-0.007708032483857326
PROSPECTIVE_AUG17_28_CLEAN_RAW,CORE_1_PLUS_PARK_HISTORY_DEPTH,156,2.6012659327135017,0.22913547538517257,0.6509039923138209,0.03542018873644393,0.003944493121977644,0.0005210844197974518,0.0009461122351739348,-0.0064079263248361246
PROSPECTIVE_AUG17_28_CLEAN_RAW,CONSERVATIVE_SURVIVOR_CORE,156,2.595183874125924,0.22851842862511426,0.6496781120660673,0.04081909578968268,-0.0021375654655999554,-9.596234026085226e-05,-0.0002797680125796731,-0.0010090192715973764
ALL_GOVERNED_EVALUATION,RAW,4309,2.533313576427141,0.22749360191307172,0.6471787554334746,0.029188222620094573,0.0,0.0,0.0,0.0
ALL_GOVERNED_EVALUATION,CORE_1,4309,2.5166863196183176,0.22572562956581815,0.6429396432688159,0.00816053360677594,-0.016627256808823265,-0.0017679723472535658,-0.004239112164658665,-0.021027689013318633
ALL_GOVERNED_EVALUATION,CORE_1_PLUS_LEAGUE_TOTAL,4309,2.517027380900257,0.22578434340027936,0.6430561195078522,0.011270714444926312,-0.01628619552688404,-0.0017092585127923554,-0.004122635925622342,-0.01791750817516826
ALL_GOVERNED_EVALUATION,CORE_1_PLUS_HOME_STARTER_PRIOR_STARTS,4309,2.5169102823942575,0.22566881328134086,0.6428303198340507,0.007122272193522633,-0.01640329403288332,-0.001824788631730856,-0.004348435599423883,-0.02206595042657194
ALL_GOVERNED_EVALUATION,CORE_1_PLUS_PARK_HISTORY_DEPTH,4309,2.527868294894417,0.22678851768870503,0.6455086666048676,0.032520351683129584,-0.0054452815327237225,-0.0007050842243666866,-0.0016700888286069748,0.003332129063035011
ALL_GOVERNED_EVALUATION,CONSERVATIVE_SURVIVOR_CORE,4309,2.5276187573059277,0.2268069902725478,0.6455763985126302,0.02887230604152866,-0.005694819121213168,-0.0006866116405239153,-0.0016023569208444277,-0.00031591657856591335
