variant,parameter,parameter_type,coefficient_or_value,standardized_effect_size,sign,raw_common_term_coefficient,change_from_raw_common_term,absolute_ratio_to_raw_common_term,sign_flip_from_raw,training_support_mean,training_support_std,training_support_min,training_support_max
RAW,league_total,STANDARDIZED_DIRECT_FEATURE,-0.01265250483616578,-0.01265250483616578,NEGATIVE,-0.01265250483616578,0.0,1.0,False,9.12713348290902,0.11622389197806818,8.0,9.441441441441441
RAW,home_offense,STANDARDIZED_DIRECT_FEATURE,0.01438300487029133,0.01438300487029133,POSITIVE,0.01438300487029133,0.0,1.0,False,4.570371380309777,0.6330104783604718,0.0,13.5
RAW,home_prevention,STANDARDIZED_DIRECT_FEATURE,-0.013582351836678185,-0.013582351836678185,NEGATIVE,-0.013582351836678185,0.0,1.0,False,4.558559917513907,0.6423759599340648,0.0,10.0
RAW,away_offense,STANDARDIZED_DIRECT_FEATURE,0.013564475744245507,0.013564475744245507,POSITIVE,0.013564475744245507,0.0,1.0,False,4.559919885143778,0.6138253712323717,0.0,10.0
RAW,away_prevention,STANDARDIZED_DIRECT_FEATURE,-0.013586090275206979,-0.013586090275206979,NEGATIVE,-0.013586090275206979,0.0,1.0,False,4.567582879203796,0.672491566445702,0.0,13.5
RAW,home_starter_ra9,STANDARDIZED_DIRECT_FEATURE,0.013753975761015624,0.013753975761015624,POSITIVE,0.013753975761015624,0.0,1.0,False,4.621325646023378,2.3152757588117585,0.0,54.0
RAW,away_starter_ra9,STANDARDIZED_DIRECT_FEATURE,0.006799765020473005,0.006799765020473005,POSITIVE,0.006799765020473005,0.0,1.0,False,4.567044285917361,2.1739521611910138,0.0,81.0
RAW,home_starter_prior_starts,STANDARDIZED_DIRECT_FEATURE,0.012677233712015375,0.012677233712015375,POSITIVE,0.012677233712015375,0.0,1.0,False,18.73677711463264,15.546598179262267,0.0,65.0
RAW,away_starter_prior_starts,STANDARDIZED_DIRECT_FEATURE,0.0008268356527004493,0.0008268356527004493,POSITIVE,0.0008268356527004493,0.0,1.0,False,18.666803869108872,15.472110456847977,0.0,66.0
RAW,home_expected_outs,STANDARDIZED_DIRECT_FEATURE,-0.011065970207803344,-0.011065970207803344,NEGATIVE,-0.011065970207803344,0.0,1.0,False,15.678414157977553,3.0192965685908484,3.0,25.666666666666668
RAW,away_expected_outs,STANDARDIZED_DIRECT_FEATURE,0.007419496809107899,0.007419496809107899,POSITIVE,0.007419496809107899,0.0,1.0,False,15.801231001162217,3.011490034385665,3.0,24.666666666666668
RAW,home_workload_uncertainty_outs,STANDARDIZED_DIRECT_FEATURE,0.010362819278096425,0.010362819278096425,POSITIVE,0.010362819278096425,0.0,1.0,False,2.5668069657264914,1.5663261696556983,0.0,9.8770215933527
RAW,away_workload_uncertainty_outs,STANDARDIZED_DIRECT_FEATURE,0.0014323801126656583,0.0014323801126656583,POSITIVE,0.0014323801126656583,0.0,1.0,False,2.5474192247470175,1.5654398149378506,0.0,9.843215373488931
RAW,home_bullpen_ra9,STANDARDIZED_DIRECT_FEATURE,0.015070549615556185,0.015070549615556185,POSITIVE,0.015070549615556185,0.0,1.0,False,4.543327985645738,0.7479101918157626,0.0,9.703125
RAW,away_bullpen_ra9,STANDARDIZED_DIRECT_FEATURE,0.010854280711089645,0.010854280711089645,POSITIVE,0.010854280711089645,0.0,1.0,False,4.553736276372421,0.84110065379265,0.0,19.125
RAW,home_bullpen_likely_available_reliever_count,STANDARDIZED_DIRECT_FEATURE,-0.01084444912895344,-0.01084444912895344,NEGATIVE,-0.01084444912895344,0.0,1.0,False,9.422309117102284,3.0976234406358305,0.0,21.0
RAW,away_bullpen_likely_available_reliever_count,STANDARDIZED_DIRECT_FEATURE,0.003558827664027518,0.003558827664027518,POSITIVE,0.003558827664027518,0.0,1.0,False,9.578925704877546,3.1170643465278403,0.0,20.0
RAW,home_bullpen_recent_innings_burden,STANDARDIZED_DIRECT_FEATURE,-0.000834537374008508,-0.000834537374008508,NEGATIVE,-0.000834537374008508,0.0,1.0,False,9.605542978665019,3.32833409975341,0.0,24.666666666666668
RAW,away_bullpen_recent_innings_burden,STANDARDIZED_DIRECT_FEATURE,0.007154814495771844,0.007154814495771844,POSITIVE,0.007154814495771844,0.0,1.0,False,9.224806201550388,3.2275133293466984,0.0,21.0
RAW,strict_prior_total_run_factor,STANDARDIZED_DIRECT_FEATURE,0.04347158492532503,0.04347158492532503,POSITIVE,0.04347158492532503,0.0,1.0,False,1.0080243915561882,0.058277054946043745,0.8884718975665956,1.2307948100760226
