population,candidate_identity,metric,date_clusters,bootstrap_draws,point_delta_candidate_minus_raw,ci95_low,ci95_high,fraction_favoring_candidate,fraction_favoring_raw,unadjusted_two_sided_bootstrap_p,seed,family_size,holm_adjusted_p,holm_significant_0_05,interpretation
FROZEN_2025_VALIDATION,CORE_1,mae,185,10000,0.007113085612857164,-0.00946883095384211,0.02343966072970885,0.2043,0.7957,0.4086,20260833,80,1.0,False,FWER sensitivity across complete predeclared candidate-period-metric family; not independent confirmation
FROZEN_2025_VALIDATION,CORE_1,crps,185,10000,-0.01103351399344036,-0.021062861946167903,-0.0010662303571620068,0.985,0.015,0.03,20260833,80,1.0,False,FWER sensitivity across complete predeclared candidate-period-metric family; not independent confirmation
FROZEN_2025_VALIDATION,CORE_1,brier,185,10000,-0.0012206408751353414,-0.002356719847156154,-7.462013173090594e-05,0.9821,0.0179,0.0358,20260833,80,1.0,False,FWER sensitivity across complete predeclared candidate-period-metric family; not independent confirmation
FROZEN_2025_VALIDATION,CORE_1,log_loss,185,10000,-0.0028092563219925077,-0.005365350248140383,-0.00024778984718561495,0.9839,0.0161,0.0322,20260833,80,1.0,False,FWER sensitivity across complete predeclared candidate-period-metric family; not independent confirmation
FROZEN_2025_VALIDATION,CORE_1_PLUS_LEAGUE_TOTAL,mae,185,10000,0.01422084160811692,-0.0038861471433566685,0.0320545424352453,0.0637,0.9363,0.1274,20260833,80,1.0,False,FWER sensitivity across complete predeclared candidate-period-metric family; not independent confirmation
FROZEN_2025_VALIDATION,CORE_1_PLUS_LEAGUE_TOTAL,crps,185,10000,-0.01036288056148242,-0.021293449921264123,0.000392818941972376,0.9708,0.0292,0.0584,20260833,80,1.0,False,FWER sensitivity across complete predeclared candidate-period-metric family; not independent confirmation
FROZEN_2025_VALIDATION,CORE_1_PLUS_LEAGUE_TOTAL,brier,185,10000,-0.0011359306725636895,-0.0023848714463117517,0.00011802229329688781,0.9629,0.0371,0.0742,20260833,80,1.0,False,FWER sensitivity across complete predeclared candidate-period-metric family; not independent confirmation
FROZEN_2025_VALIDATION,CORE_1_PLUS_LEAGUE_TOTAL,log_loss,185,10000,-0.0026365878877667058,-0.005429962396378557,0.00016893504532794975,0.9678,0.0322,0.0644,20260833,80,1.0,False,FWER sensitivity across complete predeclared candidate-period-metric family; not independent confirmation
FROZEN_2025_VALIDATION,CORE_1_PLUS_HOME_STARTER_PRIOR_STARTS,mae,185,10000,-0.002805896982256294,-0.01944628228483051,0.01361373155123825,0.6326,0.3674,0.7348,20260833,80,1.0,False,FWER sensitivity across complete predeclared candidate-period-metric family; not independent confirmation
FROZEN_2025_VALIDATION,CORE_1_PLUS_HOME_STARTER_PRIOR_STARTS,crps,185,10000,-0.013075275141414934,-0.023332741184331353,-0.003056532692752355,0.9948,0.0052,0.0104,20260833,80,0.8008,False,FWER sensitivity across complete predeclared candidate-period-metric family; not independent confirmation
FROZEN_2025_VALIDATION,CORE_1_PLUS_HOME_STARTER_PRIOR_STARTS,brier,185,10000,-0.0015048302727341,-0.0026422970386630077,-0.00036927176008089624,0.9956,0.0044,0.0088,20260833,80,0.6864,False,FWER sensitivity across complete predeclared candidate-period-metric family; not independent confirmation
