candidate_identity,population,mae_degradation_fraction,rmse_degradation_fraction,crps_degradation_fraction,brier_degradation,log_loss_degradation,bias_change,champion_capability_preservation
CORE_1,FROZEN_2025_VALIDATION,0.001977391440720325,-0.004399354629712647,-0.0043583237445122625,-0.0012206408751352926,-0.0028092563219924704,-0.26786415099578353,NEAR_COMPLETE
CORE_1,2026_SEQUENTIAL_EARLY,0.004438335134208292,-0.007474413092913691,-0.009461985896447443,-0.0027062484397163133,-0.006419268381483323,-0.5250741870873121,NEAR_COMPLETE
CORE_1,2026_LATE_HOLDOUT,0.019351346319470074,-0.011919957149170983,-0.013070518959774001,-0.0027705683754583876,-0.007130877125717916,-0.6752184766286768,NEAR_COMPLETE
CORE_1,PROSPECTIVE_AUG17_28_CLEAN_RAW,0.025935973474252614,-0.00044856278336490404,0.0012188259614404377,0.0002218600832796791,-0.0004992040463881464,-0.7195537310225963,NEAR_COMPLETE
CORE_1,ALL_GOVERNED_EVALUATION,0.005409585058625119,-0.005937415761468796,-0.0065634420324204475,-0.0017679723472535658,-0.004239112164658665,-0.4021825960341385,NEAR_COMPLETE
CORE_1_PLUS_LEAGUE_TOTAL,FROZEN_2025_VALIDATION,0.0039533012824839306,-0.004211149011482698,-0.004093418328875531,-0.0011359306725636786,-0.0026365878877666615,-0.3305530092143214,NEAR_COMPLETE
CORE_1_PLUS_LEAGUE_TOTAL,2026_SEQUENTIAL_EARLY,0.005721666859128936,-0.00763214673910045,-0.009674114713692759,-0.0027575095383214066,-0.006526439646409976,-0.59001432818235,NEAR_COMPLETE
CORE_1_PLUS_LEAGUE_TOTAL,2026_LATE_HOLDOUT,0.022091375686228893,-0.011883621461459375,-0.012929941455827704,-0.00260072999145855,-0.0068026288498703735,-0.7341798816728217,NEAR_COMPLETE
CORE_1_PLUS_LEAGUE_TOTAL,PROSPECTIVE_AUG17_28_CLEAN_RAW,0.028343361492138515,0.00041191970543774404,0.00210269411093015,0.00046547807413613307,-1.8568079652614422e-05,-0.78219404685271,NEAR_COMPLETE
CORE_1_PLUS_LEAGUE_TOTAL,ALL_GOVERNED_EVALUATION,0.007279420831741846,-0.005839795880644423,-0.006428811529069874,-0.0017092585127923554,-0.004122635925622342,-0.4651592167981959,NEAR_COMPLETE
CORE_1_PLUS_HOME_STARTER_PRIOR_STARTS,FROZEN_2025_VALIDATION,-0.0007800210735864947,-0.005002879551011444,-0.005164835259985087,-0.0015048302727340979,-0.0034166093942349374,-0.18564205862737607,NEAR_COMPLETE
CORE_1_PLUS_HOME_STARTER_PRIOR_STARTS,2026_SEQUENTIAL_EARLY,0.003276020151908753,-0.006411514074596788,-0.008288358897322169,-0.0024177781195568737,-0.005818857040285286,-0.4201738339725377,NEAR_COMPLETE
CORE_1_PLUS_HOME_STARTER_PRIOR_STARTS,2026_LATE_HOLDOUT,0.014782306610429728,-0.010357380812970588,-0.011689708952213804,-0.002735818490158831,-0.006919308471184049,-0.5587487298543035,NEAR_COMPLETE
CORE_1_PLUS_HOME_STARTER_PRIOR_STARTS,PROSPECTIVE_AUG17_28_CLEAN_RAW,0.022925268090209186,0.0009941821017407494,0.002672356029977672,0.0006181790241408247,0.00042778170327950615,-0.6024645158967369,NEAR_COMPLETE
CORE_1_PLUS_HOME_STARTER_PRIOR_STARTS,ALL_GOVERNED_EVALUATION,0.002918855126838945,-0.005756390636980838,-0.006475034984029774,-0.001824788631730856,-0.004348435599423883,-0.3084671540601433,NEAR_COMPLETE
CORE_1_PLUS_PARK_HISTORY_DEPTH,FROZEN_2025_VALIDATION,-0.004185264658506722,-0.001811289607343901,-0.0021556224193512202,-0.0007147161545776326,-0.001548479337731723,0.07774333169753198,NEAR_COMPLETE
