variant,games,direct_feature_count,location_parameter_count,distribution_parameter_count_for_aic_bic,poisson_log_likelihood,negative_binomial_log_likelihood,mean_poisson_deviance,penalized_training_objective,mae,rmse,actual_minus_forecast_bias,crps,aic_negative_binomial,bic_negative_binomial,dispersion_alpha
RAW,4859,22,23,24,-14828.35488869732,-13886.589096088908,2.184841870234588,1.0926586506574667,3.5136224765197777,4.421757401997709,4.10617653929044e-06,2.4599855991603006,27821.178192177817,27976.904302603558,0.12944479977012996
CORE_1,4859,1,2,3,-14863.72058094728,-13902.57526363699,2.1993986482753205,1.0997902555149621,3.521992212654586,4.43671471291855,4.547971601387209e-06,2.4681648286074886,27811.15052727398,27830.6162910772,0.13127804369719087
CORE_1_PLUS_LEAGUE_TOTAL,4859,2,3,4,-14863.108731251808,-13902.312049677683,2.1991468064578794,1.099667022583046,3.52175139019519,4.436435690902614,1.8350011059453371e-06,2.4680047507901897,27812.624099355366,27838.578451092988,0.13124388610928991
CORE_1_PLUS_HOME_STARTER_PRIOR_STARTS,4859,2,3,4,-14862.881722441798,-13902.18676752066,2.199053367968474,1.0996176159436541,3.521887055209381,4.436376686953823,3.531085647952222e-06,2.4679983570034976,27812.37353504132,27838.32788677894,0.13123654522925027
CORE_1_PLUS_PARK_HISTORY_DEPTH,4859,2,3,4,-14857.46629804517,-13899.717976861102,2.196824339610118,1.0985120552580947,3.521830981776997,4.434138269375086,-9.703604286397481e-06,2.466608761294016,27807.435953722204,27833.390305459827,0.13096114878073586
CONSERVATIVE_SURVIVOR_CORE,4859,4,5,6,-14854.704793233237,-13898.493271837586,2.1956876839970567,1.0979665345646432,3.520448064822021,4.4329366878856105,1.8575547062708438e-05,2.465832199402031,27808.98654367517,27847.91807128161,0.1308153513679034
