candidate_identity,population,rows,pearson_expected_total,spearman_expected_total,mean_signed_expected_total_difference,mean_absolute_expected_total_difference,median_absolute_expected_total_difference,p90_absolute_expected_total_difference,maximum_absolute_expected_total_difference,pearson_governed_over_probability,mean_absolute_probability_difference,probability_differences_ge_5pp,probability_differences_ge_10pp,opposite_side_decisions_at_0_5,governed_probability_threshold_count
CORE_1,FROZEN_2025_VALIDATION,2433,0.8175943500645816,0.7495290263352649,0.2678641509957835,0.3540298822239001,0.32461114004219915,0.6771653887300918,1.229946402798265,0.983618688408614,0.029745396175359123,2390,22,692,6
CORE_1,2026_SEQUENTIAL_EARLY,1281,0.809457266394114,0.7196642357254318,0.5250741870873122,0.5547301104799658,0.5507662715052906,0.9540760518794098,1.7599704719996048,0.98121343671677,0.047068813754783174,3472,191,638,6
CORE_1,2026_LATE_HOLDOUT,439,0.8563152232263611,0.7592492288756341,0.6752184766286771,0.6790213545613144,0.6633524154573252,1.0873235689684526,1.5351732527494528,0.9849722492178989,0.05777464225836327,1564,166,292,6
CORE_1,PROSPECTIVE_AUG17_28_CLEAN_RAW,156,0.830140334277703,0.6904059668435576,0.7195537310225963,0.7256646823786457,0.7150652194372773,1.110541224363292,1.49115230308686,0.9826528548694438,0.06183399998323157,603,86,112,6
CORE_1,ALL_GOVERNED_EVALUATION,4309,0.7892251461014459,0.7053690397614637,0.4021825960341384,0.460259466251815,0.4236296945395708,0.8702013943919679,1.7599704719996048,0.9790979358498605,0.03891271089889338,8029,465,1734,6
CORE_1_PLUS_LEAGUE_TOTAL,FROZEN_2025_VALIDATION,2433,0.8169067861335718,0.7482536282787513,0.3305530092143214,0.39704446213452355,0.37585825714617904,0.728228472446788,1.2849733885924186,0.983560935649657,0.03329380635468022,3123,43,928,6
CORE_1_PLUS_LEAGUE_TOTAL,2026_SEQUENTIAL_EARLY,1281,0.8094589039065998,0.7198208242507137,0.59001432818235,0.6122534379466005,0.6148348291394399,1.0198559732836534,1.6940674923272514,0.9811668769039497,0.05183018185763419,4002,272,710,6
CORE_1_PLUS_LEAGUE_TOTAL,2026_LATE_HOLDOUT,439,0.8564306345024058,0.7595832554263479,0.7341798816728217,0.7366424794825699,0.7224926983831583,1.1453268801250025,1.5952029791029387,0.9849060837394171,0.06252681837680178,1758,238,311,6
CORE_1_PLUS_LEAGUE_TOTAL,PROSPECTIVE_AUG17_28_CLEAN_RAW,156,0.8301772855340646,0.6904059668435576,0.7821940468527101,0.786433020959778,0.7758356850382153,1.1751860050769567,1.5816260100120072,0.9825400746891423,0.06684916835512135,666,114,118,6
CORE_1_PLUS_LEAGUE_TOTAL,ALL_GOVERNED_EVALUATION,4309,0.7889584514573083,0.7047515802849902,0.4651592167981958,0.5097181318508853,0.478984708550124,0.9326061195707465,1.6940674923272514,0.9790494545320414,0.04299745587175245,9549,667,2067,6
CORE_1_PLUS_HOME_STARTER_PRIOR_STARTS,FROZEN_2025_VALIDATION,2433,0.7617432409867638,0.6573410771580032,0.18564205862737607,0.33002083874327093,0.27867672736674365,0.6882669127711015,1.290563526004422,0.9792747143295767,0.027781611029052147,2375,44,653,6
CORE_1_PLUS_HOME_STARTER_PRIOR_STARTS,2026_SEQUENTIAL_EARLY,1281,0.712726112570621,0.5527116588176408,0.4201738339725378,0.4935798294182457,0.4593781553660694,0.9636518310547064,1.9893265545232097,0.9728435875146848,0.041997819218385,2905,203,567,6
CORE_1_PLUS_HOME_STARTER_PRIOR_STARTS,2026_LATE_HOLDOUT,439,0.767900896686532,0.583861629368229,0.5587487298543035,0.5793628611182833,0.5603470098277281,1.083706759840504,1.5850099055909856,0.9760892763622526,0.04943962555094675,1243,172,243,6
CORE_1_PLUS_HOME_STARTER_PRIOR_STARTS,PROSPECTIVE_AUG17_28_CLEAN_RAW,156,0.7287539971274709,0.4870724774751065,0.6024645158967369,0.6234410091018145,0.5943206909681127,1.1392187531869378,1.5292666669128785,0.972620887190652,0.05325479267577539,466,91,96,6
CORE_1_PLUS_HOME_STARTER_PRIOR_STARTS,ALL_GOVERNED_EVALUATION,4309,0.7250431067514498,0.5946354133885993,0.30846715406014313,0.41467012197678355,0.3555374746981368,0.8722681809055339,1.9893265545232097,0.9735436358498942,0.035136599982994114,6989,510,1559,6
CORE_1_PLUS_PARK_HISTORY_DEPTH,FROZEN_2025_VALIDATION,2433,0.8878023425527113,0.8331936261366361,-0.07774333169753199,0.2209965932287559,0.19227482993432776,0.4586343763150749,1.093292168365723,0.9892808730304141,0.01876442084966733,475,0,517,6
CORE_1_PLUS_PARK_HISTORY_DEPTH,2026_SEQUENTIAL_EARLY,1281,0.8624208661745416,0.742003652537244,-0.015510207691949078,0.2424122103147171,0.20935196690587965,0.479418664117663,1.5161262650470793,0.9858159590393787,0.02086395316818274,385,5,351,6
CORE_1_PLUS_PARK_HISTORY_DEPTH,2026_LATE_HOLDOUT,439,0.8780403779351937,0.766884040413564,0.04644257190889969,0.22910914595180007,0.1922316145793861,0.48052470707338163,0.8677982137245435,0.9871734490086234,0.01991099267283286,114,0,98,6
CORE_1_PLUS_PARK_HISTORY_DEPTH,PROSPECTIVE_AUG17_28_CLEAN_RAW,156,0.8572811007273742,0.6984462456983014,0.06193045208214092,0.24755647874010997,0.2086561936882565,0.5027924501781005,0.8220071224095005,0.9854255850839994,0.02144217318792038,55,0,43,6
CORE_1_PLUS_PARK_HISTORY_DEPTH,ALL_GOVERNED_EVALUATION,4309,0.8843786249138106,0.8198935804632316,-0.04153368820623373,0.2291511901821799,0.19772034813897754,0.47091029851910243,1.5161262650470793,0.9876756836543913,0.019602335747591536,1029,5,1009,6
CONSERVATIVE_SURVIVOR_CORE,FROZEN_2025_VALIDATION,2433,0.9218768756788687,0.8856507184583549,-0.007922927594630307,0.17520840988843736,0.1441202789029674,0.3602494260473035,1.1174000506916997,0.992486977676091,0.014861812573171294,197,0,420,6
CONSERVATIVE_SURVIVOR_CORE,2026_SEQUENTIAL_EARLY,1281,0.9195595506355208,0.8477020305929335,0.005720203064529002,0.1817323059381009,0.15083052609872993,0.3725761456220589,1.132814658510254,0.9914168463478484,0.015665759038587718,159,3,287,6
CONSERVATIVE_SURVIVOR_CORE,2026_LATE_HOLDOUT,439,0.9317340940500672,0.8730708022591818,0.03488066879452311,0.17177134553623957,0.13932663341357188,0.3776801042059013,0.7150473060028677,0.9926168308672333,0.01491983916826002,24,0,78,6
CONSERVATIVE_SURVIVOR_CORE,PROSPECTIVE_AUG17_28_CLEAN_RAW,156,0.9215935436486207,0.8414771286888744,0.04635470409458907,0.18560691823437173,0.16748680486672818,0.3794411156218116,0.6224206593662007,0.9917660157349966,0.016027859491571615,15,0,27,6
CONSERVATIVE_SURVIVOR_CORE,ALL_GOVERNED_EVALUATION,4309,0.9276608254593088,0.8896318136222361,0.0024588175278435053,0.1771741576004285,0.14697097476199072,0.36664464163577953,1.132814658510254,0.9921839831638178,0.015148940077630063,395,3,812,6
