slate_date,game_pk,player_mlb_id,player,governing_capture,market_timestamp,settlement_side,final_odds,outcome,risk,gross_winning_profit,net_result,decision
2026-07-29,822702,695734,Daylen Lile,cleanroom_20260729T162627Z,2026-07-29T16:25:51+00:00,Over,134,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,822702,695734,Daylen Lile,cleanroom_20260729T162627Z,2026-07-29T16:25:51+00:00,Under,-175,WIN,5.00,2.857142857142857,2.857142857142857,SETTLEMENT_CERTIFIED
2026-07-29,822947,607043,Brandon Nimmo,cleanroom_20260729T194916Z,2026-07-29T19:49:18+00:00,Over,155,WIN,5.00,7.75,7.75,SETTLEMENT_CERTIFIED
2026-07-29,822947,607043,Brandon Nimmo,cleanroom_20260729T194916Z,2026-07-29T19:49:18+00:00,Under,-204,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,822947,650490,Yandy Díaz,cleanroom_20260729T194916Z,2026-07-29T19:49:18+00:00,Over,107,WIN,5.00,5.35,5.35,SETTLEMENT_CERTIFIED
2026-07-29,822947,650490,Yandy Díaz,cleanroom_20260729T194916Z,2026-07-29T19:49:18+00:00,Under,-139,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,822947,666018,Jonathan Aranda,cleanroom_20260729T194916Z,2026-07-29T19:49:18+00:00,Over,146,WIN,5.00,7.3,7.3,SETTLEMENT_CERTIFIED
2026-07-29,822947,666018,Jonathan Aranda,cleanroom_20260729T194916Z,2026-07-29T19:49:18+00:00,Under,-192,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,822947,668723,Ryan Vilade,cleanroom_20260729T175530Z,2026-07-29T17:55:52+00:00,Over,171,WIN,5.00,8.55,8.55,SETTLEMENT_CERTIFIED
2026-07-29,822947,668723,Ryan Vilade,cleanroom_20260729T175530Z,2026-07-29T17:55:52+00:00,Under,-227,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,822947,669394,Jake Burger,cleanroom_20260729T194916Z,2026-07-29T19:49:18+00:00,Over,136,WIN,5.00,6.8,6.8,SETTLEMENT_CERTIFIED
2026-07-29,822947,669394,Jake Burger,cleanroom_20260729T194916Z,2026-07-29T19:49:18+00:00,Under,-179,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,822947,676356,Jonny DeLuca,cleanroom_20260729T194916Z,2026-07-29T19:49:18+00:00,Over,178,LOSS,5.00,0,-5.0,SETTLEMENT_CERTIFIED
2026-07-29,822947,676356,Jonny DeLuca,cleanroom_20260729T194916Z,2026-07-29T19:49:18+00:00,Under,-238,WIN,5.00,2.100840336134454,2.100840336134454,SETTLEMENT_CERTIFIED
