slate_date,game_pk,player_mlb_id,prop_type,line,population_source,population_sha256,governing_capture,market_timestamp,over_odds,under_odds,official_outcome_source,outcome_payload_sha256,total_bases,action_status,over_settlement,under_settlement,closeout_revision
2026-07-29,822702,543807,Total Bases,1.5,backend/mlb/exports/cleanroom_v1/bol_tb15/2026-07-29/bol_tb15_final_pregame_actionable_2026-07-29.csv,cd88e38bead14a3e33bbe396a2c742c1623740121361b4f1dc28cf4f7ed1cb3a,cleanroom_20260729T162627Z,2026-07-29T16:25:51+00:00,112,-145,backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-29/closeout_20260730T144954Z/game_822702.json,8209359680c5bab72364073795b3bf2b284d46158c75f268082814745fee9cf2,1,SETTLED,OVER_LOSS,UNDER_WIN,1
2026-07-29,822702,649966,Total Bases,1.5,backend/mlb/exports/cleanroom_v1/bol_tb15/2026-07-29/bol_tb15_final_pregame_actionable_2026-07-29.csv,cd88e38bead14a3e33bbe396a2c742c1623740121361b4f1dc28cf4f7ed1cb3a,cleanroom_20260729T135332Z,2026-07-29T13:53:53+00:00,190,-256,backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-29/closeout_20260730T144954Z/game_822702.json,8209359680c5bab72364073795b3bf2b284d46158c75f268082814745fee9cf2,0,VOID,NO_ACTION,NO_ACTION,1
2026-07-29,822702,660688,Total Bases,1.5,backend/mlb/exports/cleanroom_v1/bol_tb15/2026-07-29/bol_tb15_final_pregame_actionable_2026-07-29.csv,cd88e38bead14a3e33bbe396a2c742c1623740121361b4f1dc28cf4f7ed1cb3a,cleanroom_20260729T135332Z,2026-07-29T13:53:53+00:00,171,-227,backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-29/closeout_20260730T144954Z/game_822702.json,8209359680c5bab72364073795b3bf2b284d46158c75f268082814745fee9cf2,0,VOID,NO_ACTION,NO_ACTION,1
2026-07-29,822702,662139,Total Bases,1.5,backend/mlb/exports/cleanroom_v1/bol_tb15/2026-07-29/bol_tb15_final_pregame_actionable_2026-07-29.csv,cd88e38bead14a3e33bbe396a2c742c1623740121361b4f1dc28cf4f7ed1cb3a,cleanroom_20260729T162627Z,2026-07-29T16:25:51+00:00,122,-159,backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-29/closeout_20260730T144954Z/game_822702.json,8209359680c5bab72364073795b3bf2b284d46158c75f268082814745fee9cf2,3,SETTLED,OVER_WIN,UNDER_LOSS,1
2026-07-29,822702,664770,Total Bases,1.5,backend/mlb/exports/cleanroom_v1/bol_tb15/2026-07-29/bol_tb15_final_pregame_actionable_2026-07-29.csv,cd88e38bead14a3e33bbe396a2c742c1623740121361b4f1dc28cf4f7ed1cb3a,cleanroom_20260729T162627Z,2026-07-29T16:25:51+00:00,109,-141,backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-29/closeout_20260730T144954Z/game_822702.json,8209359680c5bab72364073795b3bf2b284d46158c75f268082814745fee9cf2,0,SETTLED,OVER_LOSS,UNDER_WIN,1
2026-07-29,822702,665926,Total Bases,1.5,backend/mlb/exports/cleanroom_v1/bol_tb15/2026-07-29/bol_tb15_final_pregame_actionable_2026-07-29.csv,cd88e38bead14a3e33bbe396a2c742c1623740121361b4f1dc28cf4f7ed1cb3a,cleanroom_20260729T162627Z,2026-07-29T16:25:51+00:00,152,-200,backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-29/closeout_20260730T144954Z/game_822702.json,8209359680c5bab72364073795b3bf2b284d46158c75f268082814745fee9cf2,0,SETTLED,OVER_LOSS,UNDER_WIN,1
2026-07-29,822702,671277,Total Bases,1.5,backend/mlb/exports/cleanroom_v1/bol_tb15/2026-07-29/bol_tb15_final_pregame_actionable_2026-07-29.csv,cd88e38bead14a3e33bbe396a2c742c1623740121361b4f1dc28cf4f7ed1cb3a,cleanroom_20260729T162627Z,2026-07-29T16:25:51+00:00,110,-143,backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-29/closeout_20260730T144954Z/game_822702.json,8209359680c5bab72364073795b3bf2b284d46158c75f268082814745fee9cf2,1,SETTLED,OVER_LOSS,UNDER_WIN,1
2026-07-29,822702,672386,Total Bases,1.5,backend/mlb/exports/cleanroom_v1/bol_tb15/2026-07-29/bol_tb15_final_pregame_actionable_2026-07-29.csv,cd88e38bead14a3e33bbe396a2c742c1623740121361b4f1dc28cf4f7ed1cb3a,cleanroom_20260729T162627Z,2026-07-29T16:25:51+00:00,136,-179,backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-29/closeout_20260730T144954Z/game_822702.json,8209359680c5bab72364073795b3bf2b284d46158c75f268082814745fee9cf2,2,SETTLED,OVER_WIN,UNDER_LOSS,1
2026-07-29,822702,672960,Total Bases,1.5,backend/mlb/exports/cleanroom_v1/bol_tb15/2026-07-29/bol_tb15_final_pregame_actionable_2026-07-29.csv,cd88e38bead14a3e33bbe396a2c742c1623740121361b4f1dc28cf4f7ed1cb3a,cleanroom_20260729T162627Z,2026-07-29T16:25:51+00:00,107,-139,backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-29/closeout_20260730T144954Z/game_822702.json,8209359680c5bab72364073795b3bf2b284d46158c75f268082814745fee9cf2,4,SETTLED,OVER_WIN,UNDER_LOSS,1
2026-07-29,822702,676391,Total Bases,1.5,backend/mlb/exports/cleanroom_v1/bol_tb15/2026-07-29/bol_tb15_final_pregame_actionable_2026-07-29.csv,cd88e38bead14a3e33bbe396a2c742c1623740121361b4f1dc28cf4f7ed1cb3a,cleanroom_20260729T162627Z,2026-07-29T16:25:51+00:00,124,-161,backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-29/closeout_20260730T144954Z/game_822702.json,8209359680c5bab72364073795b3bf2b284d46158c75f268082814745fee9cf2,2,SETTLED,OVER_WIN,UNDER_LOSS,1
2026-07-29,822702,676914,Total Bases,1.5,backend/mlb/exports/cleanroom_v1/bol_tb15/2026-07-29/bol_tb15_final_pregame_actionable_2026-07-29.csv,cd88e38bead14a3e33bbe396a2c742c1623740121361b4f1dc28cf4f7ed1cb3a,cleanroom_20260729T162627Z,2026-07-29T16:25:51+00:00,152,-200,backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-29/closeout_20260730T144954Z/game_822702.json,8209359680c5bab72364073795b3bf2b284d46158c75f268082814745fee9cf2,2,SETTLED,OVER_WIN,UNDER_LOSS,1
