slate_date,frozen_population_path,population_manifest_path,population_manifest_sha256,frozen_identities,actionable_identities,no_action_identities,pending_identities,technical_unresolved_identities,closeout_status,closeout_revision
2026-07-29,backend/mlb/exports/cleanroom_v1/bol_tb15/2026-07-29/bol_tb15_final_pregame_actionable_2026-07-29.csv,backend/mlb/exports/cleanroom_v1/bol_tb15/2026-07-29/final_population_manifest.json,6f53327a59cff27648c9b33ce4329b94a59d1295a97b356c05315950d0eafe0e,232,218,13,0,1,FINAL_WITH_UNSUPPORTED_VOID,1
2026-07-30,backend/mlb/exports/cleanroom_v1/bol_tb15/2026-07-30/under_hypotheses/baseline_all_under.csv,backend/mlb/exports/cleanroom_v1/bol_tb15/2026-07-30/under_hypotheses/under_hypothesis_manifest.json,6353669a4dabe4c28b5a96f8a70ef4ee33d4964baea4c843525a206f52ac7f5b,129,126,3,0,0,FINAL,1
