slate_date,frozen_identity,matched_result_identity,join_count,frozen_player,official_player,join_decision
2026-07-29,2026-07-29|822947|666018|Total Bases|1.5,822947|666018,1,Jonathan Aranda,Jonathan Aranda,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|822947|668723|Total Bases|1.5,822947|668723,1,Ryan Vilade,Ryan Vilade,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|822947|669394|Total Bases|1.5,822947|669394,1,Jake Burger,Jake Burger,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|822947|676356|Total Bases|1.5,822947|676356,1,Jonny DeLuca,Jonny DeLuca,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|822947|677649|Total Bases|1.5,822947|677649,1,Ezequiel Duran,Ezequiel Duran,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|822947|691406|Total Bases|1.5,822947|691406,1,Junior Caminero,Junior Caminero,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|822947|694671|Total Bases|1.5,822947|694671,1,Wyatt Langford,Wyatt Langford,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|822947|802415|Total Bases|1.5,822947|802415,1,Chandler Simpson,Chandler Simpson,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823022|608324|Total Bases|1.5,823022|608324,1,Alex Bregman,Alex Bregman,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823022|608348|Total Bases|1.5,823022|608348,1,Carson Kelly,Carson Kelly,NO_ACTION_ZERO_PA
2026-07-29,2026-07-29|823022|621020|Total Bases|1.5,823022|621020,1,Dansby Swanson,Dansby Swanson,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823022|663538|Total Bases|1.5,823022|663538,1,Nico Hoerner,Nico Hoerner,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823022|664023|Total Bases|1.5,823022|664023,1,Ian Happ,Ian Happ,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823022|665877|Total Bases|1.5,823022|665877,1,José Fermín,José Fermín,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823022|671056|Total Bases|1.5,823022|671056,1,Iván Herrera,Iván Herrera,EXACT_ONE_TO_ONE_MATCH
2026-07-29,2026-07-29|823022|673548|Total Bases|1.5,823022|673548,1,Seiya Suzuki,Seiya Suzuki,EXACT_ONE_TO_ONE_MATCH
