slate_date,game_pk,official_game_status,official_completion_timestamp,outcome_ingestion_run,source_observation_timestamp,source_ingestion_timestamp,raw_payload_path,payload_sha256,verified_payload_sha256,parsed_player_result_count,decision
2026-07-29,824487,Final,,closeout_20260730T144954Z,,,backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-29/closeout_20260730T144954Z/game_824487.json,8eca9ae3eb670858a5ffc5a58fc8015c30f29943138e2b3110d02a9e287ce036,8eca9ae3eb670858a5ffc5a58fc8015c30f29943138e2b3110d02a9e287ce036,52,OUTCOME_SOURCE_CERTIFIED_FINAL
2026-07-29,824567,Final,,closeout_20260730T144954Z,,,backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-29/closeout_20260730T144954Z/game_824567.json,068455ec918398b49cccb03d3178a9f697cdd59034c572e86e055ad3f840d4b6,068455ec918398b49cccb03d3178a9f697cdd59034c572e86e055ad3f840d4b6,52,OUTCOME_SOURCE_CERTIFIED_FINAL
2026-07-29,824973,Final,,closeout_20260730T144954Z,,,backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-29/closeout_20260730T144954Z/game_824973.json,1df1b58b7bb6e48707c815ba4c584c9f5914ca95685e02f621737b337352989b,1df1b58b7bb6e48707c815ba4c584c9f5914ca95685e02f621737b337352989b,52,OUTCOME_SOURCE_CERTIFIED_FINAL
2026-07-30,822946,Final,,closeout_20260731T163125Z,,,backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_822946.json,0002acb38367329c841e41880f04662c5768262c0f7b56f56b332986caea16d9,0002acb38367329c841e41880f04662c5768262c0f7b56f56b332986caea16d9,52,OUTCOME_SOURCE_CERTIFIED_FINAL
2026-07-30,823023,Final,,closeout_20260731T163125Z,,,backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_823023.json,db83777a472e64c24aa1b06783bbdf01caad8ac97a593930bb2b4ab6ff8c6d73,db83777a472e64c24aa1b06783bbdf01caad8ac97a593930bb2b4ab6ff8c6d73,52,OUTCOME_SOURCE_CERTIFIED_FINAL
2026-07-30,823271,Final,,closeout_20260731T163125Z,,,backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_823271.json,fb1dba5f26e04636b9cc795ef56f922957f9185c0d4d3208cf618ddb992ee92b,fb1dba5f26e04636b9cc795ef56f922957f9185c0d4d3208cf618ddb992ee92b,52,OUTCOME_SOURCE_CERTIFIED_FINAL
2026-07-30,823595,Final,,closeout_20260731T163125Z,,,backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_823595.json,41e2dab8271720e4f147930564e4e6cb2da320632fb3fad22bb5ed1a50642c3e,41e2dab8271720e4f147930564e4e6cb2da320632fb3fad22bb5ed1a50642c3e,52,OUTCOME_SOURCE_CERTIFIED_FINAL
2026-07-30,823674,Final,,closeout_20260731T163125Z,,,backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_823674.json,f3a3bb535840674a960a59b9d5d83bdb27eb799e51d57b8f7cb5da2d5d5208f2,f3a3bb535840674a960a59b9d5d83bdb27eb799e51d57b8f7cb5da2d5d5208f2,52,OUTCOME_SOURCE_CERTIFIED_FINAL
2026-07-30,823921,Final,,closeout_20260731T163125Z,,,backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_823921.json,265d61d49b4eb49fd213c98c1f4a70a8a5e2b983ac308fb2115497a298950405,265d61d49b4eb49fd213c98c1f4a70a8a5e2b983ac308fb2115497a298950405,52,OUTCOME_SOURCE_CERTIFIED_FINAL
2026-07-30,824488,Final,,closeout_20260731T163125Z,,,backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_824488.json,dc682f7bb3d289f04532b61d2b280319827d3172072d3187cdecb62cd92e5c74,dc682f7bb3d289f04532b61d2b280319827d3172072d3187cdecb62cd92e5c74,52,OUTCOME_SOURCE_CERTIFIED_FINAL
2026-07-30,824568,Final,,closeout_20260731T163125Z,,,backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_824568.json,50f1014c75025ae781ed069f6d340dbdecc196e01724ea8ed588575a4d9a6155,50f1014c75025ae781ed069f6d340dbdecc196e01724ea8ed588575a4d9a6155,52,OUTCOME_SOURCE_CERTIFIED_FINAL
2026-07-30,824894,Final,,closeout_20260731T163125Z,,,backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_824894.json,26e11924f8ce5fc3dc1e4bb95a3b86e641c5970b6c3a741129aea0c994db2d70,26e11924f8ce5fc3dc1e4bb95a3b86e641c5970b6c3a741129aea0c994db2d70,52,OUTCOME_SOURCE_CERTIFIED_FINAL
2026-07-30,824974,Final,,closeout_20260731T163125Z,,,backend/mlb/exports/cleanroom_v1/raw/MLB_STATS_API/2026-07-30/closeout_20260731T163125Z/game_824974.json,38cde83809e602ef6fee68ab9da6bb0260e6d542d8c2d714db1c00a66d68493b,38cde83809e602ef6fee68ab9da6bb0260e6d542d8c2d714db1c00a66d68493b,52,OUTCOME_SOURCE_CERTIFIED_FINAL
