field,canonical_season,count,missing_rate,mean,q25,median,q75,min,max,spearman_home_win,diagnostic_only
away_r5_sa_pg,2023,1385,0.010714285714285714,30.152527075812273,27.8,30.0,32.6,20.2,41.0,0.15715774982537736,YES_NO_MODEL_OR_THRESHOLD
away_r5_sa_pg,2024,1383,0.01072961373390558,28.2029525186792,25.8,28.0,30.4,17.4,48.0,0.07745568503741884,YES_NO_MODEL_OR_THRESHOLD
away_r10_gf_pg,2023,1385,0.010714285714285714,3.1239934674230705,2.7,3.1,3.6,0.0,8.0,-0.07853539831010804,YES_NO_MODEL_OR_THRESHOLD
away_r10_gf_pg,2024,1383,0.01072961373390558,3.045619426367799,2.6666666666666665,3.0,3.4,0.0,6.0,-0.030046921723072138,YES_NO_MODEL_OR_THRESHOLD
away_r10_ga_pg,2023,1385,0.010714285714285714,3.0922568907225942,2.6,3.1,3.6,0.0,6.0,0.10649479920586277,YES_NO_MODEL_OR_THRESHOLD
away_r10_ga_pg,2024,1383,0.01072961373390558,3.01762960667516,2.6,3.0,3.4,0.0,6.0,0.0537650875519239,YES_NO_MODEL_OR_THRESHOLD
away_r10_goal_diff_pg,2023,1385,0.010714285714285714,0.03173657670047562,-0.6000000000000001,0.0,0.7000000000000002,-4.0,7.0,-0.11547466178273225,YES_NO_MODEL_OR_THRESHOLD
away_r10_goal_diff_pg,2024,1383,0.01072961373390558,0.027989819692639663,-0.6000000000000001,0.0,0.6999999999999997,-6.0,3.1999999999999997,-0.04345054125049377,YES_NO_MODEL_OR_THRESHOLD
away_r10_sf_pg,2023,1385,0.010714285714285714,30.398250243539056,28.2,30.5,32.7,20.1,44.5,-0.13285117637148358,YES_NO_MODEL_OR_THRESHOLD
away_r10_sf_pg,2024,1383,0.01072961373390558,28.31663080030759,26.4,28.2,30.1,20.1,48.0,-0.1096260618516596,YES_NO_MODEL_OR_THRESHOLD
away_r10_sa_pg,2023,1385,0.010714285714285714,30.18633545355567,28.1,30.0,32.2,21.0,41.0,0.16180211797559405,YES_NO_MODEL_OR_THRESHOLD
away_r10_sa_pg,2024,1383,0.01072961373390558,28.178352787246496,26.2,28.2,29.86111111111111,18.2,48.0,0.07805999290615268,YES_NO_MODEL_OR_THRESHOLD
diff_std_gf_pg,2023,1381,0.013571428571428571,-0.013688949010249623,-0.40542005420054217,-0.010885341074020616,0.42401628222523735,-7.0,4.166666666666666,0.15503165967858684,YES_NO_MODEL_OR_THRESHOLD
diff_std_gf_pg,2024,1378,0.01430615164520744,0.015407743482537505,-0.375,0.0,0.36988304093567237,-5.0,4.0,0.12928508050101445,YES_NO_MODEL_OR_THRESHOLD
diff_std_ga_pg,2023,1381,0.013571428571428571,0.011639324879850449,-0.41208791208791196,0.0,0.40522875816993453,-3.8,7.0,-0.14323684381388907,YES_NO_MODEL_OR_THRESHOLD
diff_std_ga_pg,2024,1378,0.01430615164520744,0.010502573226192238,-0.3684705413265783,0.0,0.3711279461279461,-5.0,6.0,-0.11222005890665374,YES_NO_MODEL_OR_THRESHOLD
diff_std_goal_diff_pg,2023,1381,0.013571428571428571,-0.025328273890100082,-0.6444444444444444,0.0071428571428571175,0.6664775950085082,-14.0,4.653846153846154,0.1791059388155287,YES_NO_MODEL_OR_THRESHOLD
diff_std_goal_diff_pg,2024,1378,0.01430615164520744,0.00490517025634527,-0.6511363636363635,0.002593957558689297,0.6236154244306422,-6.5,9.0,0.1395773523442643,YES_NO_MODEL_OR_THRESHOLD
diff_std_sf_pg,2023,1381,0.013571428571428571,-0.06753491047726663,-2.5990990990990994,-0.11212121212120962,2.3871794871794876,-15.5,21.0,0.16485433012096667,YES_NO_MODEL_OR_THRESHOLD
diff_std_sf_pg,2024,1378,0.01430615164520744,-0.053287817208592096,-1.8840497737556552,0.0,1.8938595604754376,-18.5,15.5,0.12737859161143777,YES_NO_MODEL_OR_THRESHOLD
diff_std_sa_pg,2023,1381,0.013571428571428571,-0.0251469952419671,-2.114804964539008,-0.047224926971761505,2.095372233400404,-17.0,14.0,-0.23216039554791323,YES_NO_MODEL_OR_THRESHOLD
diff_std_sa_pg,2024,1378,0.01430615164520744,0.003982791976929509,-1.9291666666666663,-0.0029195134509407694,1.9214743589743595,-13.0,10.420289855072465,-0.16107755480306546,YES_NO_MODEL_OR_THRESHOLD
diff_std_shot_diff_pg,2023,1381,0.013571428571428571,-0.04238791523529952,-4.436853002070393,-0.0892857142857153,4.331700347009587,-26.5,38.0,0.21608231417387114,YES_NO_MODEL_OR_THRESHOLD
diff_std_shot_diff_pg,2024,1378,0.01430615164520744,-0.05727060918552161,-3.3707277265744997,0.0,3.23088280766852,-18.875,18.0,0.17008431854687703,YES_NO_MODEL_OR_THRESHOLD
diff_r5_goal_diff_pg,2023,1381,0.013571428571428571,-0.07101134443639874,-1.4,0.0,1.2000000000000002,-14.0,5.2,0.10625408771870597,YES_NO_MODEL_OR_THRESHOLD
diff_r5_goal_diff_pg,2024,1378,0.01430615164520744,-0.03576439283986454,-1.2000000000000002,0.0,1.1999999999999997,-6.5,9.0,0.07457810362220599,YES_NO_MODEL_OR_THRESHOLD
diff_r10_goal_diff_pg,2023,1381,0.013571428571428571,-0.006912692665770151,-0.9999999999999996,0.0,1.0,-14.0,4.499999999999999,0.13126631857930304,YES_NO_MODEL_OR_THRESHOLD
diff_r10_goal_diff_pg,2024,1378,0.01430615164520744,-0.017216117216117235,-1.0,-0.09999999999999964,0.9000000000000004,-6.5,9.0,0.08712025009810258,YES_NO_MODEL_OR_THRESHOLD
diff_days_rest,2023,1381,0.013571428571428571,0.16220130340333092,0.0,0.0,1.0,-10.0,10.0,0.0625487964792013,YES_NO_MODEL_OR_THRESHOLD
diff_days_rest,2024,145,0.8962804005722461,-0.2,0.0,0.0,1.0,-88.0,4.0,0.1399240002691018,YES_NO_MODEL_OR_THRESHOLD
diff_games_prior_7d,2023,1400,0.0,-0.030714285714285715,-1.0,0.0,0.0,-3.0,2.0,-0.0561445303376975,YES_NO_MODEL_OR_THRESHOLD
diff_games_prior_7d,2024,163,0.8834048640915594,-0.08588957055214724,-1.0,0.0,0.0,-2.0,3.0,-0.11256338719439711,YES_NO_MODEL_OR_THRESHOLD
