canonical_season,games,goalie_source_games,home_away_goalie_rows,games_with_two_team_goalies,identity_class,projected_pregame_certified,confirmed_pregame_certified,actual_starter_oracle_games,unknown_games,timing_evidence
2023,1400,1400,2800,1400,ACTUAL_STARTER_ONLY,0,0,1400,0,created_at is posthoc; start_flag false; max TOI proxy outcome-known
2024,1398,1316,2632,1316,ACTUAL_STARTER_ONLY,0,0,1316,82,created_at is posthoc; start_flag false; max TOI proxy outcome-known
