canonical_season,games,canonical_date_missing,exact_schedule_games,date_blocked_games,home_rest_nonmissing,away_rest_nonmissing,helper_used,season_boundary,travel,timezone
2023,1400,0,1400,0,1383,1385,NO,grouped by authoritative canonical_season,NO_RELIABLE_SOURCE,NO_RELIABLE_SOURCE
2024,1398,82,163,1235,297,281,NO,grouped by authoritative canonical_season,NO_RELIABLE_SOURCE,NO_RELIABLE_SOURCE
