slate_date,partition,game_pk,player_mlb_id,books_observed,books_executable,betonline_odds,best_observed_book,best_observed_odds,best_executable_book,best_executable_odds,median_odds,american_odds_improvement_vs_betonline,break_even_improvement_vs_betonline
2026-05-01,DESIGN,824041,668901,2,1,-217.0,betonlineag,-217.0,betonlineag,-217.0,-218.48970251716253,0.0,0.0
2026-05-01,DESIGN,824041,677595,2,1,-238.0,betonlineag,-238.0,betonlineag,-238.0,-238.99581589958154,0.0,0.0
2026-05-01,DESIGN,824041,682626,5,1,-192.0,draftkings,-169.0,betonlineag,-192.0,-178.99999999999997,23.0,0.029281458471253186
2026-05-01,DESIGN,824041,687263,6,1,-179.0,bovada,-170.0,betonlineag,-179.0,-174.49856733524354,9.0,0.01194743130226994
2026-05-01,DESIGN,824041,701807,2,1,-213.0,betonlineag,-213.0,betonlineag,-213.0,-214.4895104895104,0.0,0.0
2026-05-01,DESIGN,824287,607043,6,1,-192.0,williamhill_us,-179.0,betonlineag,-192.0,-190.99476439790575,13.0,0.01595718564344284
2026-05-01,DESIGN,824287,650402,2,1,-238.0,betonlineag,-238.0,betonlineag,-238.0,-238.99581589958154,0.0,0.0
2026-05-01,DESIGN,824287,669394,2,1,-227.0,betonlineag,-227.0,betonlineag,-227.0,-228.4901531728665,0.0,0.0
2026-05-01,DESIGN,824287,693307,2,1,-217.0,mybookieag,-216.0,betonlineag,-217.0,-216.4988452655889,1.0,0.000998282953320273
2026-05-01,DESIGN,824366,621566,7,1,-120.0,betmgm,-110.0,betonlineag,-120.0,-135.0,10.0,0.021645021645021578
2026-05-01,DESIGN,824366,622761,2,1,-208.0,betonlineag,-208.0,betonlineag,-208.0,-209.98095238095235,0.0,0.0
2026-05-01,DESIGN,824366,641680,6,1,-154.0,bovada,-135.0,betonlineag,-154.0,-150.94039735099335,19.0,0.0318311274920422
2026-05-01,DESIGN,824366,642201,6,1,-179.0,bovada,-170.0,betonlineag,-179.0,-172.46376811594197,9.0,0.01194743130226994
2026-05-01,DESIGN,824366,650489,5,1,-189.0,williamhill_us,-179.0,betonlineag,-189.0,-190.00000000000006,10.0,0.012402177822425697
2026-05-01,DESIGN,824366,663586,6,1,-115.0,bovada,-110.0,betonlineag,-115.0,-113.48017621145375,5.0,0.011074197120708673
2026-05-01,DESIGN,824366,678662,5,1,-200.0,williamhill_us,-190.0,betonlineag,-200.0,-200.0,10.0,0.011494252873563204
2026-05-01,DESIGN,824366,687859,5,1,-175.0,bovada,-165.0,betonlineag,-175.0,-173.00000000000003,10.0,0.013722126929674117
2026-05-01,DESIGN,824366,691720,2,1,-217.0,betonlineag,-217.0,betonlineag,-217.0,-218.48970251716253,0.0,0.0
2026-05-01,DESIGN,824686,663538,6,1,-185.0,williamhill_us,-176.0,betonlineag,-185.0,-185.0,9.0,0.011441647597254079
2026-05-01,DESIGN,824686,664023,2,1,-238.0,mybookieag,-234.0,betonlineag,-238.0,-235.9830508474576,4.0,0.0035432094391100177
2026-05-01,DESIGN,825012,666310,2,1,-227.0,betonlineag,-227.0,betonlineag,-227.0,-228.4901531728665,0.0,0.0
2026-05-01,DESIGN,825012,667670,5,1,-182.0,bovada,-170.0,betonlineag,-182.0,-174.0,12.0,0.01576044129235621
2026-05-01,DESIGN,825012,677587,2,1,-238.0,betonlineag,-238.0,betonlineag,-238.0,-238.99581589958154,0.0,0.0
2026-05-01,DESIGN,825012,680757,6,1,-149.0,draftkings,-144.0,betonlineag,-149.0,-146.97278911564626,5.0,0.00822963987095926
2026-05-01,DESIGN,825012,687231,2,1,-227.0,betonlineag,-227.0,betonlineag,-227.0,-228.4901531728665,0.0,0.0
2026-05-01,DESIGN,825012,687515,2,1,-238.0,betonlineag,-238.0,betonlineag,-238.0,-238.99581589958154,0.0,0.0
2026-05-01,DESIGN,825012,691016,5,1,-192.0,bovada,-185.0,betonlineag,-192.0,-190.00000000000006,7.0,0.00841143955779855
2026-05-01,DESIGN,825012,700932,4,1,-196.0,betmgm,-185.0,betonlineag,-196.0,-192.9533678756477,11.0,0.013039355144618292
2026-05-01,DESIGN,825012,800050,6,1,-145.0,betonlineag,-145.0,betonlineag,-145.0,-145.99315068493152,0.0,0.0
2026-05-02,DESIGN,822746,650859,3,1,-192.0,williamhill_us,-190.0,betonlineag,-192.0,-191.99999999999994,2.0,0.002361832782239004
2026-05-02,DESIGN,822746,663604,5,1,-204.0,bovada,-200.0,betonlineag,-204.0,-203.99999999999997,4.0,0.004385964912280715
2026-05-02,DESIGN,822746,678554,2,1,-222.0,mybookieag,-220.0,betonlineag,-222.0,-220.9954751131221,2.0,0.0019409937888198447
2026-05-02,DESIGN,822746,695578,4,1,-185.0,williamhill_us,-182.0,betonlineag,-185.0,-185.0,3.0,0.0037327360955580202
2026-05-02,DESIGN,822746,695734,2,1,-213.0,mybookieag,-212.0,betonlineag,-213.0,-212.4988235294117,1.0,0.0010240026214466402
2026-05-02,DESIGN,822988,656305,3,1,-217.0,betmgm,-185.0,betonlineag,-217.0,-217.0,32.0,0.03541977973324473
2026-05-02,DESIGN,822988,802415,6,1,-208.0,betmgm,-185.0,betonlineag,-208.0,-207.99999999999997,23.0,0.02620186830713145
2026-05-02,DESIGN,823067,518692,6,1,-128.0,bovada,-125.0,betonlineag,-128.0,-128.0,3.0,0.005847953216374213
2026-05-02,DESIGN,823067,663656,6,1,-175.0,bovada,-160.0,betonlineag,-175.0,-173.99425287356325,15.0,0.020979020979020935
2026-05-02,DESIGN,823067,669257,6,1,-172.0,williamhill_us,-164.0,betonlineag,-172.0,-170.9941520467836,8.0,0.011140819964349347
2026-05-02,DESIGN,823067,681624,6,1,-175.0,bovada,-170.0,betonlineag,-175.0,-174.49856733524354,5.0,0.006734006734006703
2026-05-02,DESIGN,823144,663728,5,1,-164.0,bovada,-150.0,betonlineag,-164.0,-154.0,14.0,0.021212121212121238
2026-05-02,DESIGN,823308,609280,2,1,-227.0,betonlineag,-227.0,betonlineag,-227.0,-228.4901531728665,0.0,0.0
2026-05-02,DESIGN,823308,665487,6,1,-135.0,draftkings,-129.0,betonlineag,-135.0,-135.9926470588235,6.0,0.01114930781380663
2026-05-02,DESIGN,823308,701538,6,1,-167.0,williamhill_us,-162.0,betonlineag,-167.0,-170.9941520467836,5.0,0.007147554106984533
2026-05-02,DESIGN,823388,656811,5,1,-192.0,betonlineag,-192.0,betonlineag,-192.0,-192.99999999999997,0.0,0.0
2026-05-02,DESIGN,823388,701398,6,1,-172.0,bovada,-165.0,betonlineag,-172.0,-172.49855072463768,7.0,0.009711431742508325
2026-05-02,DESIGN,823554,621493,6,1,-182.0,bovada,-165.0,betonlineag,-182.0,-178.94972067039106,17.0,0.022748561488023622
2026-05-02,DESIGN,823554,669236,3,1,-217.0,mybookieag,-216.0,betonlineag,-217.0,-217.0,1.0,0.000998282953320273
2026-05-02,DESIGN,823715,543807,6,1,-161.0,betmgm,-145.0,betonlineag,-161.0,-160.49844236760126,16.0,0.025021502854015165
2026-05-02,DESIGN,823715,672820,4,1,-189.0,mybookieag,-179.0,betonlineag,-189.0,-192.91709844559585,10.0,0.012402177822425697
2026-05-02,DESIGN,823876,664761,2,1,-208.0,betonlineag,-208.0,betonlineag,-208.0,-209.98095238095235,0.0,0.0
2026-05-02,DESIGN,823876,669065,6,1,-167.0,draftkings,-157.0,betonlineag,-167.0,-163.4862385321101,10.0,0.014573223159766169
2026-05-02,DESIGN,823876,669364,6,1,-185.0,betmgm,-175.0,betonlineag,-185.0,-185.0,10.0,0.012759170653907526
2026-05-02,DESIGN,823876,805300,6,1,-185.0,betmgm,-165.0,betonlineag,-185.0,-185.0,20.0,0.026481297583581642
2026-05-02,DESIGN,824042,543760,5,1,-175.0,draftkings,-169.0,betonlineag,-175.0,-169.99999999999997,6.0,0.00811084825954711
2026-05-02,DESIGN,824042,666176,4,1,-213.0,bovada,-190.0,betonlineag,-213.0,-204.14669926650367,23.0,0.02533876831552273
2026-05-02,DESIGN,824042,668901,2,1,-192.0,betonlineag,-192.0,betonlineag,-192.0,-193.97938144329896,0.0,0.0
2026-05-02,DESIGN,824042,682626,5,1,-175.0,bovada,-170.0,betonlineag,-175.0,-169.99999999999997,5.0,0.006734006734006703
2026-05-02,DESIGN,824042,687263,2,1,-227.0,betonlineag,-227.0,betonlineag,-227.0,-228.4901531728665,0.0,0.0
2026-05-02,DESIGN,824284,607043,6,1,-159.0,williamhill_us,-157.0,betonlineag,-159.0,-163.99999999999997,2.0,0.003004672265372599
2026-05-02,DESIGN,824284,608369,6,1,-169.0,williamhill_us,-159.0,betonlineag,-169.0,-169.99999999999997,10.0,0.01435317420447535
2026-05-02,DESIGN,824284,650402,2,1,-238.0,betonlineag,-238.0,betonlineag,-238.0,-238.99581589958154,0.0,0.0
2026-05-02,DESIGN,824284,669394,5,1,-192.0,williamhill_us,-182.0,betonlineag,-192.0,-185.0,10.0,0.01214417565335657
2026-05-02,DESIGN,824284,681481,2,1,-213.0,betonlineag,-213.0,betonlineag,-213.0,-214.4895104895104,0.0,0.0
2026-05-02,DESIGN,824284,690993,3,1,-196.0,williamhill_us,-182.0,betonlineag,-196.0,-196.00000000000003,14.0,0.016772091240176312
2026-05-02,DESIGN,824284,693307,5,1,-175.0,williamhill_us,-170.0,betonlineag,-175.0,-180.0,5.0,0.006734006734006703
2026-05-02,DESIGN,824685,606466,6,1,-161.0,bovada,-150.0,betonlineag,-161.0,-159.00000000000003,11.0,0.01685823754789273
2026-05-02,DESIGN,824685,608324,4,1,-200.0,betmgm,-185.0,betonlineag,-200.0,-195.95408163265304,15.0,0.01754385964912275
2026-05-02,DESIGN,824685,666971,3,1,-222.0,betmgm,-200.0,betonlineag,-222.0,-219.99999999999997,22.0,0.022774327122153215
2026-05-02,DESIGN,824685,683737,2,1,-213.0,mybookieag,-212.0,betonlineag,-213.0,-212.4988235294117,1.0,0.0010240026214466402
2026-05-02,DESIGN,824771,514888,6,1,-185.0,betmgm,-185.0,betonlineag,-185.0,-187.46666666666673,0.0,0.0
2026-05-02,DESIGN,824771,596115,5,1,-182.0,betonlineag,-182.0,betonlineag,-182.0,-181.99999999999997,0.0,0.0
2026-05-02,DESIGN,824771,680776,6,1,-154.0,williamhill_us,-150.0,betonlineag,-154.0,-155.49839228295824,4.0,0.006299212598425252
