instrument,partition,eligible_c1_rows,priced_rows,settled_wagers,wins,losses,voids,rule_uncertified,technical_unresolved,coverage_rate,average_odds,stake,returned_stake,gross_winning_profit,net_dollars,roi,certified_roi
P0_BETONLINE,DESIGN,3761,3761,3433,2144,1289,290,0,38,1.0,-184.94873288668802,17165,10720,5909.798829156156,-535.2011708438447,-0.031179794398126695,
P2_BEST_OBSERVED_DIAGNOSTIC,DESIGN,3761,3761,3433,2144,1289,290,2402,38,1.0,-177.9568890183513,17165,10720,6176.059179756347,-268.94082024365275,-0.01566797671096142,
P3_BEST_EXECUTABLE,DESIGN,3761,3761,3433,2144,1289,290,0,38,1.0,-184.94873288668802,17165,10720,5909.798829156156,-535.2011708438447,-0.031179794398126695,
P4_MARKET_MEDIAN_DIAGNOSTIC,DESIGN,3761,3761,3433,2144,1289,290,0,38,1.0,-183.1340303274172,17165,10720,5971.671097262697,-473.3289027373032,-0.02757523464825536,
BOOK_betmgm,DESIGN,3761,1906,1768,1061,707,116,1906,22,0.5067801116724275,-164.00509049773757,8840,5305,3284.63373454014,-250.36626545986007,-0.0283219757307534,False
BOOK_betonlineag,DESIGN,3761,3761,3433,2144,1289,290,0,38,1.0,-184.94873288668802,17165,10720,5909.798829156156,-535.2011708438447,-0.031179794398126695,True
BOOK_betrivers,DESIGN,3761,56,52,31,21,4,56,0,0.014889657006115395,-139.69230769230768,260,155,112.34037231254003,7.340372312540018,0.028232201202076992,False
BOOK_bovada,DESIGN,3761,2136,1983,1166,817,133,2136,20,0.5679340600904015,-163.56530509329298,9915,5830,3633.564357684627,-451.4356423153732,-0.04553057411148494,False
BOOK_draftkings,DESIGN,3761,2201,2045,1203,842,135,2201,21,0.5852166976867854,-164.11882640586796,10225,6015,3737.55153088892,-472.44846911108027,-0.04620522925291739,False
BOOK_fanatics,DESIGN,3761,109,106,77,29,3,109,0,0.028981653815474608,-157.83018867924528,530,385,246.95130603762632,101.95130603762634,0.19236095478797421,False
BOOK_mybookieag,DESIGN,3761,855,790,512,278,60,855,5,0.22733315607551183,-190.57088607594937,3950,2560,1365.3467479539036,-24.653252046096547,-0.0062413296319231764,False
BOOK_williamhill_us,DESIGN,3761,2310,2143,1278,865,145,2310,22,0.61419835150226,-163.4036397573495,10715,6390,3972.9983408386142,-352.00165916138576,-0.03285129810185588,False
P0_BETONLINE,VALIDATION,1143,1143,1057,672,385,76,0,10,1.0,-183.56953642384107,5285,3360,1864.2514441203766,-60.748555879623524,-0.0114945233452457,
P2_BEST_OBSERVED_DIAGNOSTIC,VALIDATION,1143,1143,1057,672,385,76,738,10,1.0,-176.2100283822138,5285,3360,1950.1969094230221,25.19690942302234,0.0047676271377525715,
P3_BEST_EXECUTABLE,VALIDATION,1143,1143,1057,672,385,76,0,10,1.0,-183.56953642384107,5285,3360,1864.2514441203766,-60.748555879623524,-0.0114945233452457,
P4_MARKET_MEDIAN_DIAGNOSTIC,VALIDATION,1143,1143,1057,672,385,76,0,10,1.0,-181.43743206769224,5285,3360,1884.158800010978,-40.841199989021945,-0.007727757803031588,
BOOK_betmgm,VALIDATION,1143,648,609,378,231,34,648,5,0.5669291338582677,-165.73563218390805,3045,1890,1146.390784710329,-8.609215289671099,-0.0028273285023550404,False
BOOK_betonlineag,VALIDATION,1143,1143,1057,672,385,76,0,10,1.0,-183.56953642384107,5285,3360,1864.2514441203766,-60.748555879623524,-0.0114945233452457,True
BOOK_betrivers,VALIDATION,1143,20,20,12,8,0,20,0,0.017497812773403325,-139.9,100,60,43.558233508560726,3.5582335085607273,0.03558233508560727,False
BOOK_bovada,VALIDATION,1143,535,505,319,186,25,535,5,0.4680664916885389,-166.34653465346534,2525,1595,962.7852928114497,32.78529281144969,0.012984274380772156,False
BOOK_draftkings,VALIDATION,1143,670,629,389,240,34,670,7,0.5861767279090113,-166.03338632750396,3145,1945,1177.409012769511,-22.590987230488878,-0.00718314379347818,False
BOOK_fanatics,VALIDATION,1143,40,35,17,18,5,40,0,0.03499562554680665,-160.14285714285714,175,85,54.107637663439746,-35.89236233656025,-0.20509921335177284,False
BOOK_mybookieag,VALIDATION,1143,0,0,0,0,0,0,0,0.0,,0,0,0.0,0.0,,False
BOOK_williamhill_us,VALIDATION,1143,730,684,427,257,38,730,8,0.6386701662292213,-163.703216374269,3420,2135,1311.894839303587,26.894839303586906,0.007863988100464007,False
P0_BETONLINE,HOLDOUT,998,998,917,577,340,78,0,3,1.0,-186.36532170119958,4585,2885,1573.5504534936535,-126.44954650634634,-0.027578963251111525,
P2_BEST_OBSERVED_DIAGNOSTIC,HOLDOUT,998,998,917,577,340,78,616,3,1.0,-179.26499454743728,4585,2885,1643.954855773295,-56.0451442267049,-0.0122235865270894,
P3_BEST_EXECUTABLE,HOLDOUT,998,998,917,577,340,78,0,3,1.0,-186.36532170119958,4585,2885,1573.5504534936535,-126.44954650634634,-0.027578963251111525,
P4_MARKET_MEDIAN_DIAGNOSTIC,HOLDOUT,998,998,917,577,340,78,0,3,1.0,-184.18029359101396,4585,2885,1592.749514067345,-107.25048593265504,-0.023391599985311894,
BOOK_betmgm,HOLDOUT,998,530,496,299,197,31,530,3,0.531062124248497,-165.2116935483871,2480,1495,916.9115301959308,-68.08846980406919,-0.027455028146802094,False
BOOK_betonlineag,HOLDOUT,998,998,917,577,340,78,0,3,1.0,-186.36532170119958,4585,2885,1573.5504534936535,-126.44954650634634,-0.027578963251111525,True
BOOK_betrivers,HOLDOUT,998,6,6,2,4,0,6,0,0.006012024048096192,-139.0,30,10,7.577497129735935,-12.422502870264065,-0.4140834290088022,False
BOOK_bovada,HOLDOUT,998,553,516,302,214,36,553,1,0.5541082164328658,-164.78682170542635,2580,1510,931.2362473350645,-138.76375266493562,-0.05378440025772699,False
BOOK_draftkings,HOLDOUT,998,488,455,273,182,32,488,1,0.48897795591182364,-165.37362637362637,2275,1365,839.1768363641179,-70.82316363588211,-0.031131060938849278,False
BOOK_fanatics,HOLDOUT,998,42,42,20,22,0,42,0,0.04208416833667335,-161.54761904761904,210,100,62.95546583946018,-47.04453416053982,-0.2240215912406658,False
BOOK_mybookieag,HOLDOUT,998,0,0,0,0,0,0,0,0.0,,0,0,0.0,0.0,,False
BOOK_williamhill_us,HOLDOUT,998,620,576,341,235,42,620,2,0.6212424849699398,-164.06423611111111,2880,1705,1052.8478068707577,-122.1521931292423,-0.04241395594765358,False
P0_BETONLINE,FULL,5902,5902,5407,3393,2014,444,0,51,1.0,-184.91936378768264,27035,16965,9347.600726770186,-722.3992732298144,-0.02672089044682132,
P2_BEST_OBSERVED_DIAGNOSTIC,FULL,5902,5902,5407,3393,2014,444,3756,51,1.0,-177.83724801183652,27035,16965,9770.210944952665,-299.7890550473353,-0.011088923804229158,
P3_BEST_EXECUTABLE,FULL,5902,5902,5407,3393,2014,444,0,51,1.0,-184.91936378768264,27035,16965,9347.600726770186,-722.3992732298144,-0.02672089044682132,
P4_MARKET_MEDIAN_DIAGNOSTIC,FULL,5902,5902,5407,3393,2014,444,0,51,1.0,-182.97980784770368,27035,16965,9448.57941134102,-621.4205886589801,-0.02298578097499464,
BOOK_betmgm,FULL,5902,3084,2873,1738,1135,181,3084,30,0.5225347339884785,-164.5802297250261,14365,8690,5347.9360494464,-327.06395055360036,-0.022768113508778307,False
BOOK_betonlineag,FULL,5902,5902,5407,3393,2014,444,0,51,1.0,-184.91936378768264,27035,16965,9347.600726770186,-722.3992732298144,-0.02672089044682132,True
BOOK_betrivers,FULL,5902,82,78,45,33,4,82,0,0.013893595391392748,-139.69230769230768,390,225,163.47610295083666,-1.5238970491633266,-0.003907428331188017,False
BOOK_bovada,FULL,5902,3224,3004,1787,1217,194,3224,26,0.5462555066079295,-164.24267643142477,15020,8935,5527.585897831141,-557.4141021688591,-0.03711145820032351,False
BOOK_draftkings,FULL,5902,3359,3129,1865,1264,201,3359,29,0.5691291087766859,-164.68616171300735,15645,9325,5754.137380022548,-565.8626199774512,-0.03616891147187288,False
BOOK_fanatics,FULL,5902,191,183,114,69,8,191,0,0.03236191121653677,-159.12568306010928,915,570,364.0144095405263,19.014409540526273,0.020780775454127074,False
BOOK_mybookieag,FULL,5902,855,790,512,278,60,855,5,0.14486614706879025,-190.57088607594937,3950,2560,1365.3467479539036,-24.653252046096547,-0.0062413296319231764,False
BOOK_williamhill_us,FULL,5902,3660,3403,2046,1357,225,3660,32,0.6201287699085056,-163.5756685277696,17015,10230,6337.7409870129595,-447.25901298704116,-0.02628616003450139,False
