partition,market_strength_band,confidence_group,rows,observed_win_rate,offered_price_roi,novig_fair_price_roi,spearman_gap_vs_outcome,spearman_gap_vs_row_return
VALIDATION,50_00_TO_54_99,MODEL_ABOVE_MARKET,79,0.4794520547945205,-0.14961430262858622,-0.09497740233002896,,
VALIDATION,50_00_TO_54_99,MODEL_AT_OR_BELOW_MARKET,16,0.8125,0.4258738310049995,0.5172409172675414,,
VALIDATION,55_00_TO_59_99,MODEL_ABOVE_MARKET,161,0.5562913907284768,-0.09439856825742766,-0.03658016934210417,,
VALIDATION,55_00_TO_59_99,MODEL_AT_OR_BELOW_MARKET,215,0.6390243902439025,0.03807698473619853,0.10436776235667242,,
VALIDATION,60_00_TO_64_99,MODEL_ABOVE_MARKET,176,0.7243589743589743,0.09585348488748166,0.165782495937753,,
VALIDATION,60_00_TO_64_99,MODEL_AT_OR_BELOW_MARKET,373,0.6379310344827587,-0.039776310881991066,0.021407919252807973,,
VALIDATION,65_00_TO_69_99,MODEL_ABOVE_MARKET,29,0.6923076923076923,-0.016880707728022,0.04581462950686282,,
VALIDATION,65_00_TO_69_99,MODEL_AT_OR_BELOW_MARKET,94,0.6829268292682927,-0.027628481692106178,0.03440444375439981,,
VALIDATION,70_AND_ABOVE,MODEL_ABOVE_MARKET,0,,,,,
VALIDATION,70_AND_ABOVE,MODEL_AT_OR_BELOW_MARKET,0,,,,,
VALIDATION,ALL,CORRELATIONS,1057,,,,-0.010573272125752606,0.12068273828293317
HOLDOUT,50_00_TO_54_99,MODEL_ABOVE_MARKET,56,0.52,-0.07370112968970963,-0.014454362060707162,,
HOLDOUT,50_00_TO_54_99,MODEL_AT_OR_BELOW_MARKET,18,0.6666666666666666,0.16848325757732124,0.24365338170673748,,
HOLDOUT,55_00_TO_59_99,MODEL_ABOVE_MARKET,116,0.5454545454545454,-0.1105364925757433,-0.053744062953427166,,
HOLDOUT,55_00_TO_59_99,MODEL_AT_OR_BELOW_MARKET,189,0.6067415730337079,-0.013316644738567111,0.049645734537758515,,
HOLDOUT,60_00_TO_64_99,MODEL_ABOVE_MARKET,112,0.6060606060606061,-0.08932045628607913,-0.031212405077080826,,
HOLDOUT,60_00_TO_64_99,MODEL_AT_OR_BELOW_MARKET,366,0.6558823529411765,-0.014279276263385208,0.04855475391126758,,
HOLDOUT,65_00_TO_69_99,MODEL_ABOVE_MARKET,34,0.7931034482758621,0.13395081593488606,0.2061626166827514,,
HOLDOUT,65_00_TO_69_99,MODEL_AT_OR_BELOW_MARKET,107,0.6989247311827957,-0.0031727856625565153,0.060383976153873864,,
HOLDOUT,70_AND_ABOVE,MODEL_ABOVE_MARKET,0,,,,,
HOLDOUT,70_AND_ABOVE,MODEL_AT_OR_BELOW_MARKET,0,,,,,
HOLDOUT,ALL,CORRELATIONS,917,,,,-0.06146794644858561,0.08806763899446945
