partition,band,rows,dates,games,selected_side_distribution,observed_win_rate,mean_novig_probability,mean_offered_break_even_probability,mean_model_probability,offered_price_roi,novig_fair_price_roi
DESIGN,50_00_TO_54_99,319,39,179,over:83|under:236,0.5478547854785478,0.5269558353954708,0.5607246621281822,0.5897288184818481,-0.023276785023720305,0.03932192126451549
DESIGN,55_00_TO_59_99,1182,40,447,over:10|under:1172,0.5983531564501372,0.5781037474947499,0.6150093535678013,0.5844248929551692,-0.026063893739620807,0.036124687331743496
DESIGN,60_00_TO_64_99,1737,40,498,under:1737,0.6254728877679697,0.6248198379981932,0.6646418724064134,0.5966991488020176,-0.059218203120304215,0.0007363998228343622
DESIGN,65_00_TO_69_99,523,40,315,under:523,0.7361419068736141,0.6591268922566312,0.7011137364974773,0.6037873458980044,0.04971294390161051,0.11655903166869618
DESIGN,70_AND_ABOVE,0,0,0,,,,,,,
VALIDATION,50_00_TO_54_99,95,11,57,over:17|under:78,0.5393258426966292,0.5302503209111048,0.5642668840268463,0.5813259775280899,-0.04615576175063825,0.015084318047062308
VALIDATION,55_00_TO_59_99,376,11,129,over:4|under:372,0.6039325842696629,0.5781083697282479,0.6150118894295944,0.5766212556179776,-0.018113488584131678,0.04458366773162954
VALIDATION,60_00_TO_64_99,549,11,145,under:549,0.6646825396825397,0.6244636892866934,0.664250971417269,0.5941787440476191,0.002204340189512403,0.06609528822671952
VALIDATION,65_00_TO_69_99,123,11,83,under:123,0.6851851851851852,0.6602054267152598,0.7023062707150871,0.6126279722222222,-0.0250410546266785,0.03715134032443721
VALIDATION,70_AND_ABOVE,0,0,0,,,,,,,
HOLDOUT,50_00_TO_54_99,74,10,46,over:7|under:67,0.5588235294117647,0.5298279663212726,0.5638527599175509,0.5688271911764706,-0.009593497766083777,0.05386827599538113
HOLDOUT,55_00_TO_59_99,305,11,117,under:305,0.5833333333333334,0.5772009532606334,0.6140306194957312,0.5680226111111111,-0.05044922550971081,0.010156575773763995
HOLDOUT,60_00_TO_64_99,478,11,130,under:478,0.6446469248291572,0.6253156809202574,0.6651741239230924,0.5839407198177676,-0.031202002509960837,0.03056626019863319
HOLDOUT,65_00_TO_69_99,141,11,88,under:141,0.7213114754098361,0.6593527411904762,0.7013780246923768,0.6073188114754099,0.02942216881552409,0.09503627595172182
HOLDOUT,70_AND_ABOVE,0,0,0,,,,,,,
FULL,50_00_TO_54_99,488,60,282,over:107|under:381,0.5478260869565217,0.5280178225994837,0.5618724195165695,0.5850132456521738,-0.0256806228393212,0.03678280264570144
FULL,55_00_TO_59_99,1863,62,693,over:14|under:1849,0.597006332757628,0.5779550087357975,0.6148475961435308,0.5801059798503166,-0.02847761355218948,0.0335527707477834
FULL,60_00_TO_64_99,2764,62,773,under:2764,0.6366152629497825,0.6248349333292292,0.6646563620534254,0.5939821720047449,-0.04211418022742627,0.018939716730914165
FULL,65_00_TO_69_99,787,62,486,under:787,0.7254038179148311,0.6593383978241217,0.7013502076506045,0.6058220396475771,0.034222626131334796,0.10010997607008995
FULL,70_AND_ABOVE,0,0,0,,,,,,,
