left_out_dimension,left_out_value,selected_wagers,wins,losses,voids,technical_unresolved,observed_win_rate,mean_offered_break_even_probability,mean_no_vig_market_probability,mean_model_selected_side_probability,observed_minus_offered_break_even,observed_minus_no_vig_market_probability,observed_minus_model_probability,average_selected_odds,stake,offered_net,offered_roi,novig_fair_net,novig_fair_roi,even_money_net,even_money_roi,offered_price_drag_vs_novig,novig_return_vs_even_money
date,2026-05-01,5336,3346,1990,441,51,0.6270614692653673,0.6442859410519344,0.605651454995697,0.5902283508245878,-0.017224471786567053,0.021410014269670374,0.03683311844077952,-184.7162668665667,26680,-720.2961273468126,-0.026997605972519212,935.9707548278286,0.03508136262473121,6780.0,0.25412293853073464,-1656.266882174641,-5844.029245172172
date,2026-05-02,5358,3365,1993,442,51,0.6280328480776409,0.64454400619193,0.6058945438446295,0.5904156724524077,-0.01651115811428905,0.02213830423301144,0.03761717562523326,-184.93393057110862,26790,-697.9343001733616,-0.0260520455458515,966.7787297130311,0.036087298608175854,6860.0,0.2560656961552818,-1664.7130298863926,-5893.221270286969
date,2026-05-03,5319,3344,1975,435,51,0.6286896033088927,0.644464737669711,0.6058196916942065,0.5902403808986652,-0.015775134360818344,0.02286991161468621,0.038449222410227524,-184.86407219402145,26595,-658.2223017085098,-0.024749851540083093,996.6106201701347,0.03747360857943729,6845.0,0.2573792066177853,-1654.8329218786444,-5848.389379829865
date,2026-05-04,5345,3354,1991,437,50,0.6275023386342377,0.6445824837106042,0.6059311630426648,0.5902623384471468,-0.01708014507636657,0.021571175591572844,0.03724000018709084,-184.95042095416278,26725,-714.8399293547166,-0.026747986131140003,944.622258443171,0.03534601528318694,6815.0,0.2550046772684752,-1659.4621877978875,-5870.377741556829
date,2026-05-05,5346,3353,1993,440,51,0.6271979049756827,0.6445743413139718,0.6059235564212248,0.5901923406285072,-0.017376436338289114,0.021274348554457978,0.0370055643471755,-184.95922184811073,26730,-730.9475825974573,-0.027345588574540117,927.7843562364902,0.03470947834779237,6800.0,0.2543958099513655,-1658.7319388339474,-5872.215643763509
date,2026-05-06,5346,3353,1993,439,51,0.6271979049756827,0.6446615622041166,0.6060053800718258,0.5903176969696969,-0.017463657228433904,0.021192524903856924,0.03688020800598579,-185.03086419753086,26730,-733.4321107470865,-0.02743853762615363,925.1591597518703,0.034611266732206145,6800.0,0.2543958099513655,-1658.5912704989569,-5874.84084024813
date,2026-05-07,5350,3355,1995,435,50,0.6271028037383177,0.6444734575559233,0.6058274523196171,0.5903406824299066,-0.017370653817605608,0.021275351418700628,0.036762121308411166,-184.87588785046728,26750,-729.0409742183562,-0.027253868195078735,931.1628219850961,0.03480982512093817,6800.0,0.2542056074766355,-1660.2037962034524,-5868.837178014904
date,2026-05-08,5331,3335,1996,440,51,0.6255861939598575,0.6443427446940725,0.6057052243963246,0.590393055711874,-0.018756550734215005,0.019880969563532913,0.035193138247983535,-184.7754642656162,26655,-785.7233200188296,-0.029477520916106906,864.7528141305481,0.03244242409043512,6695.0,0.25117238791971486,-1650.4761341493777,-5830.247185869452
date,2026-05-09,5314,3334,1980,440,49,0.6273993225442228,0.644510977986546,0.605863892188152,0.5902911183665789,-0.01711165544232318,0.02153543035607086,0.03710820417764393,-184.89781708694017,26570,-712.5113605630936,-0.02681638541825719,937.199909416313,0.035272860723233455,6770.0,0.25479864508844563,-1649.7112699794066,-5832.800090583687
date,2026-05-10,5327,3336,1991,433,50,0.6262436643514173,0.6444266444388692,0.6057848001317059,0.5903020916087854,-0.018182980087451894,0.020458864219711437,0.03594157274263188,-184.8359301670734,26635,-757.0635652078472,-0.028423636763951463,893.9548946951395,0.03356316480927875,6725.0,0.25248732870283463,-1651.0184599029867,-5831.04510530486
date,2026-05-11,5375,3371,2004,444,51,0.6271627906976744,0.6444116505837032,0.6057696148890408,0.5903097224186046,-0.017248859886028756,0.021393175808633647,0.03685306827906987,-184.8226976744186,26875,-727.2299507448165,-0.027059719097481543,941.0411135906922,0.03501548329639785,6835.0,0.25432558139534883,-1668.2710643355088,-5893.9588864093075
