partition,cluster,offered_roi_lower,offered_roi_upper,novig_fair_roi_lower,novig_fair_roi_upper
VALIDATION,slate_date,-0.06964196907310656,0.05168053387204361,-0.011997954093270017,0.11585662566386026
VALIDATION,game_pk,-0.06331772608837513,0.04023342958401164,-0.0026262335032337858,0.10386709619503152
HOLDOUT,slate_date,-0.07563191005928918,0.021495749257341996,-0.014705838917942008,0.08942354200092269
HOLDOUT,game_pk,-0.08524234386223715,0.027738827613559103,-0.023481994700223597,0.09403496302172898
FULL,slate_date,-0.047722814405184825,-0.004926649051426921,0.011577993156458084,0.05859008102185027
FULL,game_pk,-0.04900146454109317,-0.0059491682250312665,0.011714559741834829,0.05885856463163578
