dimension,value,rows,share,selected_wagers,wins,losses,voids,technical_unresolved,observed_win_rate,mean_offered_break_even_probability,mean_no_vig_market_probability,mean_model_selected_side_probability,observed_minus_offered_break_even,observed_minus_no_vig_market_probability,observed_minus_model_probability,average_selected_odds,stake,offered_net,offered_roi,novig_fair_net,novig_fair_roi,even_money_net,even_money_roi,offered_price_drag_vs_novig,novig_return_vs_even_money
date,2026-05-01,74,0.01253812267028126,71,47,24,3,0,0.6619718309859155,0.6630596770279895,0.6233363383190438,0.5920763661971831,-0.0010878460420740144,0.03863549266687172,0.06989546478873243,-200.18309859154928,355,-2.1031458830021146,-0.005924354600005957,20.40269178284941,0.05747237121929411,115.0,0.323943661971831,-22.505837665851523,-94.59730821715058
date,2026-05-02,51,0.008641138597085733,49,28,21,2,0,0.5714285714285714,0.643270068280577,0.6046954685339978,0.5724230408163264,-0.07184149685200558,-0.03326689710542641,-0.0009944693877550481,-183.3265306122449,245,-24.464973056453058,-0.09985703288348187,-10.405283102353167,-0.042470543274910885,35.0,0.14285714285714285,-14.059689954099891,-45.40528310235317
date,2026-05-03,97,0.01643510674347679,88,49,39,9,0,0.5568181818181818,0.6486258961013247,0.6097511790478009,0.5909922272727273,-0.09180771428314294,-0.05293299722961908,-0.0341740454545455,-188.26136363636363,440,-64.17697152130492,-0.14585675345751117,-40.23717355945649,-0.09144812172603747,50.0,0.11363636363636363,-23.939797961848434,-90.2371735594565
date,2026-05-04,70,0.011860386309725517,62,39,23,7,1,0.6290322580645161,0.64022004982145,0.6017899583007572,0.5894145645161291,-0.011187791756933851,0.027242299763758915,0.03961769354838707,-182.24193548387098,310,-7.5593438750980475,-0.024384980242251768,11.751188167507134,0.037907058604861724,80.0,0.25806451612903225,-19.310532042605182,-68.24881183249286
date,2026-05-05,65,0.011013215859030838,61,40,21,4,0,0.6557377049180327,0.6408621288133781,0.602388709013495,0.5955352295081967,0.01487557610465462,0.05334899590453779,0.06020247540983603,-181.4262295081967,305,8.548309367642677,0.028027243828336646,28.58909037418792,0.09373472253832105,95.0,0.3114754098360656,-20.04078100654524,-66.41090962581208
date,2026-05-06,66,0.011182649949169773,61,40,21,5,0,0.6557377049180327,0.6332181471951107,0.5952177379296707,0.584549081967213,0.022519557722922023,0.06051996698836204,0.07118862295081974,-175.14754098360655,305,11.032837517271844,0.03617323776154703,31.21428685880789,0.10234192412723898,95.0,0.3114754098360656,-20.181449341536045,-63.78571314119211
date,2026-05-07,67,0.01135208403930871,57,38,19,9,1,0.6666666666666666,0.6500705368056042,0.6111609468024407,0.5819868596491228,0.016596129861062403,0.05550571986422592,0.08467980701754385,-189.0,285,6.641700988541526,0.02330421399488255,25.21062462558205,0.08845833201958614,95.0,0.3333333333333333,-18.568923637040523,-69.78937537441794
date,2026-05-08,80,0.013554727211114876,76,58,18,4,0,0.7631578947368421,0.6578400862895895,0.6184012186958506,0.5804016052631578,0.10531780844725269,0.14475667604099152,0.18275628947368439,-195.01315789473685,380,63.32404678901477,0.16664222839214413,91.62063248012996,0.24110692757928937,200.0,0.5263157894736842,-28.296585691115183,-108.37936751987004
date,2026-05-09,99,0.01677397492375466,93,59,34,4,2,0.6344086021505376,0.645760016146281,0.6070142020414103,0.5880526774193549,-0.011351413995743354,0.027394400109127304,0.046355924731182774,-186.1505376344086,465,-9.887912666721064,-0.02126432831552917,19.17353719436505,0.04123341332121516,125.0,0.26881720430107525,-29.061449861086114,-105.82646280563495
date,2026-05-10,92,0.015587936292782108,80,57,23,11,1,0.7125,0.6515785449531626,0.6124676697011637,0.58695825,0.060921455046837436,0.10003233029883629,0.12554175,-190.475,400,34.664291978032495,0.08666072994508124,62.4185519155386,0.1560463797888465,170.0,0.425,-27.754259937506106,-107.5814480844614
