scope,date_start,date_end,dates_represented,confidence_ordering,predictions,resolved,unresolved,brier,log_loss,ece,accuracy_at_50,mean_probability,observed_rate,probability_sd,probability_min,probability_max,calibration_gap_predicted_minus_observed
THROUGH_AUG13,2026-08-03,2026-08-13,11,MONOTONIC,2682,2483,199,0.24476007006018055,0.6826697435205488,0.03198179999016755,0.5666532420459122,0.5549920017416274,0.5739025372533226,0.0723662632336114,0.3738101757804691,0.759531869021303,-0.018910535511695192
THROUGH_AUG14,2026-08-03,2026-08-14,12,MONOTONIC,2961,2737,224,0.24406570752368253,0.6812155274645247,0.029602211638756818,0.5659481183777859,0.5548453093752058,0.5750822067957618,0.07240126638142351,0.3738101757804691,0.759531869021303,-0.02023689742055601
