probability_bin,n,mean_predicted,observed_hit_rate,calibration_gap_predicted_minus_observed
35-39.99%,3,0.3992897368199036,0.3333333333333333,0.06595640348657028
40-44.99%,14,0.4299750813047444,0.42857142857142855,0.00140365273331583
45-49.99%,54,0.4764402638342041,0.5925925925925926,-0.11615232875838843
50-54.99%,45,0.5245378042854706,0.4666666666666667,0.057871137618803914
55-59.99%,58,0.5669244660680836,0.603448275862069,-0.036523809793985396
60-64.99%,57,0.6236298062688562,0.6140350877192983,0.009594718549557957
65-69.99%,19,0.6724014850841334,0.8421052631578947,-0.16970377807376125
70-74.99%,4,0.7032073602464621,0.75,-0.04679263975353787
