quantile,n,mean_predicted,observed_rate,brier,confidence_ordering
bottom20,50,0.45266694591821915,0.5,0.2486973737888063,NEAR_MONOTONIC
second20,51,0.5059189289268563,0.5686274509803921,0.25082984830863936,NEAR_MONOTONIC
middle20,51,0.5549888116377162,0.5294117647058824,0.24868998326910532,NEAR_MONOTONIC
fourth20,51,0.5940408344635181,0.5882352941176471,0.2433952012686858,NEAR_MONOTONIC
top20,51,0.6574656237869373,0.7450980392156863,0.1950010229074996,NEAR_MONOTONIC
top10,26,0.674337373046625,0.7692307692307693,0.18497223862828097,NEAR_MONOTONIC
