role,path,sha256
INPUT,artifacts/analysis/model_development/mlb_hits_aug3_aug13_original_prospective_evidence_v1/2026-08-14/hits_original_prospective_primary_predictions.csv,37bb31ad5ab6b95154eee7deb06f30227cd619bd99484e9b8392a51d048dc67b
INPUT,artifacts/analysis/model_development/mlb_hits05_2026_first_principles_season_rebuild_v1/2026-08-14/hits05_august_live_reference_comparison.csv,48230032bc1963c06038fdf901b1b5a798544cba168ae34ad38797f9a819ee1f
INPUT,artifacts/analysis/model_development/mlb_hits05_2026_first_principles_season_rebuild_v1/2026-08-14/hits05_baseline_comparison.csv,291410805fab3fb1b9228d14cbd024e84b89a2d3203363bf072104dedeffc44d
INPUT,backend/mlb/exports/prospective_lineage/2026-08-15/prediction_lineage_ledger.csv,befa21864d52b6c91f7b4747878a40d91990d54d353edf2489c0fe00d3cc1bd3
INPUT,models_out/latest/hits.joblib,2e7377b2cdcb836b110e4b1a1a6acccff3afc78f7f82652e3b490048087ddadf
INPUT,artifacts/analysis/mlb/prospective_lineage_outcomes/2026-08-10/canonical_outcome_reconciliation.csv,84b5a26532bbed7a73d5ffda0e2e4819d8282eebab0bb753ccd7e953269f3857
INPUT,artifacts/analysis/mlb/prospective_lineage_outcomes/2026-08-10/canonical_outcome_reconciliation_summary.json,7bc5741b598577961bc8521f2a09f43b7d7141179fbd0e737cd9176efe548049
INPUT,artifacts/analysis/mlb/prospective_lineage_outcomes/2026-08-11/canonical_outcome_reconciliation.csv,6121ebc14dd0d0f43158ea621b658c4c4c5324df15b9ad50ca664b54a9859428
INPUT,artifacts/analysis/mlb/prospective_lineage_outcomes/2026-08-11/canonical_outcome_reconciliation_summary.json,3b3d84aa5ca4db9e458e783d51ba8bae8ef9fe5017aa826da566b787bac64598
INPUT,artifacts/analysis/mlb/prospective_lineage_outcomes/2026-08-12/canonical_outcome_reconciliation.csv,f5aa1bfb13b3b424d091cb4d282d1d6dfeb24af71fd76f67d4dfea72cd0830c4
INPUT,artifacts/analysis/mlb/prospective_lineage_outcomes/2026-08-12/canonical_outcome_reconciliation_summary.json,34547a4d10a763b955db1bef1e1ba4be1bec24f0c4e2a19bbcef4e0b99c17fa9
INPUT,artifacts/analysis/mlb/prospective_lineage_outcomes/2026-08-13/canonical_outcome_reconciliation.csv,d0927c640f50cb8e8f78bb00ca64d3edf22d19c84f8e4cfede0ffa23f158609d
INPUT,artifacts/analysis/mlb/prospective_lineage_outcomes/2026-08-13/canonical_outcome_reconciliation_summary.json,acd5b3f8bdae626092c242840c5b4368055621af2025f1c904de8b2cd90ee3b7
INPUT,artifacts/analysis/mlb/prospective_lineage_outcomes/2026-08-14/canonical_outcome_reconciliation.csv,dedc2a2d5b0e40bccc405dc299b487da117f2b75d481ef953d94e7887dc9736a
INPUT,artifacts/analysis/mlb/prospective_lineage_outcomes/2026-08-14/canonical_outcome_reconciliation_summary.json,13e9938fadc52bbfd6e560d43033e3a94c6ac3a4ee0d23da19782f218937d218
INPUT,backend/mlb/exports/prospective_lineage/2026-08-03/prediction_lineage_ledger.csv,30cb74db99d6240ed987b3e3d7f877919436d8221e518c385ab80c25d300dfa8
INPUT,backend/mlb/exports/prospective_lineage/2026-08-04/prediction_lineage_ledger.csv,9393e6b308ea4ca3534309c76ef7453d9814736deda385d7e1f1598c4e7587e6
INPUT,backend/mlb/exports/prospective_lineage/2026-08-05/prediction_lineage_ledger.csv,1e538783b71b0f72bf2169ce1ec6adf7cfa1522d05b8f806ffa5e763728fdef1
INPUT,backend/mlb/exports/prospective_lineage/2026-08-06/prediction_lineage_ledger.csv,b8914783625894cb370665a53a05f909596ecfc7917f2b37f49e715bda34c2d6
INPUT,backend/mlb/exports/prospective_lineage/2026-08-07/prediction_lineage_ledger.csv,bcac35aee86067bb5e9d6a6aa17759c3e2822f6e96b88bcb9bad0f283c8951ed
INPUT,backend/mlb/exports/prospective_lineage/2026-08-08/prediction_lineage_ledger.csv,eaf6503d66dc49e0a3d315595eabafb45c6474d41de95bb71a3e481a7f95709b
INPUT,backend/mlb/exports/prospective_lineage/2026-08-09/prediction_lineage_ledger.csv,ff4e01cdd18a9be713655c19a116b064bfd0eaeb69094e036b0519d53712e783
INPUT,backend/mlb/exports/prospective_lineage/2026-08-10/prediction_lineage_ledger.csv,e1851a890b35b74ff989f5a3b4f5410512cea3d159aee41598c9b23d1288f98d
INPUT,backend/mlb/exports/prospective_lineage/2026-08-11/prediction_lineage_ledger.csv,2d484778f3c021f9f601f6dcfc782b69aa3ab014d6f82895fcd022b976008b21
INPUT,backend/mlb/exports/prospective_lineage/2026-08-12/prediction_lineage_ledger.csv,55e9796e00e746fc574abfde44760be8dcabfe117b4c098f942ba1651116b7da
INPUT,backend/mlb/exports/prospective_lineage/2026-08-13/prediction_lineage_ledger.csv,12a57d89b35e1274f9456d3e7973ce379225275de15c338737769d255d56d2b0
INPUT,backend/mlb/exports/prospective_lineage/2026-08-14/prediction_lineage_ledger.csv,a91087c4bef6ce395ba4965afb0e647c260f5537575a01689d941b955d362bc4
OUTPUT,artifacts/analysis/model_development/mlb_hits05_aug14_canonical_grade_and_prospective_update_v1/2026-08-15/concise_mlb_hits05_aug14_canonical_grade_and_prospective_update_v1.md,c9ba6672364af6bcf0abbe59a3b5122d9c44a560a396c12aedadc0c3b5f1c7c9
OUTPUT,artifacts/analysis/model_development/mlb_hits05_aug14_canonical_grade_and_prospective_update_v1/2026-08-15/hits05_aug13_vs_aug14_cumulative_delta.csv,70025f8b7d4a982287ee25a1b1fd73eaa0e707a9fd4d3046c08dab70d54a5244
OUTPUT,artifacts/analysis/model_development/mlb_hits05_aug14_canonical_grade_and_prospective_update_v1/2026-08-15/hits05_aug14_calibration.csv,7a27b0009b289bc458b4b7ececac0cec17068ccfa9834d88f83052502509e662
OUTPUT,artifacts/analysis/model_development/mlb_hits05_aug14_canonical_grade_and_prospective_update_v1/2026-08-15/hits05_aug14_canonical_grading_confirmation.md,3bd499369ef57d0917581ab924c4b3297cdae0014d5b0ac3bb6b01d17fc8afda
OUTPUT,artifacts/analysis/model_development/mlb_hits05_aug14_canonical_grade_and_prospective_update_v1/2026-08-15/hits05_aug14_canonical_metrics.csv,40019735abd96884ff1b326e61693fb3978296563022d7a2001949c1c1a444dc
OUTPUT,artifacts/analysis/model_development/mlb_hits05_aug14_canonical_grade_and_prospective_update_v1/2026-08-15/hits05_aug14_confidence_ordering.csv,dda02e75e58056f34d44ea54c037a219fae6e99d2a11d3b6453e3dbabaa4465d
OUTPUT,artifacts/analysis/model_development/mlb_hits05_aug14_canonical_grade_and_prospective_update_v1/2026-08-15/hits05_exact_current_model_aug3_aug14_confidence_ordering.csv,70096e6ea696b5bce001876e17e844b2c6280e9a3b97c5dd74c431b1e30b7bb5
