path,sha256,bytes
affected_model_artifacts_and_pointers.csv,9d4211113b14e75326818a01a0f2640415cdf8ebb24a0c3cd7b8b1072b2620b5,4155
commands_executed.md,f1d077b841807528ab43fb0d800b0fd8488533cbd225d941a3892a220c4ff7c5,451
confirmed_retraining_chain.md,1f6ae4d0468905d570997ad0504e4ba77c112625a9dfcb53b31dd34e9e6d1f70,809
final_status.md,3788a21b3956804e2a369201d4ac4e137fd5e902c1d551efa88e5ce745cb6dc6,454
launchctl_before_after.md,66c5db6cc187391df99ddd288d94e8cbd93ad35aee3e259da37a9ab6868c5e68,490
original_scheduler_provenance.json,a0c3b3690bbca3ce0e659a094806dac3c2b18d69da6aa0b42d156928b8880e5f,881
originals/com.proppadia.mlb.retrain.weekly.plist,a9b39fc5e406b61e2e3ed7f6b2f0d6b0ba9527bb63cff0a21986113cbd94ae6d,928
originals/proppadia_mlb_retrain_weekly.sh,6c97c614d79db76f822424f3c7d1720d8ffab7472813e12a38292ea5529bcde1,1327
production_authority_guard_validation.json,9eeead7d9cc0610bcb5b9f0a08081c03abc3d92440beea65a74dc5ba252519b6,860
scheduler_inventory.csv,04dae12fea67b7534937ed5a28b90359da07f3f48f7b37ba0f24f2b2493aa398,1667
unrelated_job_preservation.json,e984c6e2103feedfaf79843b4d32d2a6434514efb2aa3a8fc3902e4c0b8314b2,515
