omitted_date,games_remaining,raw_minus_population_mae,raw_minus_team_mae,intercept_minus_raw_crps,raw_bias,intercept_bias,population_delta_influence,team_delta_influence,crps_delta_influence,largest_population_delta_influence,largest_team_delta_influence,largest_crps_delta_influence
2026-08-06,121,-0.06840467635811631,-0.09065712651516922,-0.023056348019673045,-0.43381338104347195,0.0597366189565286,0.009150164608435762,0.011287073499756328,0.005083214674327596,False,False,False
2026-08-07,112,-0.05660274742767424,-0.06514576583379261,-0.03388851099364709,-0.6366690652153973,-0.14311906521539702,0.0026517643220063114,0.014224287181620276,0.00574894829964645,False,False,False
2026-08-08,111,-0.06837645909431966,-0.09859224960254931,-0.03080822150666629,-0.6066582155506928,-0.11310821555069218,0.009121947344639114,0.01922219658713642,0.0026686588126656474,False,False,False
2026-08-09,111,-0.06660340497858819,-0.09434507705928663,-0.022909217207019328,-0.4878309640024779,0.005719035997522854,0.007348893228907638,0.014975024043873741,0.005230345486981314,False,False,False
2026-08-10,116,-0.08522174654663273,-0.10351068721673551,-0.021954726499458843,-0.487250556865689,0.0062994431343116365,0.025967234796952177,0.02414063420132262,0.0061848361945417984,False,False,False
2026-08-11,111,-0.029403242988488287,-0.040838246525391586,-0.038811411320541556,-0.7093598418673153,-0.21580984186731456,0.029851268761192262,0.0385318064900213,0.010671848626540914,True,True,True
2026-08-12,111,-0.06618748030856425,-0.09737142793617215,-0.02172808572464957,-0.4644664215655329,0.02908357843446762,0.006932968558883701,0.01800137492075926,0.006411476969351071,False,False,False
2026-08-13,118,-0.05238700695206511,-0.07571281630553361,-0.029877872831921337,-0.5871504309454769,-0.0936004309454764,0.006867504797615442,0.0036572367098792746,0.0017383101379206956,False,False,False
2026-08-14,112,-0.04556043708406765,-0.04617603003495807,-0.028997600446279304,-0.5883130701385759,-0.09476307013857543,0.013694074665612899,0.03319402298045482,0.000858037752278662,False,False,False
2026-08-15,111,-0.052384227042094444,-0.07990466223379711,-0.029931030324375385,-0.600181133491213,-0.10663113349121243,0.006870284707586105,0.0005346092183842188,0.0017914676303747434,False,False,False
