through_date,cumulative_games,raw_mae,raw_bias,raw_crps,intercept_mae,intercept_bias,intercept_crps,population_baseline_mae,team_baseline_mae,raw_minus_population_mae,raw_minus_team_mae,intercept_minus_raw_crps
2026-08-06,5,5.16741202991399,-3.5883240388116233,4.021429934306758,5.0687020299139895,-3.0947740388116225,3.8702765764940055,5.005232558139534,4.973634904235323,0.16217947177445602,0.19377712567866734,-0.1511533578127522
2026-08-07,19,3.3516031022082666,-0.8983012731711484,2.4916797459946824,3.4248067342755073,-0.4047512731711478,2.465056669298924,3.368216965876058,3.442940748427419,-0.016613863667791495,-0.09133764621915219,-0.026623076695758474
2026-08-08,34,2.8184437331885985,-0.5929912224836222,2.1075185995999197,2.8496405816710415,-0.09944122248362157,2.0889388710874623,2.8240891723261967,2.8417467406069212,-0.005645439137598185,-0.023303007418322697,-0.018579728512457372
2026-08-09,49,2.93315240252424,-0.7437857930711501,2.1577958283737924,2.958868336049776,-0.2502357930711495,2.124441286355659,2.938561289432706,2.9396957775973873,-0.00540888690846586,-0.006543375073147395,-0.03335454201813315
2026-08-10,59,3.055275236606008,-0.8535165858370282,2.204720286791039,3.043171520381453,-0.35996658583702756,2.1600896226487443,3.0187562762596554,3.026699174595585,0.036518960346352713,0.028576062010423176,-0.04463066414229466
2026-08-11,74,3.1213738218086324,-0.5682645326679855,2.208126095262422,3.1317323453593255,-0.07471453266798475,2.182845994894052,3.149045306245157,3.172476438795236,-0.02767148443652445,-0.05110261698660379,-0.02528010036837003
2026-08-12,89,3.078359655187698,-0.684593729482865,2.193234135091306,3.0592448320725434,-0.19104372948286444,2.1594757664253805,3.102707385687833,3.1117752937948393,-0.024347730500134723,-0.03341563860714114,-0.03375836866592552
2026-08-13,97,3.150758024293142,-0.6399807254920301,2.25072678774423,3.143395970094702,-0.14643072549202954,2.2195464710788193,3.1863389487738445,3.1924127273026746,-0.0355809244807026,-0.04165470300953267,-0.031180316665410768
2026-08-14,111,3.308650710174689,-0.600181133491213,2.3416929534571866,3.3022172033526282,-0.10663113349121243,2.3117619231328113,3.3610349372167834,3.388555372408486,-0.052384227042094444,-0.07990466223379711,-0.029931030324375385
2026-08-15,126,3.265726718124754,-0.558992375399351,2.3138777181992336,3.2662907452857444,-0.06544237539935044,2.285738155505233,3.3249812298744343,3.3450967711401667,-0.05925451174968055,-0.07937005301541289,-0.02813956269400064
