group_type,group,games,actual_mean,raw_mean_forecast,raw_mae,raw_rmse,raw_bias,raw_crps,intercept_mean_forecast,intercept_mae,intercept_rmse,intercept_bias,intercept_crps
CUMULATIVE,ALL,126,8.61111111111111,8.05211873571176,3.265726718124754,4.092129493546904,-0.558992375399351,2.3138777181992336,8.545668735711761,3.2662907452857444,4.054298215560832,-0.06544237539935044,2.285738155505233
DATE,2026-08-06,5,12,8.411675961188378,5.16741202991399,7.175409064695315,-3.5883240388116233,4.021429934306758,8.905225961188378,5.0687020299139895,6.941761461581688,-3.0947740388116225,3.8702765764940055
DATE,2026-08-07,14,7.928571428571429,7.99099257170045,2.703099913741936,3.4202156573620703,0.06242114312902133,1.945340393026084,8.48454257170045,2.8377012715474774,3.464546529597679,0.5559711431290217,1.9631924167292527
DATE,2026-08-08,15,8.2,7.993734841720578,2.1431085324303534,2.753609699029807,-0.20626515827942243,1.62091448083322,8.487284841720578,2.121096788372052,2.760861032242189,0.28728484172057817,1.6125229933529457
DATE,2026-08-09,15,9,7.914413180263787,3.193158719685026,3.907204404240027,-1.0855868197362135,2.271757546927904,8.407963180263787,3.206451245974908,3.799770402175774,-0.5920368197362128,2.204913427630238
DATE,2026-08-10,10,9.6,8.20880252961017,3.653677123606671,4.049237660357942,-1.3911974703898307,2.434650133035548,8.70235252961017,3.456257123606671,3.907258144727484,-0.89764747038983,2.334766470484861
DATE,2026-08-11,15,7.6,8.153726876463583,3.38136159027229,3.8971161956886693,0.5537268764635831,2.221522275249863,8.647276876463584,3.4800715902722903,3.9972102828042626,1.0472768764635838,2.2723543923922636
DATE,2026-08-12,15,9.466666666666667,8.208182232897062,2.8661564331910863,3.7523651707103727,-1.2584844337696048,2.1197671315804647,8.701732232897063,2.70163976652442,3.6168475212934132,-0.7649344337696042,2.0441826393132665
DATE,2026-08-13,8,8.125,7.9813389439060085,3.9561898805912086,5.012187935593001,-0.14366105609399193,2.8903325485080122,8.47488894390601,4.079577380591209,5.022331298882388,0.34988894390600866,2.887833060348327
DATE,2026-08-14,14,8.285714285714286,7.9612874682287345,4.40262146235398,4.91512396822535,-0.3244268174855517,2.971958530182673,8.454837468228735,4.40262146235398,4.907320400583534,0.16912318251444894,2.9506832695068987
