date,games,actual_runs,raw_expected_runs,intercept_expected_runs,actual_minus_raw,actual_minus_intercept,cumulative_games,cumulative_actual_runs,cumulative_raw_expected_runs,cumulative_actual_minus_raw,cumulative_average_actual_minus_raw
2026-08-06,5,60,42.05837980594188,44.52612980594189,17.941620194058117,15.473870194058108,5,60.0,42.05837980594188,17.941620194058117,3.5883240388116233
2026-08-07,14,111,111.87389600380631,118.78359600380631,-0.8738960038063084,-7.783596003806309,19,171.0,153.9322758097482,17.067724190251795,0.898301273171147
2026-08-08,15,123,119.90602262580865,127.30927262580867,3.093977374191354,-4.309272625808674,34,294.0,273.83829843555685,20.16170156444315,0.592991222483622
2026-08-09,15,135,118.71619770395681,126.11944770395682,16.28380229604319,8.880552296043177,49,429.0,392.5544961395137,36.445503860486326,0.7437857930711496
2026-08-10,10,96,82.0880252961017,87.0235252961017,13.911974703898295,8.976474703898305,59,525.0,474.6425214356154,50.35747856438462,0.8535165858370275
2026-08-11,15,114,122.30590314695375,129.70915314695375,-8.305903146953753,-15.709153146953753,74,639.0,596.9484245825691,42.051575417430854,0.5682645326679845
2026-08-12,15,142,123.12273349345591,130.52598349345595,18.87726650654409,11.474016506544046,89,781.0,720.0711580760251,60.928841923974915,0.6845937294828642
2026-08-13,8,65,63.850711551248054,67.79911155124807,1.1492884487519461,-2.7991115512480746,97,846.0,783.9218696272732,62.07813037272683,0.6399807254920292
2026-08-14,14,116,111.45802455520227,118.36772455520229,4.541975444797728,-2.3677245552022868,111,962.0,895.3798941824755,66.62010581752452,0.6001811334912118
2026-08-15,15,123,119.1870665172064,126.59031651720643,3.8129334827935963,-3.590316517206432,126,1085.0,1014.5669606996819,70.43303930031811,0.5589923753993501
