scope,variant,games,mae,rmse,forecast_minus_actual_bias,crps,known_summary_check,known_mae,known_forecast_minus_actual_bias,known_crps,reproduction_delta_mae,reproduction_delta_forecast_minus_actual_bias,reproduction_delta_crps,absolute_bias_delta
ALL,RAW_V1,126,3.265726718124754,4.092129493546904,-0.558992375399351,2.3138777181992336,NOT_PREDECLARED,,,,,,,
ALL,V1_INTERCEPT,126,3.2662907452857444,4.054298215560832,-0.06544237539935044,2.285738155505233,NOT_PREDECLARED,,,,,,,
2026-08-06,RAW_V1,5,5.16741202991399,7.175409064695315,-3.5883240388116233,4.021429934306758,NOT_PREDECLARED,,,,,,,
2026-08-06,V1_INTERCEPT,5,5.0687020299139895,6.941761461581688,-3.0947740388116225,3.8702765764940055,NOT_PREDECLARED,,,,,,,
2026-08-07,RAW_V1,14,2.703099913741936,3.4202156573620703,0.06242114312902133,1.945340393026084,NOT_PREDECLARED,,,,,,,
2026-08-07,V1_INTERCEPT,14,2.8377012715474774,3.464546529597679,0.5559711431290217,1.9631924167292527,NOT_PREDECLARED,,,,,,,
2026-08-08,RAW_V1,15,2.1431085324303534,2.753609699029807,-0.20626515827942243,1.62091448083322,NOT_PREDECLARED,,,,,,,
2026-08-08,V1_INTERCEPT,15,2.121096788372052,2.760861032242189,0.28728484172057817,1.6125229933529457,NOT_PREDECLARED,,,,,,,
2026-08-09,RAW_V1,15,3.193158719685026,3.907204404240027,-1.0855868197362135,2.271757546927904,NOT_PREDECLARED,,,,,,,
2026-08-09,V1_INTERCEPT,15,3.206451245974908,3.799770402175774,-0.5920368197362128,2.204913427630238,NOT_PREDECLARED,,,,,,,
2026-08-10,RAW_V1,10,3.653677123606671,4.049237660357942,-1.3911974703898307,2.434650133035548,NOT_PREDECLARED,,,,,,,
2026-08-10,V1_INTERCEPT,10,3.456257123606671,3.907258144727484,-0.89764747038983,2.334766470484861,NOT_PREDECLARED,,,,,,,
2026-08-11,RAW_V1,15,3.38136159027229,3.8971161956886693,0.5537268764635831,2.221522275249863,NOT_PREDECLARED,,,,,,,
2026-08-11,V1_INTERCEPT,15,3.4800715902722903,3.9972102828042626,1.0472768764635838,2.2723543923922636,NOT_PREDECLARED,,,,,,,
2026-08-12,RAW_V1,15,2.8661564331910863,3.7523651707103727,-1.2584844337696048,2.1197671315804647,NOT_PREDECLARED,,,,,,,
2026-08-12,V1_INTERCEPT,15,2.70163976652442,3.6168475212934132,-0.7649344337696042,2.0441826393132665,NOT_PREDECLARED,,,,,,,
2026-08-13,RAW_V1,8,3.9561898805912086,5.012187935593001,-0.14366105609399193,2.8903325485080122,NOT_PREDECLARED,,,,,,,
2026-08-13,V1_INTERCEPT,8,4.079577380591209,5.022331298882388,0.34988894390600866,2.887833060348327,NOT_PREDECLARED,,,,,,,
2026-08-14,RAW_V1,14,4.40262146235398,4.91512396822535,-0.3244268174855517,2.971958530182673,PASS,4.40262146235398,-0.3244268174855517,2.971958530182673,0.0,0.0,0.0,
2026-08-14,V1_INTERCEPT,14,4.40262146235398,4.907320400583534,0.16912318251444894,2.9506832695068987,NOT_PREDECLARED,,,,,,,
2026-08-15,RAW_V1,15,2.948089176955229,3.6862809135028853,-0.2541955655195721,2.1080449772903833,PASS,2.948089176955229,-0.2541955655195722,2.1080449772903833,0.0,5.551115123125783e-17,0.0,
2026-08-15,V1_INTERCEPT,15,3.0004349555908005,3.685287252444685,0.2393544344804282,2.0931622750611547,NOT_PREDECLARED,,,,,,,
ALL,INTERCEPT_MINUS_RAW,,0.0005640271609905767,-0.03783127798607211,0.49355000000000054,-0.02813956269400064,DERIVED,,,,,,,-0.49355000000000054
