line_band,represented_lines,games,binary_nonpush_rows,actual_average_runs,raw_average_forecast,raw_bias,intercept_bias,raw_crps,intercept_crps,raw_brier,intercept_brier,intercept_improves_crps,intercept_reduces_absolute_bias
<=7.5,"7.0,7.5",26,26,7,7.842297877610859,0.8422978776108594,1.3358478776108598,1.6352014927112666,1.7131477177207795,0.24209372183631991,0.2553679914042187,False,False
8.0,8.0,35,33,7.485714285714286,7.95494270862096,0.4692284229066741,0.9627784229066746,2.4415405769525726,2.473075261705997,0.24351168474471716,0.24793556622991322,False,False
8.5,8.5,25,25,9.76,7.852484591450973,-1.9075154085490271,-1.4139654085490267,2.8096852294117425,2.6828722186743676,0.30427340324533353,0.27859959762786785,True,True
9.0,9.0,18,16,8.944444444444445,8.118241057900356,-0.826203386544089,-0.3326533865440882,1.7717977900889466,1.718708827117491,0.2668650651044825,0.26146358637997497,True,True
9.5,9.5,14,14,9.428571428571429,8.584763044261699,-0.8438083843097299,-0.3502583843097292,2.1538521832414155,2.106716379765657,0.2641242235995886,0.2544102522224739,True,True
>=10.0,10.0,3,3,14.666666666666666,9.186234941993153,-5.480431724673514,-4.9868817246735135,3.727954098487444,3.349852073015322,0.4012292955361283,0.3468265632086587,True,True
