date,games,raw_mae,raw_bias,raw_crps,intercept_mae,intercept_bias,intercept_crps,population_baseline_mae,team_baseline_mae,raw_beats_population_baseline,raw_beats_team_baseline,intercept_improves_crps,intercept_reduces_absolute_bias
2026-08-06,5,5.16741202991399,-3.5883240388116233,4.021429934306758,5.0687020299139895,-3.0947740388116225,3.8702765764940055,5.005232558139534,4.973634904235323,False,False,True,True
2026-08-07,14,2.703099913741936,0.06242114312902133,1.945340393026084,2.8377012715474774,0.5559711431290217,1.9631924167292527,2.7835685400676735,2.8962642642103105,True,True,False,False
2026-08-08,15,2.1431085324303534,-0.20626515827942243,1.62091448083322,2.121096788372052,0.28728484172057817,1.6125229933529457,2.1348606338297054,2.0802343307009585,False,False,True,False
2026-08-09,15,3.193158719685026,-1.0855868197362135,2.271757546927904,3.206451245974908,-0.5920368197362128,2.204913427630238,3.198031421540791,3.1617135947757764,True,False,True,True
2026-08-10,10,3.653677123606671,-1.3911974703898307,2.434650133035548,3.456257123606671,-0.89764747038983,2.334766470484861,3.4117117117117117,3.4530158198867524,False,False,True,True
2026-08-11,15,3.38136159027229,0.5537268764635831,2.221522275249863,3.4800715902722903,1.0472768764635838,2.2723543923922636,3.6615154908547964,3.745867011313864,True,True,False,False
2026-08-12,15,2.8661564331910863,-1.2584844337696048,2.1197671315804647,2.70163976652442,-0.7649344337696042,2.0441826393132665,2.874106977605034,2.812316311792881,True,False,True,True
2026-08-13,8,3.9561898805912086,-0.14366105609399193,2.8903325485080122,4.079577380591209,0.34988894390600866,2.887833060348327,4.116740088105727,4.08950417507735,True,True,True,False
2026-08-14,14,4.40262146235398,-0.3244268174855517,2.971958530182673,4.40262146235398,0.16912318251444894,2.9506832695068987,4.571428571428571,4.747543699213038,True,True,True,True
2026-08-15,15,2.948089176955229,-0.2541955655195721,2.1080449772903833,3.0004349555908005,0.2393544344804282,2.0931622750611547,3.0581837955410545,3.0235031217546013,True,True,True,True
