date,capture_file,observations,games,players,hits05,hits15,paired,pregame,poststart_or_unresolved,earliest,latest
2026-05-10,backend/mlb/exports/odds_history/2026-05-10/odds_mlb_playerprops__local_prewarm_20260510T115006Z.json,1366,15,268,752,320,268,1366,0,2026-05-10T11:52:02.288810+00:00,2026-05-10T11:52:02.288810+00:00
2026-05-11,backend/mlb/exports/odds_history/2026-05-11/odds_mlb_playerprops__local_daily_20260511T123000Z.json,550,6,108,304,128,108,550,0,2026-05-11T12:33:20.018606+00:00,2026-05-11T12:33:20.018606+00:00
2026-05-11,backend/mlb/exports/odds_history/2026-05-11/odds_mlb_playerprops__local_daily_20260511T163000Z.json,564,6,111,315,129,111,564,0,2026-05-11T16:30:30.057213+00:00,2026-05-11T16:30:30.057213+00:00
2026-05-11,backend/mlb/exports/odds_history/2026-05-11/odds_mlb_playerprops__local_daily_20260511T180005Z.json,563,6,111,317,127,111,563,0,2026-05-11T18:00:34.703740+00:00,2026-05-11T18:00:34.703740+00:00
2026-05-11,backend/mlb/exports/odds_history/2026-05-11/odds_mlb_playerprops__local_daily_20260511T200005Z.json,573,6,113,323,129,113,573,0,2026-05-11T20:00:38.807670+00:00,2026-05-11T20:00:38.807670+00:00
2026-05-11,backend/mlb/exports/odds_history/2026-05-11/odds_mlb_playerprops__local_daily_20260511T233002Z.json,282,3,55,151,69,55,282,0,2026-05-11T23:30:33.138648+00:00,2026-05-11T23:30:33.138648+00:00
2026-05-11,backend/mlb/exports/odds_history/2026-05-11/odds_mlb_playerprops__local_prewarm_20260511T115004Z.json,551,6,108,302,130,108,551,0,2026-05-11T11:50:38.070736+00:00,2026-05-11T11:50:38.070736+00:00
2026-05-12,backend/mlb/exports/odds_history/2026-05-12/odds_mlb_playerprops__local_daily_20260512T123004Z.json,1235,13,240,650,310,240,1235,0,2026-05-12T12:31:46.692992+00:00,2026-05-12T12:31:46.692992+00:00
2026-05-12,backend/mlb/exports/odds_history/2026-05-12/odds_mlb_playerprops__local_daily_20260512T154401Z.json,1373,15,278,734,342,278,1373,0,2026-05-12T15:44:34.463683+00:00,2026-05-12T15:44:34.463683+00:00
2026-05-12,backend/mlb/exports/odds_history/2026-05-12/odds_mlb_playerprops__local_daily_20260512T163005Z.json,1334,15,278,700,338,259,1334,0,2026-05-12T16:30:41.724636+00:00,2026-05-12T16:30:41.724636+00:00
2026-05-12,backend/mlb/exports/odds_history/2026-05-12/odds_mlb_playerprops__local_daily_20260512T180005Z.json,1429,15,278,756,356,278,1429,0,2026-05-12T18:00:36.688810+00:00,2026-05-12T18:00:36.688810+00:00
2026-05-12,backend/mlb/exports/odds_history/2026-05-12/odds_mlb_playerprops__local_daily_20260512T200003Z.json,1433,15,279,761,355,279,1433,0,2026-05-12T20:00:35.011214+00:00,2026-05-12T20:00:35.011214+00:00
2026-05-12,backend/mlb/exports/odds_history/2026-05-12/odds_mlb_playerprops__local_daily_20260512T233004Z.json,714,7,138,366,186,138,714,0,2026-05-12T23:30:36.465959+00:00,2026-05-12T23:30:36.465959+00:00
2026-05-12,backend/mlb/exports/odds_history/2026-05-12/odds_mlb_playerprops__local_prewarm_20260512T115002Z.json,1232,13,239,643,313,239,1232,0,2026-05-12T11:51:36.226538+00:00,2026-05-12T11:51:36.226538+00:00
2026-05-13,backend/mlb/exports/odds_history/2026-05-13/odds_mlb_playerprops__local_daily_20260513T123003Z.json,1237,13,243,685,287,243,1237,0,2026-05-13T12:33:22.111983+00:00,2026-05-13T12:33:22.111983+00:00
2026-05-13,backend/mlb/exports/odds_history/2026-05-13/odds_mlb_playerprops__local_daily_20260513T163000Z.json,1419,15,279,789,327,279,1419,0,2026-05-13T16:30:35.371153+00:00,2026-05-13T16:30:35.371153+00:00
2026-05-13,backend/mlb/exports/odds_history/2026-05-13/odds_mlb_playerprops__local_daily_20260513T180005Z.json,1232,13,242,682,286,242,1232,0,2026-05-13T18:00:40.328881+00:00,2026-05-13T18:00:40.328881+00:00
2026-05-13,backend/mlb/exports/odds_history/2026-05-13/odds_mlb_playerprops__local_daily_20260513T200005Z.json,1219,13,239,669,287,239,1219,0,2026-05-13T20:00:37.619013+00:00,2026-05-13T20:00:37.619013+00:00
2026-05-13,backend/mlb/exports/odds_history/2026-05-13/odds_mlb_playerprops__local_daily_20260513T233004Z.json,669,7,131,365,159,131,669,0,2026-05-13T23:30:34.168481+00:00,2026-05-13T23:30:34.168481+00:00
2026-05-13,backend/mlb/exports/odds_history/2026-05-13/odds_mlb_playerprops__local_prewarm_20260513T103000Z.json,1237,13,243,685,287,243,1237,0,2026-05-13T10:31:16.804604+00:00,2026-05-13T10:31:16.804604+00:00
2026-05-14,backend/mlb/exports/odds_history/2026-05-14/odds_mlb_playerprops__local_daily_20260514T123002Z.json,1028,11,202,570,238,202,1028,0,2026-05-14T12:33:12.848489+00:00,2026-05-14T12:33:12.848489+00:00
2026-05-14,backend/mlb/exports/odds_history/2026-05-14/odds_mlb_playerprops__local_daily_20260514T163000Z.json,1031,11,203,577,235,203,1031,0,2026-05-14T16:30:34.193930+00:00,2026-05-14T16:30:34.193930+00:00
2026-05-14,backend/mlb/exports/odds_history/2026-05-14/odds_mlb_playerprops__local_daily_20260514T180005Z.json,563,6,110,304,136,110,563,0,2026-05-14T18:00:38.035707+00:00,2026-05-14T18:00:38.035707+00:00
2026-05-14,backend/mlb/exports/odds_history/2026-05-14/odds_mlb_playerprops__local_daily_20260514T200004Z.json,370,4,73,209,83,73,370,0,2026-05-14T20:00:33.131357+00:00,2026-05-14T20:00:33.131357+00:00
2026-05-14,backend/mlb/exports/odds_history/2026-05-14/odds_mlb_playerprops__local_daily_20260514T234212Z.json,193,2,38,108,44,38,101,92,2026-05-14T23:49:28.237526+00:00,2026-05-14T23:49:28.237526+00:00
2026-05-14,backend/mlb/exports/odds_history/2026-05-14/odds_mlb_playerprops__local_prewarm_20260514T103000Z.json,1023,11,201,567,237,201,1023,0,2026-05-14T10:31:05.141650+00:00,2026-05-14T10:31:05.141650+00:00
2026-05-15,backend/mlb/exports/odds_history/2026-05-15/odds_mlb_playerprops__local_daily_20260515T123000Z.json,1326,14,257,689,339,257,1326,0,2026-05-15T12:32:31.579822+00:00,2026-05-15T12:32:31.579822+00:00
2026-05-15,backend/mlb/exports/odds_history/2026-05-15/odds_mlb_playerprops__local_daily_20260515T163005Z.json,1420,15,276,748,356,276,1420,0,2026-05-15T16:30:43.141254+00:00,2026-05-15T16:30:43.141254+00:00
2026-05-15,backend/mlb/exports/odds_history/2026-05-15/odds_mlb_playerprops__local_daily_20260515T180004Z.json,1433,15,279,761,355,279,1433,0,2026-05-15T18:00:42.737301+00:00,2026-05-15T18:00:42.737301+00:00
2026-05-15,backend/mlb/exports/odds_history/2026-05-15/odds_mlb_playerprops__local_daily_20260515T200005Z.json,1450,15,282,766,362,282,1450,0,2026-05-15T20:00:40.068766+00:00,2026-05-15T20:00:40.068766+00:00
2026-05-15,backend/mlb/exports/odds_history/2026-05-15/odds_mlb_playerprops__local_daily_20260515T233002Z.json,793,8,153,403,209,153,707,86,2026-05-15T23:30:34.488702+00:00,2026-05-15T23:30:34.488702+00:00
2026-05-15,backend/mlb/exports/odds_history/2026-05-15/odds_mlb_playerprops__local_prewarm_20260515T103002Z.json,1325,14,257,691,337,257,1325,0,2026-05-15T10:31:38.211513+00:00,2026-05-15T10:31:38.211513+00:00
2026-05-16,backend/mlb/exports/odds_history/2026-05-16/odds_mlb_playerprops__local_daily_20260516T123000Z.json,1436,15,278,742,370,278,1436,0,2026-05-16T12:33:25.074180+00:00,2026-05-16T12:33:25.074180+00:00
2026-05-16,backend/mlb/exports/odds_history/2026-05-16/odds_mlb_playerprops__local_daily_20260516T163005Z.json,1436,15,278,742,370,278,1436,0,2026-05-16T16:30:40.280525+00:00,2026-05-16T16:30:40.280525+00:00
2026-05-16,backend/mlb/exports/odds_history/2026-05-16/odds_mlb_playerprops__local_daily_20260516T180005Z.json,1331,14,258,692,340,258,1331,0,2026-05-16T18:00:38.784008+00:00,2026-05-16T18:00:38.784008+00:00
2026-05-16,backend/mlb/exports/odds_history/2026-05-16/odds_mlb_playerprops__local_daily_20260516T200001Z.json,1145,12,224,622,274,224,1145,0,2026-05-16T20:00:33.812670+00:00,2026-05-16T20:00:33.812670+00:00
2026-05-16,backend/mlb/exports/odds_history/2026-05-16/odds_mlb_playerprops__local_daily_20260516T233002Z.json,403,4,79,221,95,79,201,202,2026-05-16T23:30:32.410997+00:00,2026-05-16T23:30:32.410997+00:00
2026-05-16,backend/mlb/exports/odds_history/2026-05-16/odds_mlb_playerprops__local_prewarm_20260516T103001Z.json,295,3,58,164,68,58,295,0,2026-05-16T10:31:29.902055+00:00,2026-05-16T10:31:29.902055+00:00
2026-05-17,backend/mlb/exports/odds_history/2026-05-17/odds_mlb_playerprops__local_daily_20260517T123002Z.json,1400,15,280,726,356,261,1400,0,2026-05-17T12:33:26.864968+00:00,2026-05-17T12:33:26.864968+00:00
2026-05-17,backend/mlb/exports/odds_history/2026-05-17/odds_mlb_playerprops__local_daily_20260517T163001Z.json,1339,14,260,702,338,260,1339,0,2026-05-17T16:30:36.551907+00:00,2026-05-17T16:30:36.551907+00:00
2026-05-17,backend/mlb/exports/odds_history/2026-05-17/odds_mlb_playerprops__local_daily_20260517T180005Z.json,704,8,148,373,181,148,704,0,2026-05-17T18:00:40.451366+00:00,2026-05-17T18:00:40.451366+00:00
2026-05-17,backend/mlb/exports/odds_history/2026-05-17/odds_mlb_playerprops__local_daily_20260517T200005Z.json,381,4,73,187,105,73,381,0,2026-05-17T20:00:37.972011+00:00,2026-05-17T20:00:37.972011+00:00
2026-05-17,backend/mlb/exports/odds_history/2026-05-17/odds_mlb_playerprops__local_daily_20260517T233002Z.json,91,1,18,52,20,18,0,91,2026-05-17T23:30:28.080048+00:00,2026-05-17T23:30:28.080048+00:00
2026-05-17,backend/mlb/exports/odds_history/2026-05-17/odds_mlb_playerprops__local_prewarm_20260517T103000Z.json,1147,12,225,631,269,225,1147,0,2026-05-17T10:31:32.814554+00:00,2026-05-17T10:31:32.814554+00:00
2026-05-18,backend/mlb/exports/odds_history/2026-05-18/odds_mlb_playerprops__local_daily_20260518T123000Z.json,1348,14,262,710,338,262,1348,0,2026-05-18T12:33:16.083958+00:00,2026-05-18T12:33:16.083958+00:00
2026-05-18,backend/mlb/exports/odds_history/2026-05-18/odds_mlb_playerprops__local_daily_20260518T163004Z.json,1352,14,262,702,346,262,1352,0,2026-05-18T16:30:39.513054+00:00,2026-05-18T16:30:39.513054+00:00
2026-05-18,backend/mlb/exports/odds_history/2026-05-18/odds_mlb_playerprops__local_daily_20260518T180005Z.json,1359,14,263,701,351,263,1359,0,2026-05-18T18:00:38.745577+00:00,2026-05-18T18:00:38.745577+00:00
2026-05-18,backend/mlb/exports/odds_history/2026-05-18/odds_mlb_playerprops__local_daily_20260518T200005Z.json,1406,14,273,737,355,273,1406,0,2026-05-18T20:00:37.090460+00:00,2026-05-18T20:00:37.090460+00:00
2026-05-18,backend/mlb/exports/odds_history/2026-05-18/odds_mlb_playerprops__local_daily_20260518T233000Z.json,784,8,153,421,191,153,692,92,2026-05-18T23:30:31.855335+00:00,2026-05-18T23:30:31.855335+00:00
2026-05-18,backend/mlb/exports/odds_history/2026-05-18/odds_mlb_playerprops__local_prewarm_20260518T103004Z.json,1345,14,262,716,332,262,1345,0,2026-05-18T10:31:29.547206+00:00,2026-05-18T10:31:29.547206+00:00
2026-05-19,backend/mlb/exports/odds_history/2026-05-19/odds_mlb_playerprops__local_daily_20260519T123000Z.json,1402,15,274,758,338,274,1402,0,2026-05-19T12:33:25.221871+00:00,2026-05-19T12:33:25.221871+00:00
2026-05-19,backend/mlb/exports/odds_history/2026-05-19/odds_mlb_playerprops__local_daily_20260519T163005Z.json,1406,15,276,776,328,276,1406,0,2026-05-19T16:30:40.423853+00:00,2026-05-19T16:30:40.423853+00:00
2026-05-19,backend/mlb/exports/odds_history/2026-05-19/odds_mlb_playerprops__local_daily_20260519T180005Z.json,1398,15,274,766,330,274,1398,0,2026-05-19T18:00:42.330221+00:00,2026-05-19T18:00:42.330221+00:00
2026-05-19,backend/mlb/exports/odds_history/2026-05-19/odds_mlb_playerprops__local_daily_20260519T200005Z.json,1379,15,282,773,317,282,1379,0,2026-05-19T20:00:37.024583+00:00,2026-05-19T20:00:37.024583+00:00
2026-05-19,backend/mlb/exports/odds_history/2026-05-19/odds_mlb_playerprops__local_daily_20260519T233000Z.json,951,10,185,503,237,185,951,0,2026-05-19T23:30:33.059548+00:00,2026-05-19T23:30:33.059548+00:00
2026-05-19,backend/mlb/exports/odds_history/2026-05-19/odds_mlb_playerprops__local_prewarm_20260519T103000Z.json,1176,15,273,563,309,163,1176,0,2026-05-19T10:31:23.358038+00:00,2026-05-19T10:31:23.358038+00:00
2026-05-20,backend/mlb/exports/odds_history/2026-05-20/odds_mlb_playerprops__local_daily_20260520T123004Z.json,1171,12,228,622,290,228,1171,0,2026-05-20T12:33:35.618228+00:00,2026-05-20T12:33:35.618228+00:00
2026-05-20,backend/mlb/exports/odds_history/2026-05-20/odds_mlb_playerprops__local_daily_20260520T163004Z.json,1415,15,284,758,342,266,1415,0,2026-05-20T16:30:41.211393+00:00,2026-05-20T16:30:41.211393+00:00
2026-05-20,backend/mlb/exports/odds_history/2026-05-20/odds_mlb_playerprops__local_daily_20260520T180005Z.json,1130,12,221,613,271,221,1130,0,2026-05-20T18:00:39.175628+00:00,2026-05-20T18:00:39.175628+00:00
2026-05-20,backend/mlb/exports/odds_history/2026-05-20/odds_mlb_playerprops__local_daily_20260520T200005Z.json,943,10,186,532,212,186,943,0,2026-05-20T20:00:40.590240+00:00,2026-05-20T20:00:40.590240+00:00
2026-05-20,backend/mlb/exports/odds_history/2026-05-20/odds_mlb_playerprops__local_daily_20260520T233002Z.json,593,6,117,335,133,117,593,0,2026-05-20T23:30:31.120646+00:00,2026-05-20T23:30:31.120646+00:00
2026-05-20,backend/mlb/exports/odds_history/2026-05-20/odds_mlb_playerprops__local_prewarm_20260520T103000Z.json,1162,12,227,627,281,227,1162,0,2026-05-20T10:31:19.240074+00:00,2026-05-20T10:31:19.240074+00:00
2026-05-21,backend/mlb/exports/odds_history/2026-05-21/odds_mlb_playerprops__local_daily_20260521T123004Z.json,607,7,127,325,145,108,607,0,2026-05-21T12:33:14.813654+00:00,2026-05-21T12:33:14.813654+00:00
2026-05-21,backend/mlb/exports/odds_history/2026-05-21/odds_mlb_playerprops__local_daily_20260521T163000Z.json,654,7,129,369,147,129,654,0,2026-05-21T16:30:29.737753+00:00,2026-05-21T16:30:29.737753+00:00
2026-05-21,backend/mlb/exports/odds_history/2026-05-21/odds_mlb_playerprops__local_daily_20260521T180005Z.json,471,5,92,254,114,92,471,0,2026-05-21T18:00:32.752150+00:00,2026-05-21T18:00:32.752150+00:00
2026-05-21,backend/mlb/exports/odds_history/2026-05-21/odds_mlb_playerprops__local_daily_20260521T200002Z.json,464,5,91,255,109,91,464,0,2026-05-21T20:00:33.029616+00:00,2026-05-21T20:00:33.029616+00:00
2026-05-21,backend/mlb/exports/odds_history/2026-05-21/odds_mlb_playerprops__local_daily_20260521T233001Z.json,203,2,40,114,46,40,203,0,2026-05-21T23:30:29.884790+00:00,2026-05-21T23:30:29.884790+00:00
2026-05-21,backend/mlb/exports/odds_history/2026-05-21/odds_mlb_playerprops__local_prewarm_20260521T103005Z.json,644,7,127,363,145,127,644,0,2026-05-21T10:30:48.299415+00:00,2026-05-21T10:30:48.299415+00:00
2026-05-22,backend/mlb/exports/odds_history/2026-05-22/odds_mlb_playerprops__local_daily_20260522T123000Z.json,1326,15,261,741,303,261,1326,0,2026-05-22T12:31:53.136018+00:00,2026-05-22T12:31:53.136018+00:00
2026-05-22,backend/mlb/exports/odds_history/2026-05-22/odds_mlb_playerprops__local_daily_20260522T163004Z.json,1387,15,273,775,317,273,1387,0,2026-05-22T16:30:38.830031+00:00,2026-05-22T16:30:38.830031+00:00
2026-05-22,backend/mlb/exports/odds_history/2026-05-22/odds_mlb_playerprops__local_daily_20260522T180003Z.json,1384,15,273,781,311,273,1384,0,2026-05-22T18:00:36.702276+00:00,2026-05-22T18:00:36.702276+00:00
