window_pt_label,unique_propositions_seen_by_window,incremental_first_seen,not_seen_early_appearing_by_now
05:30,19881,19881,19881
08:30,34273,14392,14392
11:00,38297,4024,4024
13:00,39629,1332,1332
16:30,40744,1115,1115
