lane,exact_pregame_any_price,paired_prices,lost_solely_opposite_side
HITS_05_OVER,5635,5635,0
HITS_05_UNDER,1817,1817,0
HITS_15_OVER,102,102,0
HITS_15_UNDER,756,756,0
