population,rows,mean_model_probability,hits05_pct,over_pct,month_distribution,representativeness_classification
included,7564,0.5833392410100475,0.8923849814912744,0.6913008989952406,"{""2026-05"": 1547, ""2026-06"": 1958, ""2026-07"": 3705, ""2026-08"": 354}",MATERIALLY_SELECTED_POTENTIALLY_BIASED
excluded,20262,0.6104900218142335,0.7985391373013523,0.6672095548317046,"{""2026-05"": 5759, ""2026-06"": 7325, ""2026-07"": 6582, ""2026-08"": 596}",MATERIALLY_SELECTED_POTENTIALLY_BIASED
