split,confidence_band,games,accuracy,brier,log_loss,calibration_gap,mean_distance_from_50
2026_LATE_HOLDOUT,NEAR_EVEN,24,0.4583333333333333,0.2504603648434149,0.6940680821006616,0.039187005053167,0.009893582585906351
2026_LATE_HOLDOUT,LEAN,30,0.5666666666666667,0.24762374393574876,0.6883950569366524,0.10172537643488824,0.03730362421982346
2026_LATE_HOLDOUT,MODERATE,83,0.5783132530120482,0.24610627493344672,0.6854102984437109,-0.049518470570468966,0.0801052397429986
2026_LATE_HOLDOUT,STRONG,65,0.676923076923077,0.21602100762043122,0.6234172190763819,0.002690670889794877,0.14985902173011786
2026_SEQUENTIAL_EARLY,NEAR_EVEN,129,0.5271317829457365,0.2509981814627399,0.6951464685314754,0.03574370252624539,0.012042634197511833
2026_SEQUENTIAL_EARLY,LEAN,70,0.5571428571428572,0.24582542348873707,0.6847735423389679,0.14612184900264683,0.037351244061243384
2026_SEQUENTIAL_EARLY,MODERATE,194,0.4845360824742268,0.25821289127352315,0.7097814503094441,-0.04328342553003079,0.07154753989861778
2026_SEQUENTIAL_EARLY,STRONG,170,0.5941176470588235,0.242908466879597,0.6789451317783233,0.03780522620047854,0.15156575070665873
FROZEN_VALIDATION,NEAR_EVEN,390,0.49230769230769234,0.2510892983630989,0.6953267152537063,-0.062120532613411134,0.011431898103519071
FROZEN_VALIDATION,LEAN,380,0.5131578947368421,0.25048967850177406,0.6941321751240993,0.005977289448120442,0.036814358542127244
FROZEN_VALIDATION,MODERATE,596,0.5503355704697986,0.24711761369581844,0.6873585864212435,-0.020329848231177467,0.07248672083344827
FROZEN_VALIDATION,STRONG,754,0.6140583554376657,0.23527035484312614,0.6629642759267788,0.022332823891793897,0.15382025597735166
