dimension,segment,games,accuracy,brier,log_loss,calibration_gap,mean_probability,probability_std
MONTH,2026-05,266,0.5451127819548872,0.24661555179809844,0.6862183240034883,0.03196741981438894,0.5282080213181484,0.09412864889993548
MONTH,2026-06,297,0.5286195286195287,0.2537863587582688,0.7009839797363883,0.014700462244777284,0.5298519773962923,0.09173081415841271
FIRST_N_GAMES,50,50,0.62,0.23646119529473386,0.6662120244189813,-0.02709414385851845,0.5129058561414817,0.09800494292265846
FIRST_N_GAMES,100,100,0.55,0.2486006203898635,0.6913917184525268,0.03449385563275,0.53449385563275,0.09379514374667511
FIRST_N_GAMES,200,200,0.535,0.24961722883945703,0.6928405626638269,0.042328039977808825,0.5273280399778089,0.08990269343952355
TEAM,108,42,0.5238095238095238,0.24102385160165524,0.673343417917293,-0.10888129108532654,0.5339758517718164,0.10561439841954351
TEAM,109,36,0.6388888888888888,0.2363851727226753,0.6658934648236489,-0.062103135569394285,0.5490079755417168,0.07992481217640633
TEAM,110,37,0.4594594594594595,0.27074556694204704,0.7361761180148879,0.025333091803982563,0.5388466053174961,0.07009455483906055
TEAM,111,38,0.47368421052631576,0.2655997774873146,0.7249663880561522,0.07360988724352499,0.5209783082961564,0.06168447259344741
TEAM,112,40,0.55,0.2639852689256171,0.723459922764863,0.07708645890109507,0.5270864589010951,0.1098816413179795
TEAM,113,34,0.6764705882352942,0.23364490587009806,0.6600879375198749,0.04512776151961079,0.545127761519611,0.061867256777613594
TEAM,114,37,0.4864864864864865,0.25498167699179636,0.7032298153636318,0.07800623977040845,0.5374656992298679,0.0616833526925432
TEAM,115,40,0.6,0.23608393741679298,0.6634213815229414,-0.02301007374113957,0.5269899262588604,0.17601139243148692
TEAM,116,37,0.43243243243243246,0.25824354752515055,0.709688272823233,0.07601138075529756,0.535470840214757,0.04626807714994049
TEAM,117,38,0.5,0.2536471571670919,0.7005116741505631,0.10314549729795275,0.5241981288769001,0.060239028781663075
TEAM,118,39,0.5128205128205128,0.25983384792633374,0.7131688988395077,0.0013890946632101958,0.5142096074837229,0.05428828278087138
TEAM,119,44,0.6590909090909091,0.2196165254058723,0.6285715626211423,0.016519947224336032,0.516519947224336,0.1288964654643413
TEAM,120,33,0.36363636363636365,0.27751519098119537,0.7491984012144717,0.19318187476689058,0.5265152081002239,0.10612610634469452
TEAM,121,38,0.631578947368421,0.24139769728926042,0.675559680000118,-0.014122283861040969,0.5121935056126432,0.06690739699744122
TEAM,133,42,0.6190476190476191,0.23707494566096785,0.667229123321032,0.030159139278191353,0.5301591392781914,0.12206911960397893
TEAM,134,36,0.5,0.2564395417371562,0.7063558119999669,0.01844274612323072,0.5184427461232306,0.09382578639229781
TEAM,135,38,0.5,0.2615069540208682,0.7178515879528478,0.04577473877811792,0.545774738778118,0.07568137164600836
TEAM,136,39,0.48717948717948717,0.2476922305547521,0.688489873410884,0.059842265241750535,0.5213807267802121,0.089556962032125
TEAM,137,37,0.5135135135135135,0.26106413905065845,0.7162418999748525,-0.015622392621508711,0.5519451749460589,0.08436057509298964
TEAM,138,34,0.47058823529411764,0.2720945251395201,0.738131208606407,-0.06850688198219178,0.5197284121354552,0.07501733808776188
TEAM,139,35,0.6857142857142857,0.22873900171745185,0.6501161382490126,-0.13014968692528006,0.5555645987890057,0.0640085685646594
TEAM,140,44,0.4090909090909091,0.26150797830259936,0.7164318388367454,0.026759910827479857,0.5040326381002072,0.05566416185369001
TEAM,141,37,0.40540540540540543,0.252704708580242,0.6984435106251441,0.14149249106205453,0.5468978964674599,0.041701924778559246
TEAM,142,32,0.5625,0.2426362486396676,0.6783127165386134,0.09633557574484114,0.5338355757448412,0.07955716265286594
TEAM,143,40,0.65,0.22998582848785434,0.6528835374347688,0.10372863832719577,0.5537286383271958,0.10566837272444199
TEAM,144,36,0.6111111111111112,0.2453313924362105,0.6835221453901391,-0.07712893893955489,0.5062043943937784,0.09342978163494096
TEAM,145,34,0.35294117647058826,0.3034338587502871,0.804923820376817,-0.12389457991428551,0.5231642436151263,0.1481727354520543
TEAM,146,34,0.5,0.23806291068331506,0.6683059507486537,0.036349633756511075,0.5069378690506288,0.08906456441950446
TEAM,147,38,0.6052631578947368,0.2506958892465427,0.6946983963250488,0.04047174881704033,0.5404717488170402,0.07292102784828026
TEAM,158,37,0.6756756756756757,0.2219128883835277,0.6355761440020955,0.0245208931281632,0.5110073796146498,0.1029599473331657
PREDICTED_SIDE,AWAY_FAVORED,207,0.5410628019323671,0.2530501439215858,0.6994154851152384,-0.025229749514259884,0.43370744855337295,0.0516751676153886
PREDICTED_SIDE,HOME_FAVORED,356,0.5337078651685393,0.24885647622958362,0.6908632324375865,0.05082002558083737,0.5845278907493767,0.061034810756386206
HISTORY_DEPTH,101_PLUS,563,0.5364120781527532,0.25039837536323273,0.6940076663705775,0.022858562979265206,0.5290752592492475,0.09287505851454035
RUN_DIFFERENTIAL_MAGNITUDE,UNDER_0_25,116,0.46551724137931033,0.2528312548284889,0.6988139023083151,0.07217442573510326,0.5376916671144136,0.015070577837797396
RUN_DIFFERENTIAL_MAGNITUDE,0_25_TO_0_75,211,0.5734597156398105,0.247967894026102,0.6891178559009162,0.04200900635018871,0.5349000016108523,0.04720325154978901
RUN_DIFFERENTIAL_MAGNITUDE,0_75_TO_1_50,161,0.5031055900621118,0.2578997527789162,0.7093141195511773,-0.017296239554232463,0.5230764312532209,0.10592133184092971
RUN_DIFFERENTIAL_MAGNITUDE,OVER_1_50,75,0.6133333333333333,0.23737031909976386,0.6674728354138364,-0.021094242661387454,0.512239090671946,0.18296415820892023
CONFIDENCE_BAND,NEAR_EVEN,129,0.5271317829457365,0.25099818146273983,0.6951464685314754,0.03574370252624538,0.500859981596013,0.013908263430015973
CONFIDENCE_BAND,LEAN,70,0.5571428571428572,0.24582542348873712,0.6847735423389679,0.14612184900264683,0.5175504204312183,0.03388382164033482
CONFIDENCE_BAND,MODERATE,194,0.4845360824742268,0.25821289127352315,0.7097814503094441,-0.043283425530030784,0.518572244573062,0.07042803229146657
CONFIDENCE_BAND,STRONG,170,0.5941176470588235,0.242908466879597,0.6789451317783233,0.037805226200478534,0.5672169909063609,0.14158804261026547
FAVORED_STATE,FAVORED,434,0.5391705069124424,0.25022009198342526,0.6936691744840434,0.019028648229125936,0.5374618279526282,0.1040442136256618
FAVORED_STATE,NEAR_EVEN,129,0.5271317829457365,0.25099818146273983,0.6951464685314754,0.03574370252624538,0.500859981596013,0.013908263430015973
OFFSEASON_REGRESSION_STATE,NONE_IN_ACCEPTED_BENCHMARK,563,0.5364120781527532,0.25039837536323273,0.6940076663705775,0.022858562979265206,0.5290752592492475,0.09287505851454035
