game_pk,player_mlb_id,player,local_status,official_source_status,final_participation_role,final_batting_position,official_plate_appearances,official_at_bats,official_hits,official_doubles,official_triples,official_home_runs,official_total_bases,official_source_payload,official_source_sha256,source_observation_timestamp,source_acquisition,final_support_decision
822783,676475,Alec Burleson,LOCAL_ROW_VERIFIED_EXACT,OFFICIAL_APPEARANCE_RESULT_RECOVERED,STARTED,3,5,4,1,0,0,0,1,backend/mlb/exports/cleanroom_v1/bol_tb15/schedule_cohorts/2026-08-02/outcome_sources/game_822783_3d28f303484db711ad0f1b949c50dd69098dcee039338696fe9532b662cf9087.json,3d28f303484db711ad0f1b949c50dd69098dcee039338696fe9532b662cf9087,2026-08-03T13:47:42.240378+00:00,PRESERVED_OFFICIAL_FEED,LOCAL_ROW_VERIFIED_EXACT
822783,691023,Jordan Walker,LOCAL_ROW_VERIFIED_EXACT,OFFICIAL_APPEARANCE_RESULT_RECOVERED,STARTED,2,5,5,2,0,0,0,2,backend/mlb/exports/cleanroom_v1/bol_tb15/schedule_cohorts/2026-08-02/outcome_sources/game_822783_3d28f303484db711ad0f1b949c50dd69098dcee039338696fe9532b662cf9087.json,3d28f303484db711ad0f1b949c50dd69098dcee039338696fe9532b662cf9087,2026-08-03T13:47:42.240378+00:00,PRESERVED_OFFICIAL_FEED,LOCAL_ROW_VERIFIED_EXACT
822783,691026,Masyn Winn,LOCAL_ROW_VERIFIED_EXACT,OFFICIAL_APPEARANCE_RESULT_RECOVERED,STARTED,5,4,3,0,0,0,0,0,backend/mlb/exports/cleanroom_v1/bol_tb15/schedule_cohorts/2026-08-02/outcome_sources/game_822783_3d28f303484db711ad0f1b949c50dd69098dcee039338696fe9532b662cf9087.json,3d28f303484db711ad0f1b949c50dd69098dcee039338696fe9532b662cf9087,2026-08-03T13:47:42.240378+00:00,PRESERVED_OFFICIAL_FEED,LOCAL_ROW_VERIFIED_EXACT
822943,650490,Yandy Díaz,LOCAL_ROW_VERIFIED_EXACT,OFFICIAL_APPEARANCE_RESULT_RECOVERED,STARTED,1,4,4,0,0,0,0,0,backend/mlb/exports/cleanroom_v1/bol_tb15/schedule_cohorts/2026-08-02/outcome_sources/game_822943_d24797c198a698f1a77fb256f4780295d10b333926298d456c6737743cf2f9ca.json,d24797c198a698f1a77fb256f4780295d10b333926298d456c6737743cf2f9ca,2026-08-03T13:47:42.364038+00:00,PRESERVED_OFFICIAL_FEED,LOCAL_ROW_VERIFIED_EXACT
822943,666018,Jonathan Aranda,LOCAL_ROW_VERIFIED_EXACT,OFFICIAL_APPEARANCE_RESULT_RECOVERED,STARTED,2,5,5,1,0,0,0,1,backend/mlb/exports/cleanroom_v1/bol_tb15/schedule_cohorts/2026-08-02/outcome_sources/game_822943_d24797c198a698f1a77fb256f4780295d10b333926298d456c6737743cf2f9ca.json,d24797c198a698f1a77fb256f4780295d10b333926298d456c6737743cf2f9ca,2026-08-03T13:47:42.364038+00:00,PRESERVED_OFFICIAL_FEED,LOCAL_ROW_VERIFIED_EXACT
822943,676356,Jonny DeLuca,LOCAL_ROW_VERIFIED_EXACT,OFFICIAL_APPEARANCE_RESULT_RECOVERED,STARTED,6,4,4,1,0,0,0,1,backend/mlb/exports/cleanroom_v1/bol_tb15/schedule_cohorts/2026-08-02/outcome_sources/game_822943_d24797c198a698f1a77fb256f4780295d10b333926298d456c6737743cf2f9ca.json,d24797c198a698f1a77fb256f4780295d10b333926298d456c6737743cf2f9ca,2026-08-03T13:47:42.364038+00:00,PRESERVED_OFFICIAL_FEED,LOCAL_ROW_VERIFIED_EXACT
822943,678246,Miguel Vargas,LOCAL_ROW_VERIFIED_EXACT,OFFICIAL_APPEARANCE_RESULT_RECOVERED,STARTED,3,5,5,1,0,0,1,4,backend/mlb/exports/cleanroom_v1/bol_tb15/schedule_cohorts/2026-08-02/outcome_sources/game_822943_d24797c198a698f1a77fb256f4780295d10b333926298d456c6737743cf2f9ca.json,d24797c198a698f1a77fb256f4780295d10b333926298d456c6737743cf2f9ca,2026-08-03T13:47:42.364038+00:00,PRESERVED_OFFICIAL_FEED,LOCAL_ROW_VERIFIED_EXACT
822943,691406,Junior Caminero,LOCAL_ROW_VERIFIED_EXACT,OFFICIAL_APPEARANCE_RESULT_RECOVERED,STARTED,3,4,4,2,0,0,0,2,backend/mlb/exports/cleanroom_v1/bol_tb15/schedule_cohorts/2026-08-02/outcome_sources/game_822943_d24797c198a698f1a77fb256f4780295d10b333926298d456c6737743cf2f9ca.json,d24797c198a698f1a77fb256f4780295d10b333926298d456c6737743cf2f9ca,2026-08-03T13:47:42.364038+00:00,PRESERVED_OFFICIAL_FEED,LOCAL_ROW_VERIFIED_EXACT
822943,695657,Colson Montgomery,LOCAL_ROW_VERIFIED_EXACT,OFFICIAL_APPEARANCE_RESULT_RECOVERED,STARTED,4,5,5,1,1,0,0,2,backend/mlb/exports/cleanroom_v1/bol_tb15/schedule_cohorts/2026-08-02/outcome_sources/game_822943_d24797c198a698f1a77fb256f4780295d10b333926298d456c6737743cf2f9ca.json,d24797c198a698f1a77fb256f4780295d10b333926298d456c6737743cf2f9ca,2026-08-03T13:47:42.364038+00:00,PRESERVED_OFFICIAL_FEED,LOCAL_ROW_VERIFIED_EXACT
822943,802415,Chandler Simpson,LOCAL_ROW_VERIFIED_EXACT,OFFICIAL_APPEARANCE_RESULT_RECOVERED,STARTED,5,4,3,3,0,0,0,3,backend/mlb/exports/cleanroom_v1/bol_tb15/schedule_cohorts/2026-08-02/outcome_sources/game_822943_d24797c198a698f1a77fb256f4780295d10b333926298d456c6737743cf2f9ca.json,d24797c198a698f1a77fb256f4780295d10b333926298d456c6737743cf2f9ca,2026-08-03T13:47:42.364038+00:00,PRESERVED_OFFICIAL_FEED,LOCAL_ROW_VERIFIED_EXACT
822943,803011,Sam Antonacci,LOCAL_ROW_VERIFIED_EXACT,OFFICIAL_APPEARANCE_RESULT_RECOVERED,STARTED,1,5,5,0,0,0,0,0,backend/mlb/exports/cleanroom_v1/bol_tb15/schedule_cohorts/2026-08-02/outcome_sources/game_822943_d24797c198a698f1a77fb256f4780295d10b333926298d456c6737743cf2f9ca.json,d24797c198a698f1a77fb256f4780295d10b333926298d456c6737743cf2f9ca,2026-08-03T13:47:42.364038+00:00,PRESERVED_OFFICIAL_FEED,LOCAL_ROW_VERIFIED_EXACT
822943,808959,Munetaka Murakami,LOCAL_ROW_VERIFIED_EXACT,OFFICIAL_APPEARANCE_RESULT_RECOVERED,STARTED,2,5,5,1,1,0,0,2,backend/mlb/exports/cleanroom_v1/bol_tb15/schedule_cohorts/2026-08-02/outcome_sources/game_822943_d24797c198a698f1a77fb256f4780295d10b333926298d456c6737743cf2f9ca.json,d24797c198a698f1a77fb256f4780295d10b333926298d456c6737743cf2f9ca,2026-08-03T13:47:42.364038+00:00,PRESERVED_OFFICIAL_FEED,LOCAL_ROW_VERIFIED_EXACT
823592,596019,Francisco Lindor,LOCAL_ROW_VERIFIED_EXACT,OFFICIAL_APPEARANCE_RESULT_RECOVERED,STARTED,2,4,4,1,1,0,0,2,backend/mlb/exports/cleanroom_v1/bol_tb15/schedule_cohorts/2026-08-02/outcome_sources/game_823592_5990811e440d60480a4241bd4d03f211da0f6d0c6d2664a5dc1a80bde1b23d17.json,5990811e440d60480a4241bd4d03f211da0f6d0c6d2664a5dc1a80bde1b23d17,2026-08-03T13:47:42.490633+00:00,PRESERVED_OFFICIAL_FEED,LOCAL_ROW_VERIFIED_EXACT
823592,665052,Griffin Conine,LOCAL_ROW_VERIFIED_EXACT,OFFICIAL_APPEARANCE_RESULT_RECOVERED,STARTED,5,4,4,0,0,0,0,0,backend/mlb/exports/cleanroom_v1/bol_tb15/schedule_cohorts/2026-08-02/outcome_sources/game_823592_5990811e440d60480a4241bd4d03f211da0f6d0c6d2664a5dc1a80bde1b23d17.json,5990811e440d60480a4241bd4d03f211da0f6d0c6d2664a5dc1a80bde1b23d17,2026-08-03T13:47:42.490633+00:00,PRESERVED_OFFICIAL_FEED,LOCAL_ROW_VERIFIED_EXACT
823592,666182,Bo Bichette,LOCAL_ROW_VERIFIED_EXACT,OFFICIAL_APPEARANCE_RESULT_RECOVERED,STARTED,3,4,4,0,0,0,0,0,backend/mlb/exports/cleanroom_v1/bol_tb15/schedule_cohorts/2026-08-02/outcome_sources/game_823592_5990811e440d60480a4241bd4d03f211da0f6d0c6d2664a5dc1a80bde1b23d17.json,5990811e440d60480a4241bd4d03f211da0f6d0c6d2664a5dc1a80bde1b23d17,2026-08-03T13:47:42.490633+00:00,PRESERVED_OFFICIAL_FEED,LOCAL_ROW_VERIFIED_EXACT
