game_pk,player_mlb_id,player,partition,normal_player_stats_row_count,classification,stored_game_date,position,is_starter,plate_appearances,at_bats,hits,doubles,triples,home_runs,stored_total_bases,pa_source,pa_backfilled_at
822783,543807,George Springer,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,LF,0,4,4,1,0,1,0,3,statsapi,2026-08-03 12:42:12.988997+00:00
822783,649966,Luis Urías,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,2B,0,4,3,1,1,0,0,2,statsapi,2026-08-03 12:42:12.988997+00:00
822783,662139,Daulton Varsho,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,CF,0,3,3,0,0,0,0,0,statsapi,2026-08-03 12:42:12.988997+00:00
822783,663457,Lars Nootbaar,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,RF,0,5,5,1,1,0,0,2,statsapi,2026-08-03 12:42:12.988997+00:00
822783,663494,Bryan Torres,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,LF,0,4,4,1,0,0,0,1,statsapi,2026-08-03 12:42:12.988997+00:00
822783,665489,Vladimir Guerrero Jr.,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,DH,0,4,4,0,0,0,0,0,statsapi,2026-08-03 12:42:12.988997+00:00
822783,671056,Iván Herrera,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,C,0,4,4,0,0,0,0,0,statsapi,2026-08-03 12:42:12.988997+00:00
822783,672386,Alejandro Kirk,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,C,0,4,4,1,0,0,0,1,statsapi,2026-08-03 12:42:12.988997+00:00
822783,672960,Kazuma Okamoto,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,1B,0,4,4,1,0,0,0,1,statsapi,2026-08-03 12:42:12.988997+00:00
822783,676391,Ernie Clement,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,3B,0,4,4,0,0,0,0,0,statsapi,2026-08-03 12:42:12.988997+00:00
822783,676475,Alec Burleson,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,1B,0,5,4,1,0,0,0,1,statsapi,2026-08-03 12:42:12.988997+00:00
822783,691023,Jordan Walker,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,DH,0,5,5,2,0,0,0,2,statsapi,2026-08-03 12:42:12.988997+00:00
822783,691026,Masyn Winn,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,SS,0,4,3,0,0,0,0,0,statsapi,2026-08-03 12:42:12.988997+00:00
822943,650490,Yandy Díaz,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,DH,0,4,4,0,0,0,0,0,statsapi,2026-08-03 12:42:12.988997+00:00
822943,666018,Jonathan Aranda,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,1B,0,5,5,1,0,0,0,1,statsapi,2026-08-03 12:42:12.988997+00:00
822943,676356,Jonny DeLuca,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,RF,0,4,4,1,0,0,0,1,statsapi,2026-08-03 12:42:12.988997+00:00
822943,678246,Miguel Vargas,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,1B,0,5,5,1,0,0,1,4,statsapi,2026-08-03 12:42:12.988997+00:00
822943,691406,Junior Caminero,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,3B,0,4,4,2,0,0,0,2,statsapi,2026-08-03 12:42:12.988997+00:00
822943,695657,Colson Montgomery,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,3B,0,5,5,1,1,0,0,2,statsapi,2026-08-03 12:42:12.988997+00:00
822943,802415,Chandler Simpson,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,LF,0,4,3,3,0,0,0,3,statsapi,2026-08-03 12:42:12.988997+00:00
822943,803011,Sam Antonacci,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,LF,0,5,5,0,0,0,0,0,statsapi,2026-08-03 12:42:12.988997+00:00
822943,808959,Munetaka Murakami,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,1B,0,5,5,1,1,0,0,2,statsapi,2026-08-03 12:42:12.988997+00:00
823592,596019,Francisco Lindor,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,SS,0,4,4,1,1,0,0,2,statsapi,2026-08-03 12:42:12.988997+00:00
823592,665052,Griffin Conine,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,LF,0,4,4,0,0,0,0,0,statsapi,2026-08-03 12:42:12.988997+00:00
823592,666182,Bo Bichette,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,3B,0,4,4,0,0,0,0,0,statsapi,2026-08-03 12:42:12.988997+00:00
823592,669065,Kyle Stowers,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,1B,0,4,4,0,0,0,0,0,statsapi,2026-08-03 12:42:12.988997+00:00
823592,669364,Xavier Edwards,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,2B,0,4,4,1,0,0,0,1,statsapi,2026-08-03 12:42:12.988997+00:00
823592,672640,Otto Lopez,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,SS,0,4,4,1,0,0,0,1,statsapi,2026-08-03 12:42:12.988997+00:00
823592,673357,Luis Robert Jr.,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,CF,0,4,4,1,0,0,0,1,statsapi,2026-08-03 12:42:12.988997+00:00
823592,676724,Jared Young,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,1B,0,4,3,1,1,0,0,2,statsapi,2026-08-03 12:42:12.988997+00:00
823592,682626,Francisco Alvarez,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,C,0,4,3,1,1,0,0,2,statsapi,2026-08-03 12:42:12.988997+00:00
823592,683357,Owen Caissie,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,RF,0,3,3,0,0,0,0,0,statsapi,2026-08-03 12:42:12.988997+00:00
823592,689414,Liam Hicks,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,DH,0,4,4,1,0,0,0,1,statsapi,2026-08-03 12:42:12.988997+00:00
823592,701807,Carson Benge,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,RF,0,4,3,0,0,0,0,0,statsapi,2026-08-03 12:42:12.988997+00:00
823592,805300,Jakob Marsee,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,CF,0,0,0,0,0,0,0,0,statsapi,2026-08-03 12:42:12.988997+00:00
823592,805999,A.J. Ewing,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,LF,0,5,5,0,0,0,0,0,statsapi,2026-08-03 12:42:12.988997+00:00
824163,592626,Joc Pederson,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,DH,0,3,3,0,0,0,0,0,statsapi,2026-08-03 12:42:12.988997+00:00
824163,607043,Brandon Nimmo,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,RF,0,4,3,2,0,0,1,5,statsapi,2026-08-03 12:42:12.988997+00:00
824163,608369,Corey Seager,FORMERLY_LINEUP_ADMITTED,1,LOCAL_ROW_VERIFIED_EXACT,2026-08-02,SS,0,4,4,0,0,0,0,0,statsapi,2026-08-03 12:42:12.988997+00:00
