slate_date,game_pk,player_mlb_id,player,original_partition,over_odds,under_odds,market_observation_timestamp,market_source_payload,market_source_sha256
2026-08-02,822783,543807,George Springer,FORMERLY_LINEUP_ADMITTED,134,-175,2026-08-02 15:44:51+00:00,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/THE_ODDS_API/2026-08-02/cleanroom_20260802T154517Z/event_2ee28b25d57aa155a35d9706065b4963.json,bbe4e4ed053b7a4abf764382737d931d9ea966769ce4de18358a99e2394323e6
2026-08-02,822783,649966,Luis Urías,FORMERLY_LINEUP_ADMITTED,141,-185,2026-08-02 15:44:51+00:00,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/THE_ODDS_API/2026-08-02/cleanroom_20260802T154517Z/event_2ee28b25d57aa155a35d9706065b4963.json,bbe4e4ed053b7a4abf764382737d931d9ea966769ce4de18358a99e2394323e6
2026-08-02,822783,662139,Daulton Varsho,FORMERLY_LINEUP_ADMITTED,171,-227,2026-08-02 15:44:51+00:00,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/THE_ODDS_API/2026-08-02/cleanroom_20260802T154517Z/event_2ee28b25d57aa155a35d9706065b4963.json,bbe4e4ed053b7a4abf764382737d931d9ea966769ce4de18358a99e2394323e6
2026-08-02,822783,663457,Lars Nootbaar,FORMERLY_LINEUP_ADMITTED,118,-154,2026-08-02 15:44:51+00:00,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/THE_ODDS_API/2026-08-02/cleanroom_20260802T154517Z/event_2ee28b25d57aa155a35d9706065b4963.json,bbe4e4ed053b7a4abf764382737d931d9ea966769ce4de18358a99e2394323e6
2026-08-02,822783,663494,Bryan Torres,FORMERLY_LINEUP_ADMITTED,171,-227,2026-08-02 15:44:51+00:00,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/THE_ODDS_API/2026-08-02/cleanroom_20260802T154517Z/event_2ee28b25d57aa155a35d9706065b4963.json,bbe4e4ed053b7a4abf764382737d931d9ea966769ce4de18358a99e2394323e6
2026-08-02,822783,665489,Vladimir Guerrero Jr.,FORMERLY_LINEUP_ADMITTED,107,-139,2026-08-02 15:44:51+00:00,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/THE_ODDS_API/2026-08-02/cleanroom_20260802T154517Z/event_2ee28b25d57aa155a35d9706065b4963.json,bbe4e4ed053b7a4abf764382737d931d9ea966769ce4de18358a99e2394323e6
2026-08-02,822783,671056,Iván Herrera,FORMERLY_LINEUP_ADMITTED,149,-196,2026-08-02 15:44:51+00:00,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/THE_ODDS_API/2026-08-02/cleanroom_20260802T154517Z/event_2ee28b25d57aa155a35d9706065b4963.json,bbe4e4ed053b7a4abf764382737d931d9ea966769ce4de18358a99e2394323e6
2026-08-02,822783,672386,Alejandro Kirk,FORMERLY_LINEUP_ADMITTED,136,-179,2026-08-02 15:44:51+00:00,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/THE_ODDS_API/2026-08-02/cleanroom_20260802T154517Z/event_2ee28b25d57aa155a35d9706065b4963.json,bbe4e4ed053b7a4abf764382737d931d9ea966769ce4de18358a99e2394323e6
2026-08-02,822783,672960,Kazuma Okamoto,FORMERLY_LINEUP_ADMITTED,122,-159,2026-08-02 15:44:51+00:00,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/THE_ODDS_API/2026-08-02/cleanroom_20260802T154517Z/event_2ee28b25d57aa155a35d9706065b4963.json,bbe4e4ed053b7a4abf764382737d931d9ea966769ce4de18358a99e2394323e6
2026-08-02,822783,676391,Ernie Clement,FORMERLY_LINEUP_ADMITTED,120,-156,2026-08-02 15:44:51+00:00,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/THE_ODDS_API/2026-08-02/cleanroom_20260802T154517Z/event_2ee28b25d57aa155a35d9706065b4963.json,bbe4e4ed053b7a4abf764382737d931d9ea966769ce4de18358a99e2394323e6
2026-08-02,822783,676475,Alec Burleson,FORMERLY_LINEUP_ADMITTED,100,-130,2026-08-02 15:44:51+00:00,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/THE_ODDS_API/2026-08-02/cleanroom_20260802T154517Z/event_2ee28b25d57aa155a35d9706065b4963.json,bbe4e4ed053b7a4abf764382737d931d9ea966769ce4de18358a99e2394323e6
2026-08-02,822783,691023,Jordan Walker,FORMERLY_LINEUP_ADMITTED,120,-156,2026-08-02 15:44:51+00:00,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/THE_ODDS_API/2026-08-02/cleanroom_20260802T154517Z/event_2ee28b25d57aa155a35d9706065b4963.json,bbe4e4ed053b7a4abf764382737d931d9ea966769ce4de18358a99e2394323e6
2026-08-02,822783,691026,Masyn Winn,FORMERLY_LINEUP_ADMITTED,158,-208,2026-08-02 15:44:51+00:00,/Users/jerrystrain/Projects/proppadia/backend/mlb/exports/cleanroom_v1/raw/THE_ODDS_API/2026-08-02/cleanroom_20260802T154517Z/event_2ee28b25d57aa155a35d9706065b4963.json,bbe4e4ed053b7a4abf764382737d931d9ea966769ce4de18358a99e2394323e6
