slate_date,game_pk,batter_mlb_id,player_name,game,complete_evaluated_population,standard_reconciliation_union,standard_closeout_surface,broad_ever_positive_population,broad_final_pregame_population,consensus_population,complete_outcome_status,standard_outcome_status,ever_positive_outcome_status,final_pregame_outcome_status,resolution_method
2026-07-27,823353,680728,Adrian Del Castillo,ARI @ PIT,YES,NO,YES,NO,NO,NO,LOSS,,,,EXACT_ID_OFFICIAL_PLAYER_GAME
2026-07-27,823353,664040,Brandon Lowe,ARI @ PIT,YES,YES,YES,NO,NO,NO,WIN,,,,EXACT_ID_MARKET_BACKED
2026-07-27,823353,668804,Bryan Reynolds,ARI @ PIT,YES,YES,YES,NO,NO,NO,WIN,,,,EXACT_ID_MARKET_BACKED
2026-07-27,823353,682998,Corbin Carroll,ARI @ PIT,YES,YES,YES,NO,NO,NO,LOSS,,,,EXACT_ID_MARKET_BACKED
2026-07-27,823353,699013,Esmerlyn Valdez,ARI @ PIT,YES,YES,YES,YES,YES,NO,LOSS,,LOSS,LOSS,EXACT_ID_MARKET_BACKED
2026-07-27,823353,672515,Gabriel Moreno,ARI @ PIT,YES,YES,YES,NO,NO,NO,LOSS,,,,EXACT_ID_MARKET_BACKED
2026-07-27,823353,672695,Geraldo Perdomo,ARI @ PIT,YES,YES,YES,NO,NO,NO,LOSS,,,,EXACT_ID_MARKET_BACKED
2026-07-27,823353,545121,Ildemaro Vargas,ARI @ PIT,YES,YES,NO,NO,NO,NO,LOSS,,,,EXACT_ID_MARKET_BACKED
2026-07-27,823353,694378,Jacob Gonzalez,ARI @ PIT,YES,YES,YES,NO,NO,NO,LOSS,,,,EXACT_ID_MARKET_BACKED
2026-07-27,823353,663968,Jake Mangum,ARI @ PIT,YES,YES,YES,NO,NO,NO,LOSS,,,,EXACT_ID_MARKET_BACKED
2026-07-27,823353,606466,Ketel Marte,ARI @ PIT,YES,YES,YES,NO,NO,NO,LOSS,,,,EXACT_ID_MARKET_BACKED
2026-07-27,823353,596146,Max Kepler,ARI @ PIT,YES,YES,YES,NO,NO,NO,WIN,,,,EXACT_ID_MARKET_BACKED
2026-07-27,823353,693304,Nick Gonzales,ARI @ PIT,YES,YES,YES,NO,NO,NO,WIN,,,,EXACT_ID_MARKET_BACKED
2026-07-27,823353,571448,Nolan Arenado,ARI @ PIT,YES,NO,YES,NO,NO,NO,LOSS,,,,EXACT_ID_OFFICIAL_PLAYER_GAME
2026-07-27,823353,656811,Ryan O'Hearn,ARI @ PIT,YES,YES,YES,NO,NO,NO,LOSS,,,,EXACT_ID_MARKET_BACKED
2026-07-27,823353,682997,Tyler Callihan,ARI @ PIT,YES,NO,NO,NO,NO,NO,LOSS,,,,EXACT_ID_OFFICIAL_PLAYER_GAME
2026-07-27,823353,682988,Tyler Locklear,ARI @ PIT,YES,NO,NO,NO,NO,NO,LOSS,,,,EXACT_ID_OFFICIAL_PLAYER_GAME
2026-07-27,823597,805999,A.J. Ewing,ATL @ NYM,YES,YES,NO,NO,NO,NO,WIN,,,,EXACT_ID_MARKET_BACKED
2026-07-27,823597,663586,Austin Riley,ATL @ NYM,YES,YES,YES,NO,NO,NO,LOSS,,,,EXACT_ID_MARKET_BACKED
2026-07-27,823597,666182,Bo Bichette,ATL @ NYM,YES,YES,YES,NO,NO,NO,WIN,,,,EXACT_ID_MARKET_BACKED
2026-07-27,823597,686948,Drake Baldwin,ATL @ NYM,YES,YES,YES,YES,YES,NO,LOSS,,LOSS,LOSS,EXACT_ID_MARKET_BACKED
2026-07-27,823597,682626,Francisco Alvarez,ATL @ NYM,YES,YES,YES,NO,NO,NO,LOSS,,,,EXACT_ID_MARKET_BACKED
2026-07-27,823597,596019,Francisco Lindor,ATL @ NYM,YES,YES,YES,NO,NO,NO,WIN,,,,EXACT_ID_MARKET_BACKED
2026-07-27,823597,673357,Luis Robert Jr.,ATL @ NYM,YES,YES,YES,NO,NO,NO,LOSS,,,,EXACT_ID_MARKET_BACKED
2026-07-27,823597,543760,Marcus Semien,ATL @ NYM,YES,NO,YES,NO,NO,NO,WIN,,,,EXACT_ID_OFFICIAL_PLAYER_GAME
2026-07-27,823597,621566,Matt Olson,ATL @ NYM,YES,YES,YES,YES,YES,NO,LOSS,,LOSS,LOSS,EXACT_ID_MARKET_BACKED
