scope_type,scope,games,mean_raw_forecast,mean_actual_total,mean_run_residual,median_run_residual,mae,rmse
DATE,2025-03-18,1,9.365525817906715,5.0,-4.365525817906715,-4.365525817906715,4.365525817906715,4.365525817906715
DATE,2025-03-19,1,10.000628099467754,9.0,-1.0006280994677539,-1.0006280994677539,1.0006280994677539,1.0006280994677539
DATE,2025-03-27,14,8.738098558389018,9.285714285714286,0.547615727325268,0.8248740456973644,2.2291054386000124,2.9180712601909073
DATE,2025-03-28,9,8.838836159165057,7.444444444444445,-1.3943917147206113,-1.7765657722714838,2.725326107189195,3.2007878707139383
DATE,2025-03-29,15,8.842259801308428,8.333333333333334,-0.5089264679750956,-2.597384843404882,5.19148704727917,7.0079460206197615
DATE,2025-03-30,13,8.91059263253058,7.846153846153846,-1.0644387863767344,-3.333477177332041,3.516638268094085,3.9864620237652377
DATE,2025-03-31,14,8.695910999903239,11.142857142857142,2.446946142953902,0.7516835798947499,3.363294258739728,4.657242841923231
DATE,2025-04-01,13,8.853365288153096,7.461538461538462,-1.3918268266146332,-2.0959248343878105,3.4896333456083206,4.06802069378141
DATE,2025-04-02,15,8.786700716410731,7.533333333333333,-1.2533673830773984,-1.840563921505682,3.296430483394114,3.9760200893369606
DATE,2025-04-03,5,8.936774100345731,8.0,-0.9367741003457312,-2.4772051341042527,5.090963226847338,5.4871040662155615
DATE,2025-04-04,14,8.867938158858317,10.285714285714286,1.4177761268559703,0.29897752322240834,4.006539587979765,5.360115003699729
DATE,2025-04-05,14,8.910133734461521,8.928571428571429,0.018437694109906793,-0.7050585407505423,3.1894941745041914,4.002722957681633
DATE,2025-04-06,15,8.866533440256749,10.933333333333334,2.0667998930765847,0.19290122039073232,4.044569142022816,5.78886960985636
DATE,2025-04-07,11,9.05843020756251,7.0,-2.0584302075625107,-1.2876951669824823,2.718980422276668,3.40308978657581
DATE,2025-04-08,15,8.962996644075975,7.8,-1.1629966440759736,-1.959106900007793,4.206589926380546,4.8107696298144145
DATE,2025-04-09,15,9.036715222819703,8.0,-1.0367152228197016,-1.3516248390256216,3.79844102039744,4.634984218169504
DATE,2025-04-10,6,9.20174747575232,7.666666666666667,-1.5350808090856527,-1.7885435400960903,2.4098190873732563,2.6344048238474573
DATE,2025-04-11,14,8.824733645487145,9.142857142857142,0.31812349736999845,-0.19759651952545543,2.844111805844676,3.7196209648208542
DATE,2025-04-12,15,8.823830173493377,8.0,-0.8238301734933783,-0.5999713770102026,3.405120133535336,4.065190893042457
DATE,2025-04-13,15,8.860820450165676,7.733333333333333,-1.1274871168323435,-2.4656454810360398,2.8904059108924343,3.2318343247354924
DATE,2025-04-14,10,8.660846450766964,11.0,2.3391535492330346,2.929307732676767,3.774592477855564,4.281867526096516
DATE,2025-04-15,15,8.720500539533086,8.0,-0.7205005395330868,-0.19800964286054246,3.195249324989021,4.008662088411558
DATE,2025-04-16,15,8.780038126549277,7.133333333333334,-1.6467047932159435,-1.921878712314518,3.520772321463545,4.1648795503789495
DATE,2025-04-17,10,8.808688019072694,8.4,-0.4086880190726925,-0.29388146804020376,2.528064243654854,4.015304009266939
