period,segment,population_games,games_with_inning_feed,runs_per_game,change_vs_2025_historical_reference
HISTORICAL_2025_FROZEN_VALIDATION,INNINGS_1_5,2433,2433,4.999588984792437,0.0
HISTORICAL_2025_FROZEN_VALIDATION,INNINGS_6_9,2433,2433,3.6642005754212907,0.0
HISTORICAL_2025_FROZEN_VALIDATION,EXTRA_INNINGS,2433,2433,0.22441430332922319,0.0
2026_SEASON_PRIOR_TO_AUG06,INNINGS_1_5,1720,1720,4.999418604651162,-0.00017038014127468415
2026_SEASON_PRIOR_TO_AUG06,INNINGS_6_9,1720,1720,3.734302325581395,0.07010175016010445
2026_SEASON_PRIOR_TO_AUG06,EXTRA_INNINGS,1720,1720,0.24011627906976743,0.015701975740544244
AUG06_15_ALL_OFFICIAL_GAMES,INNINGS_1_5,134,134,4.858208955223881,-0.14138002956855633
AUG06_15_ALL_OFFICIAL_GAMES,INNINGS_6_9,134,134,3.4925373134328357,-0.17166326198845505
AUG06_15_ALL_OFFICIAL_GAMES,EXTRA_INNINGS,134,134,0.31343283582089554,0.08901853249167235
AUG06_15_PROSPECTIVE_PREDICTED_GAMES,INNINGS_1_5,126,126,4.801587301587301,-0.19800168320513567
AUG06_15_PROSPECTIVE_PREDICTED_GAMES,INNINGS_6_9,126,126,3.484126984126984,-0.18007359129430656
AUG06_15_PROSPECTIVE_PREDICTED_GAMES,EXTRA_INNINGS,126,126,0.3253968253968254,0.10098252206760222
