period,dimension,level,games,mean_raw_forecast,mean_actual_total,mean_run_residual,median_run_residual,mae,rmse,raw_crps,intercept_crps,intercept_minus_raw_crps
FROZEN_2025_VALIDATION,RAW_FORECAST_MAGNITUDE,7.5-7.99,186,7.866759037264501,8.575268817204302,0.7085097799398008,0.027802953383093687,3.4497633577266322,4.535248326419312,,,
FROZEN_2025_VALIDATION,RAW_FORECAST_MAGNITUDE,8.0-8.49,858,8.270340466232598,8.750582750582751,0.4802422843501525,-0.24805783110160284,3.519977238542111,4.480753913593291,,,
FROZEN_2025_VALIDATION,RAW_FORECAST_MAGNITUDE,8.5-8.99,853,8.73748446574074,8.807737397420867,0.0702529316801282,-0.589351092044593,3.5987887674967842,4.609448916659037,,,
FROZEN_2025_VALIDATION,RAW_FORECAST_MAGNITUDE,9.0-9.49,340,9.18320747183876,8.773529411764706,-0.4096780600740533,-1.218204350405924,3.814467894083647,4.7373847153334605,,,
FROZEN_2025_VALIDATION,RAW_FORECAST_MAGNITUDE,9.5-9.99,88,9.73048217567934,10.409090909090908,0.6786087334115687,0.22435664817501966,4.081078871816927,5.451298721153615,,,
FROZEN_2025_VALIDATION,RAW_FORECAST_MAGNITUDE,<7.5,1,7.4730785603173135,9.0,1.5269214396826865,1.5269214396826865,1.5269214396826865,1.5269214396826865,,,
FROZEN_2025_VALIDATION,RAW_FORECAST_MAGNITUDE,>=10.0,107,10.313084813695475,10.289719626168225,-0.023365187527249802,-0.25875630257310966,3.391210521160095,4.182979551807389,,,
2026_SEQUENTIAL_EARLY,RAW_FORECAST_MAGNITUDE,7.5-7.99,295,7.8398045387334605,8.769491525423728,0.9296869866902683,0.2869347043754029,3.520810428603887,4.459562562961061,,,
2026_SEQUENTIAL_EARLY,RAW_FORECAST_MAGNITUDE,8.0-8.49,523,8.23163642777618,8.665391969407265,0.43375554163108604,-0.3002480599588999,3.3957620878659682,4.345474822580868,,,
2026_SEQUENTIAL_EARLY,RAW_FORECAST_MAGNITUDE,8.5-8.99,307,8.707503326130977,8.947882736156352,0.24037941002537402,0.2303850981085116,3.4230305980745817,4.246096840192321,,,
2026_SEQUENTIAL_EARLY,RAW_FORECAST_MAGNITUDE,9.0-9.49,60,9.167150403294812,9.466666666666667,0.29951626337185566,-0.6302227876365212,4.337305266284999,5.3115295344934,,,
2026_SEQUENTIAL_EARLY,RAW_FORECAST_MAGNITUDE,9.5-9.99,37,9.812892055438706,12.297297297297296,2.4844052418585925,1.0991416353427965,4.914906598780278,7.034602418859292,,,
2026_SEQUENTIAL_EARLY,RAW_FORECAST_MAGNITUDE,<7.5,12,7.383069782509213,7.5,0.1169302174907878,-0.4150443254390632,3.4090685076959333,4.012590389796942,,,
2026_SEQUENTIAL_EARLY,RAW_FORECAST_MAGNITUDE,>=10.0,47,10.287519870985681,11.425531914893616,1.1380120439079366,0.7016099483474108,3.443405582403717,4.506304499035709,,,
2026_LATE_HOLDOUT,RAW_FORECAST_MAGNITUDE,7.5-7.99,144,7.788793064095807,8.722222222222221,0.9334291581264154,0.20053289200438673,3.2318166171127456,4.127338403857226,,,
2026_LATE_HOLDOUT,RAW_FORECAST_MAGNITUDE,8.0-8.49,169,8.233683722809955,8.49112426035503,0.25744053754507573,-1.0689001788226715,3.709531552581894,4.698175296522981,,,
2026_LATE_HOLDOUT,RAW_FORECAST_MAGNITUDE,8.5-8.99,76,8.678445380811862,8.578947368421053,-0.09949801239080894,-1.5790371655705249,4.07711575868888,4.86882073453602,,,
2026_LATE_HOLDOUT,RAW_FORECAST_MAGNITUDE,9.0-9.49,8,9.220629419346007,11.875,2.654370580653992,-0.06470813512522344,4.37178575278597,6.30170459195747,,,
2026_LATE_HOLDOUT,RAW_FORECAST_MAGNITUDE,9.5-9.99,16,9.767936120630582,12.8125,3.044563879369419,3.4314441603082235,5.204516762713246,6.561713781520393,,,
2026_LATE_HOLDOUT,RAW_FORECAST_MAGNITUDE,<7.5,14,7.42021180476048,9.642857142857142,2.222645338096662,1.5797330008991763,3.1533411347896783,4.622452745873976,,,
2026_LATE_HOLDOUT,RAW_FORECAST_MAGNITUDE,>=10.0,12,10.185115303506436,11.75,1.5648846964935628,-0.5447545091450676,4.184180245521367,5.230462571479805,,,
PROSPECTIVE_AUG06_15,RAW_FORECAST_MAGNITUDE,7.5-7.99,60,7.759861712923583,8.2,0.4401382870764164,0.2844503039767168,2.9627540540626587,3.6318564194084124,2.0810036955722517,2.057468647133596,-0.023535048438656093
PROSPECTIVE_AUG06_15,RAW_FORECAST_MAGNITUDE,8.0-8.49,41,8.215875668612311,8.585365853658537,0.36949018504622494,-0.26503779560152196,3.9158509464890314,4.881672448948116,2.758652130806811,2.747682401064599,-0.010969729742211977
PROSPECTIVE_AUG06_15,RAW_FORECAST_MAGNITUDE,8.5-8.99,11,8.750960132341326,8.727272727272727,-0.023687405068599465,0.04489049536121037,2.437896215616912,3.1425697430009105,1.8186682231148423,1.831312600802491,0.012644377687648771
