period,games,mean,median,sd_population,p10,p25,p50,p75,p90,frequency_gt_plus_1,frequency_gt_plus_2,frequency_gt_plus_4,frequency_lt_minus_1,frequency_lt_minus_2,frequency_lt_minus_4,absolute_residual_95th_percentile_cutoff,trimmed_games,trimmed_mean_excluding_top_5pct_absolute_residual
PROSPECTIVE_AUG06_15,126,0.558992375399351,0.20593154021862947,4.0537700127414515,-4.711655673587604,-2.5600172242515247,0.20593154021862947,3.338117542456577,6.1480407217588775,58,40,27,47,37,16,7.194689852336908,119,0.17185068708202933
FROZEN_2025_VALIDATION,2433,0.21504740002206743,-0.37173782437372793,4.586623266990079,-5.142109896848872,-3.1564468052359604,-0.37173782437372793,2.90314946643538,6.2404339702165625,927,749,452,1109,854,411,8.605896176084261,2311,-0.3821586226725367
2026_SEQUENTIAL_EARLY,1281,0.5774332448470871,0.0038004759765541962,4.463572893049602,-4.905155651605917,-2.7986882859295354,0.0038004759765541962,3.1974741645060867,6.6212557634628855,529,424,287,521,393,191,8.402876153262504,1217,0.027878385268100738
2026_LATE_HOLDOUT,439,0.6610547573577193,-0.3054890191271511,4.634016349138599,-4.702915885350345,-2.9341266266969503,-0.3054890191271511,3.8756560692020328,6.867271947403216,178,155,108,186,133,61,8.237412418132982,417,0.08061290827015001
