dimension,level,games,mean_raw_forecast,mean_actual_total,mean_run_residual,median_run_residual,mae,rmse,raw_crps,intercept_crps,intercept_minus_raw_crps
TEAM_OFFENSE_COMPOSITE_Z_BAND,CENTRAL_Z_-0.5_TO_0.5,97,8.058779608600359,8.762886597938145,0.7041069893377868,0.22116894772022277,3.239517566754865,4.073427457972632,2.294958274982631,2.2591234880854323,-0.035834786897198684
TEAM_OFFENSE_COMPOSITE_Z_BAND,HIGH_Z_>=0.5,8,8.126099955696084,6.125,-2.0010999556960845,-2.6260052007527244,3.6368152208021787,4.009111748666219,2.2424205546893567,2.3922264894763705,0.14980593478701384
TEAM_OFFENSE_COMPOSITE_Z_BAND,LOW_Z_<-0.5,21,7.993168524756116,8.857142857142858,0.8639743323867426,1.057241668431523,3.245420987718078,4.207982719442846,2.428489303917783,2.3681055873124506,-0.0603837166053319
TEAM_PREVENTION_COMPOSITE_Z_BAND,CENTRAL_Z_-0.5_TO_0.5,90,8.140121761072413,8.855555555555556,0.715433794483143,0.3641551774528433,3.3125493579822685,4.163757838475874,2.3604434028895573,2.3196357332246924,-0.04080766966486463
TEAM_PREVENTION_COMPOSITE_Z_BAND,HIGH_Z_>=0.5,8,7.922874953945471,8.625,0.7021250460545286,0.45100253055932304,2.2032661348172873,2.79104135968153,1.6573872214044694,1.6206242817917713,-0.03676293961269808
TEAM_PREVENTION_COMPOSITE_Z_BAND,LOW_Z_<-0.5,28,7.806178663271459,7.821428571428571,0.015249908157112373,-0.6056091596397946,3.4187855423848736,4.171748359255612,2.3517710164931276,2.3668141910393876,0.015043174546259665
