dimension,level,games,mean_raw_forecast,mean_actual_total,mean_run_residual,median_run_residual,mae,rmse,raw_crps,intercept_crps,intercept_minus_raw_crps
PREGAME_STARTER_RA9_Z_BAND,CENTRAL_Z_-0.5_TO_0.5,100,8.101734431827483,9.17,1.068265568172518,1.1328124567086455,3.461398448251249,4.30061030667035,2.459927929355275,2.3962924099871303,-0.06363551936814386
PREGAME_STARTER_RA9_Z_BAND,HIGH_Z_>=0.5,5,8.07681667800522,7.2,-0.8768166780052221,-1.0222803059335668,1.440975335170489,1.7063860800502848,1.1477778391157667,1.2371667417006214,0.08938890258485462
PREGAME_STARTER_RA9_Z_BAND,LOW_Z_<-0.5,21,7.809973053662261,6.285714285714286,-1.5242587679479742,-0.7623385409707568,2.7684211896543625,3.421586443043775,1.8960433505712937,2.0089491850687207,0.1129058344974277
PREGAME_EXPECTED_STARTER_OUTS_Z_BAND,CENTRAL_Z_-0.5_TO_0.5,77,8.074612534208292,8.805194805194805,0.7305822709865132,0.5542734008854353,3.3592655414524333,4.114999403546026,2.3699469272220135,2.3281629714727656,-0.04178395574924753
PREGAME_EXPECTED_STARTER_OUTS_Z_BAND,HIGH_Z_>=0.5,27,8.080608942570986,7.555555555555555,-0.52505338701543,-0.5572198097905448,3.033057697811575,3.6706396765956675,2.11264780113926,2.1467290236730765,0.034081222533816145
PREGAME_EXPECTED_STARTER_OUTS_Z_BAND,LOW_Z_<-0.5,22,7.9384251871012115,9.227272727272727,1.2888475401715143,-0.4497862192956261,3.223889179589503,4.483763479132114,2.3645994757385655,2.3078534159583337,-0.05674605978023213
REALIZED_MINUS_EXPECTED_STARTER_OUTS_BAND,MUCH_EARLIER_<=-6_OUTS,24,7.973179073657896,11.791666666666666,3.8184875930087716,3.9163569889647882,4.322373727276033,5.554540328823281,3.2904557305498465,3.0479928483557512,-0.24246288219409562
REALIZED_MINUS_EXPECTED_STARTER_OUTS_BAND,EARLIER_-6_TO_-3,19,8.235077169393513,9.263157894736842,1.0280807253433295,1.1698199719232942,3.1196872175818116,3.9017499850127946,2.2655250645424956,2.197230345496795,-0.06829471904570043
REALIZED_MINUS_EXPECTED_STARTER_OUTS_BAND,NEAR_EXPECTED_-3_TO_3,54,8.038878117445712,7.833333333333333,-0.20554478411237903,-0.09614036279916682,2.692755755946496,3.3083945081969204,1.8865523222533607,1.9090872548081623,0.022534932554801428
REALIZED_MINUS_EXPECTED_STARTER_OUTS_BAND,LATER_3_TO_6,11,7.862832312780276,6.454545454545454,-1.4082868582348218,-2.6112405417118714,3.6521170753074728,4.054801816621325,2.3218124375750224,2.4306152771344696,0.10880283955944738
REALIZED_MINUS_EXPECTED_STARTER_OUTS_BAND,MUCH_LATER_>=6_OUTS,18,8.11964571837578,7.333333333333333,-0.7863123850424465,-1.3019326615021312,3.493802291419263,4.138607857714496,2.3399398065885024,2.4042401589201288,0.06430035233162634
PREGAME_BULLPEN_RA9_Z_BAND,CENTRAL_Z_-0.5_TO_0.5,96,8.098116942919193,8.864583333333334,0.7664663904141396,0.20593154021862947,3.491531838187345,4.345307039810118,2.469427188393349,2.428480523358799,-0.04094666503454931
PREGAME_BULLPEN_RA9_Z_BAND,HIGH_Z_>=0.5,13,8.035017304417323,8.384615384615385,0.34959808019806127,0.3477316602332108,2.4765091838277664,3.2787354787754937,1.9017591116731198,1.8756914476350584,-0.026067664038061242
PREGAME_BULLPEN_RA9_Z_BAND,LOW_Z_<-0.5,17,7.8054417189419985,7.352941176470588,-0.45250054247140953,-0.2910162409905084,2.5941112134101685,3.044204343337499,1.7506302326818508,1.7932287371740505,0.0425985044921999
PREGAME_BULLPEN_BURDEN_Z_BAND,CENTRAL_Z_-0.5_TO_0.5,4,8.354414685188884,6.5,-1.8544146851888839,-1.2839155781990756,1.876859932869489,2.7080150725265644,1.5204258978473755,1.676377574103332,0.1559516762559567
PREGAME_BULLPEN_BURDEN_Z_BAND,HIGH_Z_>=0.5,1,8.720938053856687,10.0,1.2790619461433135,1.2790619461433135,1.2790619461433135,1.2790619461433135,1.2761602736223046,1.1788497609844781,-0.09731051263782642
PREGAME_BULLPEN_BURDEN_Z_BAND,LOW_Z_<-0.5,121,8.036598048802228,8.669421487603305,0.6328234388010782,0.3477316602332108,3.328058386827253,4.145062397512893,2.3486837076701788,2.3150301449277815,-0.03365356274239777
GOVERNED_STARTER_FALLBACK_STATE,DIRECT_STARTER_HISTORY,119,8.05528677480748,8.647058823529411,0.5917720487219341,0.3477316602332108,3.2780525628565425,4.081218411977283,2.3183565624993494,2.2859730338010027,-0.03238352869834685
GOVERNED_STARTER_FALLBACK_STATE,DIRECT_STARTER_HISTORY+PITCHER_ROLE_COHORT,5,7.893764070876921,7.0,-0.8937640708769214,-1.0222803059335668,1.3616920596462392,1.5121200278250906,1.0722885673465619,1.1690627163000673,0.09677414895350525
GOVERNED_STARTER_FALLBACK_STATE,DIRECT_STARTER_HISTORY+TEAM_STARTER_HISTORY,2,8.259507071603657,10.5,2.2404929283963417,2.2404929283963417,7.292425602779619,7.628845242516701,5.151359359474057,5.063451494919867,-0.08790786455419042
