requested_slate_date,source_derived_slate_date,game_pk,player_mlb_id,team_mlb_id,batting_order_position,lineup_status,source_observation_timestamp,ingestion_run_id,source_payload_sha256
2026-07-30,2026-07-29,822702,695578,120,1,CONFIRMED,2026-08-01 00:12:46.09858+00,14951a25-57cb-49f1-88c1-15424cac4f94,8209359680c5bab72364073795b3bf2b284d46158c75f268082814745fee9cf2
2026-07-30,2026-07-29,822702,671277,120,2,CONFIRMED,2026-08-01 00:12:46.09858+00,14951a25-57cb-49f1-88c1-15424cac4f94,8209359680c5bab72364073795b3bf2b284d46158c75f268082814745fee9cf2
2026-07-30,2026-07-29,822702,677588,120,3,CONFIRMED,2026-08-01 00:12:46.09858+00,14951a25-57cb-49f1-88c1-15424cac4f94,8209359680c5bab72364073795b3bf2b284d46158c75f268082814745fee9cf2
2026-07-30,2026-07-29,822702,682928,120,4,CONFIRMED,2026-08-01 00:12:46.09858+00,14951a25-57cb-49f1-88c1-15424cac4f94,8209359680c5bab72364073795b3bf2b284d46158c75f268082814745fee9cf2
2026-07-30,2026-07-29,822702,695670,120,5,CONFIRMED,2026-08-01 00:12:46.09858+00,14951a25-57cb-49f1-88c1-15424cac4f94,8209359680c5bab72364073795b3bf2b284d46158c75f268082814745fee9cf2
2026-07-30,2026-07-29,822702,695734,120,6,CONFIRMED,2026-08-01 00:12:46.09858+00,14951a25-57cb-49f1-88c1-15424cac4f94,8209359680c5bab72364073795b3bf2b284d46158c75f268082814745fee9cf2
2026-07-30,2026-07-29,822702,696285,120,7,CONFIRMED,2026-08-01 00:12:46.09858+00,14951a25-57cb-49f1-88c1-15424cac4f94,8209359680c5bab72364073795b3bf2b284d46158c75f268082814745fee9cf2
2026-07-30,2026-07-29,822702,678391,120,8,CONFIRMED,2026-08-01 00:12:46.09858+00,14951a25-57cb-49f1-88c1-15424cac4f94,8209359680c5bab72364073795b3bf2b284d46158c75f268082814745fee9cf2
2026-07-30,2026-07-29,822702,683083,120,9,CONFIRMED,2026-08-01 00:12:46.09858+00,14951a25-57cb-49f1-88c1-15424cac4f94,8209359680c5bab72364073795b3bf2b284d46158c75f268082814745fee9cf2
2026-07-30,2026-07-29,822702,664702,141,1,CONFIRMED,2026-08-01 00:12:46.09858+00,14951a25-57cb-49f1-88c1-15424cac4f94,8209359680c5bab72364073795b3bf2b284d46158c75f268082814745fee9cf2
2026-07-30,2026-07-29,822702,664770,141,2,CONFIRMED,2026-08-01 00:12:46.09858+00,14951a25-57cb-49f1-88c1-15424cac4f94,8209359680c5bab72364073795b3bf2b284d46158c75f268082814745fee9cf2
2026-07-30,2026-07-29,822702,672960,141,3,CONFIRMED,2026-08-01 00:12:46.09858+00,14951a25-57cb-49f1-88c1-15424cac4f94,8209359680c5bab72364073795b3bf2b284d46158c75f268082814745fee9cf2
2026-07-30,2026-07-29,822702,543807,141,4,CONFIRMED,2026-08-01 00:12:46.09858+00,14951a25-57cb-49f1-88c1-15424cac4f94,8209359680c5bab72364073795b3bf2b284d46158c75f268082814745fee9cf2
2026-07-30,2026-07-29,822702,672386,141,5,CONFIRMED,2026-08-01 00:12:46.09858+00,14951a25-57cb-49f1-88c1-15424cac4f94,8209359680c5bab72364073795b3bf2b284d46158c75f268082814745fee9cf2
2026-07-30,2026-07-29,822702,662139,141,6,CONFIRMED,2026-08-01 00:12:46.09858+00,14951a25-57cb-49f1-88c1-15424cac4f94,8209359680c5bab72364073795b3bf2b284d46158c75f268082814745fee9cf2
2026-07-30,2026-07-29,822702,676391,141,7,CONFIRMED,2026-08-01 00:12:46.09858+00,14951a25-57cb-49f1-88c1-15424cac4f94,8209359680c5bab72364073795b3bf2b284d46158c75f268082814745fee9cf2
2026-07-30,2026-07-29,822702,665926,141,8,CONFIRMED,2026-08-01 00:12:46.09858+00,14951a25-57cb-49f1-88c1-15424cac4f94,8209359680c5bab72364073795b3bf2b284d46158c75f268082814745fee9cf2
2026-07-30,2026-07-29,822702,649966,141,9,CONFIRMED,2026-08-01 00:12:46.09858+00,14951a25-57cb-49f1-88c1-15424cac4f94,8209359680c5bab72364073795b3bf2b284d46158c75f268082814745fee9cf2
2026-07-30,2026-07-29,822947,650490,139,1,CONFIRMED,2026-08-01 00:12:47.107691+00,14951a25-57cb-49f1-88c1-15424cac4f94,d501fa9cadb9ac06bc25bd49feb6efd79effaff9a3b8446c8e7ddfe4edb5c9bf
2026-07-30,2026-07-29,822947,666018,139,2,CONFIRMED,2026-08-01 00:12:47.107691+00,14951a25-57cb-49f1-88c1-15424cac4f94,d501fa9cadb9ac06bc25bd49feb6efd79effaff9a3b8446c8e7ddfe4edb5c9bf
