full_name,player_id,game_id,team_id,line,p_over,game_date
C. Pickard,8475717,2025020570,22,19.5,0.0001004719954393,2025-12-21
T. Jarry,8477465,2025020570,22,19.5,7.856772748193741e-05,2025-12-21
A. Hill,8478499,2025020570,54,19.5,0.0001344391558507,2025-12-21
Carter Hart,8479394,2025020570,54,19.5,1e-06,2025-12-21
A. Schmid,8481033,2025020570,54,19.5,0.0002149643183263,2025-12-21
C. Talbot,8475660,2025020562,17,20.5,0.0001058225046489,2025-12-21
J. Gibson,8476434,2025020562,17,20.5,5.9119883479286095e-05,2025-12-21
C. Lindgren,8479292,2025020562,15,20.5,6.359326255001019e-05,2025-12-21
L. Thompson,8480313,2025020562,15,20.5,2.907053399470172e-05,2025-12-21
S. Wedgewood,8475809,2025020563,21,20.5,3.006845677167025e-05,2025-12-21
M. Blackwood,8478406,2025020563,21,20.5,5.0954538971748065e-05,2025-12-21
F. Gustavsson,8479406,2025020563,30,20.5,6.416838319833751e-05,2025-12-21
J. Wallstedt,8482661,2025020563,30,20.5,1e-06,2025-12-21
J. Korpisalo,8476914,2025020564,6,20.5,7.469418805339245e-05,2025-12-21
L. Ullmark,8476999,2025020564,9,20.5,0.0001493921379852,2025-12-21
J. Swayman,8480280,2025020564,6,20.5,9.611786616681162e-05,2025-12-21
L. Meriläinen,8482447,2025020564,9,20.5,1.1573953725418915e-06,2025-12-21
J. Markstrom,8474593,2025020565,1,20.5,4.499569010840698e-05,2025-12-21
J. Allen,8474596,2025020565,1,20.5,6.699145448274546e-05,2025-12-21
A. Lyon,8479312,2025020565,7,20.5,9.6881126234738e-05,2025-12-21
U. Luukkonen,8480045,2025020565,7,20.5,7.537660566037108e-05,2025-12-21
S. Montembeault,8478470,2025020566,8,20.5,0.0001339634853756,2025-12-21
S. Skinner,8479973,2025020566,5,20.5,3.7691353616753354e-05,2025-12-21
A. Silovs,8481668,2025020566,5,20.5,7.678108234654424e-06,2025-12-21
J. Dobes,8482487,2025020566,8,20.5,0.0001487549762549,2025-12-21
J. Quick,8471734,2025020567,3,20.5,9.41516594833436e-05,2025-12-21
J. Saros,8477424,2025020567,18,20.5,5.764467487656688e-05,2025-12-21
I. Shesterkin,8478048,2025020567,3,20.5,0.0001160903327912,2025-12-21
J. Annunen,8481020,2025020567,18,20.5,4.216571167858785e-05,2025-12-21
A. Stolarz,8476932,2025020568,10,20.5,9.419090384932272e-05,2025-12-21
C. DeSmith,8479193,2025020568,25,20.5,0.0002508578165539,2025-12-21
Joseph Woll,8479361,2025020568,10,20.5,0.0001808125499871,2025-12-21
J. Oettinger,8479979,2025020568,25,20.5,0.0002356067217249,2025-12-21
D. Hildeby,8483710,2025020568,10,20.5,1e-06,2025-12-21
C. Hellebuyck,8476945,2025020569,52,20.5,2.9396770075407197e-05,2025-12-21
E. Comrie,8477480,2025020569,52,20.5,2.347476360464729e-05,2025-12-21
V. Vanecek,8477970,2025020569,68,20.5,4.102264112337828e-05,2025-12-21
K. Vejmelka,8478872,2025020569,68,20.5,1e-06,2025-12-21
C. Pickard,8475717,2025020570,22,20.5,3.481671851557344e-05,2025-12-21
T. Jarry,8477465,2025020570,22,20.5,2.6736606363986223e-05,2025-12-21
A. Hill,8478499,2025020570,54,20.5,4.760907259981906e-05,2025-12-21
Carter Hart,8479394,2025020570,54,20.5,1e-06,2025-12-21
A. Schmid,8481033,2025020570,54,20.5,7.887286639718383e-05,2025-12-21
C. Talbot,8475660,2025020562,17,21.5,3.7943678057428265e-05,2025-12-21
J. Gibson,8476434,2025020562,17,21.5,2.0338218865822988e-05,2025-12-21
C. Lindgren,8479292,2025020562,15,21.5,2.1989930955812476e-05,2025-12-21
L. Thompson,8480313,2025020562,15,21.5,9.518495042826204e-06,2025-12-21
S. Wedgewood,8475809,2025020563,21,21.5,9.86816259573864e-06,2025-12-21
M. Blackwood,8478406,2025020563,21,21.5,1.73471312129303e-05,2025-12-21
F. Gustavsson,8479406,2025020563,30,21.5,2.2202910298196876e-05,2025-12-21
J. Wallstedt,8482661,2025020563,30,21.5,1e-06,2025-12-21
J. Korpisalo,8476914,2025020564,6,21.5,2.6124347620393173e-05,2025-12-21
L. Ullmark,8476999,2025020564,9,21.5,5.491805093649216e-05,2025-12-21
J. Swayman,8480280,2025020564,6,21.5,3.4227053863356005e-05,2025-12-21
L. Meriläinen,8482447,2025020564,9,21.5,1e-06,2025-12-21
J. Markstrom,8474593,2025020565,1,21.5,1.5185819099317044e-05,2025-12-21
J. Allen,8474596,2025020565,1,21.5,2.3250349084569244e-05,2025-12-21
A. Lyon,8479312,2025020565,7,21.5,3.45183915553271e-05,2025-12-21
U. Luukkonen,8480045,2025020565,7,21.5,2.638004875077371e-05,2025-12-21
S. Montembeault,8478470,2025020566,8,21.5,4.885809091825788e-05,2025-12-21
S. Skinner,8479973,2025020566,5,21.5,1.2564768540723747e-05,2025-12-21
A. Silovs,8481668,2025020566,5,21.5,2.2977448079775087e-06,2025-12-21
J. Dobes,8482487,2025020566,8,21.5,5.466682309152038e-05,2025-12-21
J. Quick,8471734,2025020567,3,21.5,3.347734013325887e-05,2025-12-21
J. Saros,8477424,2025020567,18,21.5,1.9795480760698148e-05,2025-12-21
I. Shesterkin,8478048,2025020567,3,21.5,4.190362538547543e-05,2025-12-21
J. Annunen,8481020,2025020567,18,21.5,1.4166404762261386e-05,2025-12-21
A. Stolarz,8476932,2025020568,10,21.5,3.3492292756398534e-05,2025-12-21
C. DeSmith,8479193,2025020568,25,21.5,9.57980350094756e-05,2025-12-21
Joseph Woll,8479361,2025020568,10,21.5,6.74014515158472e-05,2025-12-21
J. Oettinger,8479979,2025020568,25,21.5,8.9556457096851e-05,2025-12-21
D. Hildeby,8483710,2025020568,10,21.5,1e-06,2025-12-21
C. Hellebuyck,8476945,2025020569,52,21.5,9.632714525031894e-06,2025-12-21
E. Comrie,8477480,2025020569,52,21.5,7.574309731639417e-06,2025-12-21
V. Vanecek,8477970,2025020569,68,21.5,1.375602006203902e-05,2025-12-21
K. Vejmelka,8478872,2025020569,68,21.5,1e-06,2025-12-21
C. Pickard,8475717,2025020570,22,21.5,1.154282413950991e-05,2025-12-21
T. Jarry,8477465,2025020570,22,21.5,8.704059514696993e-06,2025-12-21
A. Hill,8478499,2025020570,54,21.5,1.6131321632806284e-05,2025-12-21
Carter Hart,8479394,2025020570,54,21.5,1e-06,2025-12-21
A. Schmid,8481033,2025020570,54,21.5,2.769272612157536e-05,2025-12-21
C. Talbot,8475660,2025020562,17,22.5,1.3042315338052111e-05,2025-12-21
J. Gibson,8476434,2025020562,17,22.5,6.706318551930046e-06,2025-12-21
C. Lindgren,8479292,2025020562,15,22.5,7.288462818944019e-06,2025-12-21
L. Thompson,8480313,2025020562,15,22.5,2.9868144540978747e-06,2025-12-21
S. Wedgewood,8475809,2025020563,21,22.5,3.1037672352240975e-06,2025-12-21
M. Blackwood,8478406,2025020563,21,22.5,5.660432030096807e-06,2025-12-21
F. Gustavsson,8479406,2025020563,30,22.5,7.363748543154358e-06,2025-12-21
J. Wallstedt,8482661,2025020563,30,22.5,1e-06,2025-12-21
J. Korpisalo,8476914,2025020564,6,22.5,8.758305646727749e-06,2025-12-21
L. Ullmark,8476999,2025020564,9,22.5,1.9355145133626017e-05,2025-12-21
J. Swayman,8480280,2025020564,6,22.5,1.1683637820669723e-05,2025-12-21
L. Meriläinen,8482447,2025020564,9,22.5,1e-06,2025-12-21
J. Markstrom,8474593,2025020565,1,22.5,4.912138274582034e-06,2025-12-21
J. Allen,8474596,2025020565,1,22.5,7.734713109663893e-06,2025-12-21
A. Lyon,8479312,2025020565,7,22.5,1.1789787194071977e-05,2025-12-21
U. Luukkonen,8480045,2025020565,7,22.5,8.849761541251944e-06,2025-12-21
S. Montembeault,8478470,2025020566,8,22.5,1.7083133469486533e-05,2025-12-21
S. Skinner,8479973,2025020566,5,22.5,4.014353039094587e-06,2025-12-21
A. Silovs,8481668,2025020566,5,22.5,1e-06,2025-12-21
J. Dobes,8482487,2025020566,8,22.5,1.9260590573000336e-05,2025-12-21
J. Quick,8471734,2025020567,3,22.5,1.1410766143971074e-05,2025-12-21
