full_name,player_id,game_id,team_id,line,p_over,price_over,price_over_median,price_under_median,p_over_mkt,edge_over,p_over_vigless,fair_over_vigless,diff_pp
John Tavares,8475166,2025020123,10,1.5,0.688805385344694,,,,,,,,
Calle Jarnkrok,8475714,2025020123,10,1.5,0.6017044934376665,,,,,,,,
Jason Zucker,8475722,2025020123,7,1.5,0.6495329314409981,,,,,,,,
Scott Laughton,8476872,2025020123,10,1.5,0.5749354518024381,,,,,,,,
Mason Geertsen,8477419,2025020123,7,1.5,0.6443339775737091,,,,,,,,
Max Domi,8477503,2025020123,10,1.5,0.6081669188901095,,,,,,,,
William Nylander,8477939,2025020123,10,1.5,0.6625753437284642,,,,,,,,
Alex Tuch,8477949,2025020123,7,1.5,0.6509594632938158,,,,,,,,
Dakota Joshua,8478057,2025020123,10,1.5,0.656698302032604,,,,,,,,
Sammy Blais,8478104,2025020123,10,1.5,0.6465376040257206,,,,,,,,
Nicolas Roy,8478462,2025020123,10,1.5,0.6423535671940208,,,,,,,,
Steven Lorentz,8478904,2025020123,10,1.5,0.6428106387977828,,,,,,,,
Auston Matthews,8479318,2025020123,10,1.5,0.700248158557439,,,,,,,,
Beck Malenstyn,8479359,2025020123,7,1.5,0.6544779130283247,,,,,,,,
Tage Thompson,8479420,2025020123,7,1.5,0.7113994204391516,,,,,,,,
Justin Danforth,8479941,2025020123,7,1.5,0.6316451500435887,,,,,,,,
Josh Norris,8480064,2025020123,7,1.5,0.5707414525222615,,,,,,,,
Ryan McLeod,8480802,2025020123,7,1.5,0.5710859423396203,,,,,,,,
Peyton Krebs,8481522,2025020123,7,1.5,0.6101097893146715,,,,,,,,
Nicholas Robertson,8481582,2025020123,10,1.5,0.7367580867771195,,,,,,,,
Matias Maccelli,8481711,2025020123,10,1.5,0.6537012511818603,,,,,,,,
Jack Quinn,8482097,2025020123,7,1.5,0.6214125653351392,,,,,,,,
Bobby McMann,8482259,2025020123,10,1.5,0.7265181025139801,,,,,,,,
Josh Doan,8482659,2025020123,7,1.5,0.7675010758627163,,,,,,,,
Matthew Knies,8482720,2025020123,10,1.5,0.6407368695599402,,,,,,,,
Tyson Kozak,8482896,2025020123,7,1.5,0.5840132281924272,,,,,,,,
