full_name,team,game_id,p_over_0.5,p_over_1.5,p_over_2.5,p_over_3.5,player_id
Evgenii Dadonov,NJD,2025020108,0.8849943127251754,0.6362630372498019,0.3672883071055248,0.1733778165760253,8474149
Marcus Johansson,MIN,2025020108,0.8731131298351292,0.6111603410811184,0.3407648957255711,0.1546914249631668,8475149
Marcus Foligno,MIN,2025020108,0.873810741916964,0.6126024541109627,0.3422554742846542,0.1557185408279631,8475220
,,2025020108,0.9002372920732347,0.6702881576517049,0.4052762833748609,0.2016622864956452,8475752
Vladimir Tarasenko,MIN,2025020108,0.892785725692942,0.6533841975270032,0.3861012631481157,0.1871602690297307,8475765
Ondrej Palat,NJD,2025020108,0.8609624329941034,0.586639767730783,0.3160189337443102,0.1380396291730898,8476292
Luke Glendening,NJD,2025020108,0.8668185839445217,0.5983191157549979,0.3276658724074941,0.1457830090298617,8476822
Vinnie Hinostroza,MIN,2025020108,0.8923722456966058,0.6524617236264574,0.3850722432247646,0.1863950208099245,8476994
Connor Brown,NJD,2025020108,0.901007997698697,0.6720675886285039,0.4073304902430441,0.2032432300219382,8477015
Ryan Hartman,MIN,2025020108,0.91333503505681,0.70137804738954,0.442185854498025,0.2308832576982993,8477451
Juho Lammikko,NJD,2025020108,0.8923862473976644,0.6524929354032025,0.3851070309624758,0.1864208697430642,8477996
Timo Meier,NJD,2025020108,0.920967098660354,0.7203902064408434,0.4658690575870068,0.2505534098171045,8478414
Joel Eriksson Ek,MIN,2025020108,0.922985742137698,0.7255393058770585,0.4724362034506846,0.2561372696872298,8478493
Yakov Trenin,MIN,2025020108,0.9064309913344332,0.6847607648579919,0.4221861688090802,0.2148348566484565,8478508
Kirill Kaprizov,MIN,2025020108,0.9178226272673304,0.7124716215014055,0.4558983448997262,0.2421834716088701,8478864
Jesper Bratt,NJD,2025020108,0.8795562996974181,0.6246284333657728,0.354841732736598,0.1645006638851525,8479407
Zack MacEwen,NJD,2025020108,0.9361985365469264,0.7606182393361864,0.5190215807322158,0.2973985916085326,8479772
Cody Glass,NJD,2025020108,0.8686550010242009,0.6020341312726103,0.3314235684745827,0.1483169302830731,8479996
Nico Hischier,NJD,2025020108,0.8677290427690374,0.6001577591091991,0.3295224158026542,0.1470327553656862,8480002
Ben Jones,MIN,2025020108,0.9181810075748073,0.7133679517918163,0.4570192326510858,0.243117940880829,8480259
Paul Cotter,NJD,2025020108,0.8599065647034381,0.5845605269421839,0.3139716861791266,0.1366957964397801,8481032
Nico Sturm,MIN,2025020108,0.8958773855655509,0.6603326556050713,0.3939096498367911,0.1930101773260867,8481477
Matt Boldy,MIN,2025020108,0.8824330830790286,0.6307519876301024,0.3613591368804685,0.1691251038195271,8481557
Jack Hughes,NJD,2025020108,0.9134674958068824,0.7017021086637361,0.4425822576317724,0.2312065205338096,8481559
Arseny Gritsyuk,NJD,2025020108,0.8923862473976644,0.6524929354032025,0.3851070309624758,0.1864208697430642,8481721
Marco Rossi,MIN,2025020108,0.8926168011539976,0.6530071345587855,0.3856804347451392,0.1868471532426776,8482079
Dawson Mercer,NJD,2025020108,0.8627815339560113,0.590240826513746,0.3195832417345994,0.1403915926877033,8482110
Marc McLaughlin,NJD,2025020108,0.9396297311857236,0.7701547788929174,0.5322747758817604,0.3096778864219682,8483397
,,2025020108,0.8894869125817683,0.6460684293368373,0.3779890580628076,0.1811632779093591,8483452
Danila Yurov,MIN,2025020108,0.8919746483859683,0.6515761822126529,0.3840860899564937,0.1856628898028407,8483525
Brian Halonen,NJD,2025020108,0.8970004976580219,0.6628794232434625,0.3967971789669844,0.1951927715145627,8483531
James van Riemsdyk,DET,2025020109,0.9063890624508176,0.6846614423753121,0.4220685296693696,0.2147419675270161,8474037
Patrick Kane,DET,2025020109,0.9044483593544552,0.6800846567324118,0.4166717487269435,0.210499480833316,8474141
Jason Zucker,BUF,2025020109,0.8910547390070008,0.6495329314409981,0.381816910577559,0.183982828017907,8475722
Mason Geertsen,BUF,2025020109,0.8919746483859683,0.6515761822126529,0.3840860899564937,0.1856628898028407,8477419
Andrew Copp,DET,2025020109,0.8775537423770033,0.6204064311610984,0.3503910752440435,0.1613728504081927,8477429
J.T. Compher,DET,2025020109,0.878632498523717,0.6226766746269994,0.3527799436662413,0.1630486473971951,8477456
Dylan Larkin,DET,2025020109,0.8581120819346918,0.5810450127006521,0.3105281078765007,0.1344470456317865,8477946
Alex Tuch,BUF,2025020109,0.8916973600543371,0.6509594632938158,0.383400265448979,0.1851544406614068,8477949
Mason Appleton,DET,2025020109,0.8681966060250556,0.6011044214752279,0.3304807565749121,0.1476795310292171,8478891
Alex DeBrincat,DET,2025020109,0.929134054810861,0.7415543581788171,0.493295885828954,0.2742520333577717,8479337
Beck Malenstyn,BUF,2025020109,0.8932750375994452,0.6544779130283247,0.3873236061970164,0.1880710013294609,8479359
Tage Thompson,BUF,2025020109,0.9173931053848484,0.7113994204391516,0.4545600946468215,0.2410699277327301,8479420
Justin Danforth,BUF,2025020109,0.8828499572830316,0.6316451500435887,0.3623159474385875,0.1698084335551617,8479941
Michael Rasmussen,DET,2025020109,0.9003765152915753,0.6706091589083671,0.405646343093194,0.2019466970111327,8479992
Josh Norris,BUF,2025020109,0.852784976774773,0.5707414525222617,0.3005633557832008,0.1280221279685686,8480064
Ryan McLeod,BUF,2025020109,0.8529647288701648,0.5710859423396203,0.3008934583002938,0.1282330053685006,8480802
Jonatan Berggren,DET,2025020109,0.8796838520515574,0.6248984747799711,0.3551275854258584,0.1647023903793536,8481013
