full_name,player_id,game_id,team_id,line,p_over,price_over,p_over_mkt,edge_over,fair_over,game_date
J. Schwartz,8475768,2025021000,55,0.5,0.768491191848247,142.5,0.41237113402061853,0.35612005782762846,-332,2026-03-07
E. Gudbranson,8475790,2025020995,29,0.5,0.3941744751708145,,,,+154,2026-03-07
T. Hall,8475791,2025020998,12,0.5,0.7456839204648243,120.0,0.45454545454545453,0.2911384659193698,-293,2026-03-07
D. McIlrath,8475795,2025020990,15,0.5,0.2810472703239989,,,,+256,2026-03-07
N. Niederreiter,8475799,2025020996,52,0.5,0.532509536001975,,,,-114,2026-03-07
B. Rust,8475810,2025020993,5,0.5,0.674252967933476,-158.0,0.6124031007751938,0.061849867158282223,-207,2026-03-07
P. Grubauer,8475831,2025021000,55,0.5,0.2697691279037632,,,,+271,2026-03-07
S. Carrick,8475842,2025020992,7,0.5,0.386883701762214,,,,+158,2026-03-07
B. Gallagher,8475848,2025020997,8,0.5,0.5087785180062714,,,,-104,2026-03-07
F. Andersen,8475883,2025020998,12,0.5,0.2142481343748827,,,,+367,2026-03-07
J. Klingberg,8475906,2025020999,28,0.5,0.7247425295658092,174.5,0.36429872495446264,0.36044380461134656,-263,2026-03-07
O. Palat,8476292,2025020999,2,0.5,0.5967386296698877,,,,-148,2026-03-07
D. DeMelo,8476331,2025020996,52,0.5,0.6267480454818274,,,,-168,2026-03-07
A. Forsberg,8476341,2025020997,26,0.5,0.2579618445771183,,,,+288,2026-03-07
N. Seeler,8476372,2025020993,4,0.5,0.5017516373109955,,,,-101,2026-03-07
S. Kuraly,8476374,2025020990,6,0.5,0.6865946467037737,,,,-219,2026-03-07
V. Trocheck,8476389,2025020991,3,0.5,0.6886800068053589,-149.0,0.5983935742971888,0.09028643250817014,-221,2026-03-07
A. Lowry,8476392,2025020996,52,0.5,0.4993787296587851,,,,+100,2026-03-07
N. Cousins,8476393,2025021000,9,0.5,0.7809194979846528,,,,-356,2026-03-07
B. Coleman,8476399,2025020998,20,0.5,0.8144988788682894,,,,-439,2026-03-07
J. Pageau,8476419,2025020999,2,0.5,0.4799619430797374,,,,+108,2026-03-07
M. Reilly,8476422,2025020998,12,0.5,0.5106303750065303,,,,-104,2026-03-07
S. Mayfield,8476429,2025020999,2,0.5,0.5057802543955471,,,,-102,2026-03-07
B. Jenner,8476432,2025020995,29,0.5,0.7904429461439549,145.0,0.40816326530612246,0.3822796808378325,-377,2026-03-07
J. Edmundson,8476441,2025020997,26,0.5,0.4986343238565975,,,,+101,2026-03-07
N. Kucherov,8476453,2025020994,14,0.5,0.9201665895633055,,,,-1153,2026-03-07
J. Huberdeau,8476456,2025020998,20,0.5,0.5885651793821945,,,,-143,2026-03-07
A. Larsson,8476457,2025021000,55,0.5,0.4463956357442439,200.0,0.3333333333333333,0.11306230241091059,+124,2026-03-07
R. Strome,8476458,2025020998,20,0.5,0.3680379627527094,,,,+172,2026-03-07
M. Zibanejad,8476459,2025020991,3,0.5,0.8549052524899049,-225.0,0.6923076923076923,0.1625975601822126,-589,2026-03-07
M. Scheifele,8476460,2025020996,52,0.5,0.6968440572476905,,,,-230,2026-03-07
S. Couturier,8476461,2025020993,4,0.5,0.8216372662849419,,,,-461,2026-03-07
D. Hamilton,8476462,2025020991,1,0.5,0.9194647836463328,-105.0,0.5121951219512195,0.40726966169511325,-1142,2026-03-07
J. Oleksiak,8476467,2025021000,55,0.5,0.4771374211079505,,,,+110,2026-03-07
J. Miller,8476468,2025020991,3,0.5,0.7112569501534012,,,,-246,2026-03-07
J. Armia,8476469,2025020997,26,0.5,0.4767359879829443,,,,+110,2026-03-07
S. Noesen,8476474,2025020991,1,0.5,0.6813583974551582,,,,-214,2026-03-07
P. Danault,8476479,2025020997,8,0.5,0.5515131339500045,,,,-123,2026-03-07
V. Namestnikov,8476480,2025020996,52,0.5,0.6308688727193531,,,,-171,2026-03-07
R. Rakell,8476483,2025020993,5,0.5,0.7480287942848968,-151.5,0.6023856858846919,0.1456431084002049,-297,2026-03-07
C. Miller,8476525,2025020996,52,0.5,0.4252733004590658,,,,+135,2026-03-07
J. Marchessault,8476539,2025020992,18,0.5,0.8882930289026403,120.0,0.45454545454545453,0.43374757435718575,-795,2026-03-07
B. Goodrow,8476624,2025020999,28,0.5,0.6460978709389891,,,,-183,2026-03-07
L. Glendening,8476822,2025020993,4,0.5,0.4567654193584394,,,,+119,2026-03-07
Y. Gourde,8476826,2025020994,14,0.5,0.4667784326924733,,,,+114,2026-03-07
M. Rielly,8476853,2025020994,10,0.5,0.7183122230151853,127.5,0.43956043956043955,0.2787517834547457,-255,2026-03-07
H. Lindholm,8476854,2025020990,6,0.5,0.5155088396281168,150.0,0.4,0.11550883962811676,-106,2026-03-07
B. Skjei,8476869,2025020992,18,0.5,0.4629479594596924,240.0,0.29411764705882354,0.16883031240086888,+116,2026-03-07
T. Pearson,8476871,2025020992,7,0.5,0.5207047447243738,,,,-109,2026-03-07
S. Laughton,8476872,2025020997,26,0.5,0.5299723391498481,,,,-113,2026-03-07
M. Jankowski,8476873,2025020998,12,0.5,0.376402278107173,,,,+166,2026-03-07
O. Määttä,8476874,2025020998,20,0.5,0.4898941573425603,,,,+104,2026-03-07
M. Matheson,8476875,2025020997,8,0.5,0.577788716970152,145.0,0.40816326530612246,0.16962545166402954,-137,2026-03-07
Z. Girgensons,8476878,2025020994,14,0.5,0.5258543317344634,,,,-111,2026-03-07
C. Ceci,8476879,2025020997,26,0.5,0.4170699577516177,,,,+140,2026-03-07
T. Wilson,8476880,2025020990,15,0.5,0.4305297480209863,-150.0,0.6,-0.16947025197901366,+132,2026-03-07
A. Vasilevskiy,8476883,2025020994,14,0.5,0.2109912881463508,,,,+374,2026-03-07
F. Forsberg,8476887,2025020992,18,0.5,0.9151603459754342,-181.0,0.6441281138790036,0.27103223209643057,-1079,2026-03-07
M. Murray,8476899,2025021000,55,0.5,0.2697691279037632,,,,+271,2026-03-07
C. Stephenson,8476905,2025021000,55,0.5,0.3687877713861531,-127.5,0.5604395604395604,-0.19165178905340735,+171,2026-03-07
S. Gostisbehere,8476906,2025020998,12,0.5,0.7756787668456504,-105.0,0.5121951219512195,0.2634836448944309,-346,2026-03-07
J. Korpisalo,8476914,2025020990,6,0.5,0.2621733707764344,,,,+281,2026-03-07
A. Pelech,8476917,2025020999,2,0.5,0.4511780315015439,,,,+122,2026-03-07
J. Martinook,8476921,2025020998,12,0.5,0.4723058185687604,,,,+112,2026-03-07
D. Severson,8476923,2025020995,29,0.5,0.4788256710776779,180.0,0.35714285714285715,0.12168281393482072,+109,2026-03-07
T. Blueger,8476927,2025020996,23,0.5,0.6526751578844225,,,,-188,2026-03-07
J. McCabe,8476931,2025020994,10,0.5,0.60434052627394,,,,-153,2026-03-07
A. Stolarz,8476932,2025020994,10,0.5,0.2460455056313992,,,,+306,2026-03-07
C. Hellebuyck,8476945,2025020996,52,0.5,0.2514989041013498,,,,+298,2026-03-07
J. Slavin,8476958,2025020998,12,0.5,0.7024946608128253,,,,-236,2026-03-07
J. Anderson,8476981,2025020997,8,0.5,0.3338051073136863,,,,+200,2026-03-07
L. Ullmark,8476999,2025021000,9,0.5,0.2233921417155737,,,,+348,2026-03-07
C. Brown,8477015,2025020991,1,0.5,0.6366679497906907,107.5,0.4819277108433735,0.15474023894731725,-175,2026-03-07
A. Kerfoot,8477021,2025020995,68,0.5,0.4385983595112826,,,,+128,2026-03-07
L. O'Brien,8477070,2025020995,68,0.5,0.3266265082275278,,,,+206,2026-03-07
K. MacDermid,8477073,2025021000,9,0.5,0.2233921417155737,,,,+348,2026-03-07
S. Sabourin,8477149,2025020994,14,0.5,0.2967808487538383,,,,+237,2026-03-07
N. Schmidt,8477220,2025020995,68,0.5,0.3772330805784898,,,,+165,2026-03-07
C. Clifton,8477365,2025020993,5,0.5,0.3244880691654589,,,,+208,2026-03-07
C. Soucy,8477369,2025020999,2,0.5,0.4281428697026149,,,,+134,2026-03-07
J. Brodzinski,8477380,2025020991,3,0.5,0.3928501296158796,,,,+155,2026-03-07
J. Guentzel,8477404,2025020994,14,0.5,0.6819424493001027,-226.0,0.6932515337423313,-0.011309084442228556,-214,2026-03-07
A. Duclair,8477407,2025020999,2,0.5,0.5731182816911659,,,,-134,2026-03-07
O. Bjorkstrand,8477416,2025020994,14,0.5,0.7701465718183947,105.0,0.4878048780487805,0.28234169376961427,-335,2026-03-07
J. Saros,8477424,2025020992,18,0.5,0.2238143120457995,,,,+347,2026-03-07
M. Wood,8477425,2025020995,29,0.5,0.3986771544403687,,,,+151,2026-03-07
N. Paul,8477426,2025020994,14,0.5,0.461077879762872,,,,+117,2026-03-07
R. Graves,8477435,2025020993,5,0.5,0.5388146137501252,,,,-117,2026-03-07
W. Carrier,8477478,2025020998,12,0.5,0.5922504394889466,,,,-145,2026-03-07
E. Comrie,8477480,2025020996,52,0.5,0.2514989041013498,,,,+298,2026-03-07
B. Pesce,8477488,2025020991,1,0.5,0.4077223032589552,,,,+145,2026-03-07
E. Lindholm,8477496,2025020990,6,0.5,0.6153952827894128,-149.5,0.5991983967935872,0.016196885995825583,-160,2026-03-07
S. Monahan,8477497,2025020995,29,0.5,0.7928437335085778,110.0,0.47619047619047616,0.3166532573181017,-383,2026-03-07
R. Ristolainen,8477499,2025020993,4,0.5,0.5045693515524701,,,,-102,2026-03-07
B. Horvat,8477500,2025020999,2,0.5,0.8084904381881916,-189.0,0.6539792387543253,0.15451119943386626,-422,2026-03-07
M. Domi,8477503,2025020994,10,0.5,0.560864471350418,156.5,0.3898635477582846,0.17100092359213337,-128,2026-03-07
J. Morrissey,8477504,2025020996,52,0.5,0.6580505315838581,-160.0,0.6153846153846154,0.04266591619924265,-192,2026-03-07
A. Wennberg,8477505,2025020999,28,0.5,0.5082309948142584,100.0,0.5,0.008230994814258374,-103,2026-03-07
R. Pulock,8477506,2025020999,2,0.5,0.4935497151949466,,,,+103,2026-03-07
N. Zadorov,8477507,2025020990,6,0.5,0.4803219012875784,,,,+108,2026-03-07
A. Mantha,8477511,2025020993,5,0.5,0.7420835506683979,-137.5,0.5789473684210527,0.16313618224734527,-288,2026-03-07
J. Hanley,8477810,2025020998,20,0.5,0.3347583875541245,,,,+199,2026-03-07
C. Sheary,8477839,2025020991,3,0.5,0.4353586345012252,,,,+130,2026-03-07
T. van Riemsdyk,8477845,2025020990,15,0.5,0.3953229107098771,,,,+153,2026-03-07
G. Hathaway,8477903,2025020993,4,0.5,0.3730310177702065,,,,+168,2026-03-07
F. Gaudreau,8477919,2025021000,55,0.5,0.4386322093767577,,,,+128,2026-03-07
H. Fleury,8477938,2025020996,52,0.5,0.341810784382153,,,,+193,2026-03-07
W. Nylander,8477939,2025020994,10,0.5,0.9388342905759496,-225.0,0.6923076923076923,0.2465265982682573,-1535,2026-03-07
N. Ehlers,8477940,2025020998,12,0.5,0.7602744838783994,-149.0,0.5983935742971888,0.1618809095812106,-317,2026-03-07
K. Fiala,8477942,2025020997,26,0.5,0.6871505075546518,,,,-220,2026-03-07
T. Sanheim,8477948,2025020993,4,0.5,0.3954482979346813,210.0,0.3225806451612903,0.07286765277339097,+153,2026-03-07
A. Tuch,8477949,2025020992,7,0.5,0.8352570868432082,-181.0,0.6441281138790036,0.1911289729642046,-507,2026-03-07
T. DeAngelo,8477950,2025020999,2,0.5,0.6147020036681046,140.0,0.4166666666666667,0.19803533700143788,-160,2026-03-07
N. Schmaltz,8477951,2025020995,68,0.5,0.751823524374465,-149.0,0.5983935742971888,0.15342995007727622,-303,2026-03-07
J. McCann,8477955,2025021000,55,0.5,0.8552522101623421,-166.5,0.624765478424015,0.23048673173832712,-591,2026-03-07
D. Pastrnak,8477956,2025020990,6,0.5,0.8971675196225365,-320.0,0.7619047619047619,0.13526275771777463,-872,2026-03-07
A. Kempe,8477960,2025020997,26,0.5,0.9018225178448118,-230.0,0.696969696969697,0.2048528208751148,-919,2026-03-07
T. Demko,8477967,2025020996,23,0.5,0.2538442755668229,,,,+294,2026-03-07
