population,candidate_id,metric,date_clusters,bootstrap_draws,point_delta_joint_minus_champion,ci95_low,ci95_high,fraction_draws_favoring_champion_retention,unadjusted_two_sided_bootstrap_p,seed
FROZEN_2025_VALIDATION,S2_10,mae,185,10000,-0.0006605398332245281,-0.0020815722298117853,0.0008077098226095216,0.1888,0.3776,20260831
FROZEN_2025_VALIDATION,S2_10,crps,185,10000,-0.00011774693817210433,-0.0009867043315065535,0.000769835467219233,0.4026,0.8052,20260831
FROZEN_2025_VALIDATION,S2_10,brier,185,10000,2.892054703176147e-06,-9.835146151366669e-05,0.00010692153263306287,0.5317,0.9366,20260831
FROZEN_2025_VALIDATION,S2_10,log_loss,185,10000,3.7401828521767815e-06,-0.00022328339586018422,0.00023558547100416358,0.5204,0.9592,20260831
FROZEN_2025_VALIDATION,S2_11,mae,185,10000,0.019728002443032012,0.005804648712866052,0.033434305137898045,0.9973,0.0054,20260831
FROZEN_2025_VALIDATION,S2_11,crps,185,10000,0.007038924789430147,-0.0012616806025507847,0.01496745782519539,0.9527,0.0946,20260831
FROZEN_2025_VALIDATION,S2_11,brier,185,10000,0.0009124814514964299,-5.107572878455105e-05,0.0018487398406543932,0.968,0.064,20260831
FROZEN_2025_VALIDATION,S2_11,log_loss,185,10000,0.0018377246950933553,-0.0003165801599973363,0.00391447555542708,0.9526,0.0948,20260831
FROZEN_2025_VALIDATION,S2_12,mae,185,10000,0.03383081554485386,0.01555234312394225,0.0518364188781099,0.9999,0.0002,20260831
FROZEN_2025_VALIDATION,S2_12,crps,185,10000,0.015807792793334906,0.004699165314010715,0.026599745747006968,0.9976,0.0048,20260831
FROZEN_2025_VALIDATION,S2_12,brier,185,10000,0.00197689429681406,0.000648662502166934,0.0032561354059699025,0.9988,0.0024,20260831
FROZEN_2025_VALIDATION,S2_12,log_loss,185,10000,0.004181140808969411,0.001219999429340459,0.0070463245450961874,0.9976,0.0048,20260831
FROZEN_2025_VALIDATION,S2_13,mae,185,10000,0.02753493479964675,0.012231586817939049,0.04263022506230626,0.9998,0.0004,20260831
FROZEN_2025_VALIDATION,S2_13,crps,185,10000,0.011458048233719955,0.0022242692272253684,0.02019600752709829,0.9936,0.0128,20260831
FROZEN_2025_VALIDATION,S2_13,brier,185,10000,0.0013710887734051,0.00029649069490215996,0.002405544398973214,0.9938,0.0124,20260831
FROZEN_2025_VALIDATION,S2_13,log_loss,185,10000,0.002835962870668188,0.00041374354573944024,0.0051601038317511385,0.9892,0.0216,20260831
FROZEN_2025_VALIDATION,S2_14,mae,185,10000,0.09862478949435263,0.06896325883125604,0.1285891268828536,1.0,0.0,20260831
FROZEN_2025_VALIDATION,S2_14,crps,185,10000,0.021769716966249082,0.003802988949793831,0.03913519756048816,0.9905,0.019,20260831
FROZEN_2025_VALIDATION,S2_14,brier,185,10000,0.0027775655213266603,0.000653399974492448,0.004901864393236273,0.9941,0.0118,20260831
FROZEN_2025_VALIDATION,S2_14,log_loss,185,10000,0.005812750231067243,0.0011111536725141359,0.010509942527073974,0.9913,0.0174,20260831
FROZEN_2025_VALIDATION,S2_15,mae,185,10000,0.02433655979719145,0.005680449986464231,0.04299569233617745,0.9943,0.0114,20260831
FROZEN_2025_VALIDATION,S2_15,crps,185,10000,-0.008107908729411308,-0.019099996960230046,0.0029803043928638123,0.0725,0.145,20260831
FROZEN_2025_VALIDATION,S2_15,brier,185,10000,-0.0008507463480545963,-0.0021365056366791976,0.000460864737900389,0.0971,0.1942,20260831
FROZEN_2025_VALIDATION,S2_15,log_loss,185,10000,-0.0020590906869632905,-0.004934441523669581,0.0008799008093922216,0.0797,0.1594,20260831
2026_SEQUENTIAL_EARLY,S2_01,mae,98,10000,-0.002990867653094234,-0.0075961797830910414,0.001856342187041415,0.1115,0.223,20260831
2026_SEQUENTIAL_EARLY,S2_01,crps,98,10000,-0.004707492539203172,-0.007606257993244249,-0.0017061862233224425,0.0014,0.0028,20260831
2026_SEQUENTIAL_EARLY,S2_01,brier,98,10000,-0.0005425406556688764,-0.0008823915842244326,-0.00019372610271134143,0.0013,0.0026,20260831
2026_SEQUENTIAL_EARLY,S2_01,log_loss,98,10000,-0.0012705425911430524,-0.0020443625192480296,-0.0004734209065429537,0.001,0.002,20260831
2026_SEQUENTIAL_EARLY,S2_02,mae,98,10000,-0.007206278491953755,-0.013148595464411987,-0.0012380023089119732,0.0089,0.0178,20260831
2026_SEQUENTIAL_EARLY,S2_02,crps,98,10000,-0.002714057371418472,-0.006371964047302536,0.0009702104904317462,0.0713,0.1426,20260831
2026_SEQUENTIAL_EARLY,S2_02,brier,98,10000,-0.0002479986694750609,-0.0006787416948738033,0.0001847623188824342,0.1308,0.2616,20260831
2026_SEQUENTIAL_EARLY,S2_02,log_loss,98,10000,-0.0005160808558484293,-0.0015043105902818716,0.0004786629207670748,0.1549,0.3098,20260831
2026_SEQUENTIAL_EARLY,S2_03,mae,98,10000,0.00464864729526425,-0.0007590878646403863,0.009963645219139271,0.9556,0.0888,20260831
2026_SEQUENTIAL_EARLY,S2_03,crps,98,10000,-0.00018579960198766545,-0.0031955985811185977,0.0026067065262380313,0.4555,0.911,20260831
2026_SEQUENTIAL_EARLY,S2_03,brier,98,10000,7.64267057265214e-06,-0.00037283545236029377,0.0003662584899861147,0.5177,0.9646,20260831
2026_SEQUENTIAL_EARLY,S2_03,log_loss,98,10000,-3.981849748722488e-05,-0.0009002137220625132,0.0007670012765073694,0.4691,0.9382,20260831
2026_SEQUENTIAL_EARLY,S2_04,mae,98,10000,0.0038090456745652236,-0.014094758162123236,0.022229277286411303,0.6583,0.6834,20260831
2026_SEQUENTIAL_EARLY,S2_04,crps,98,10000,0.018672914638670397,0.007443311716913884,0.030512234116195976,0.9994,0.0012,20260831
2026_SEQUENTIAL_EARLY,S2_04,brier,98,10000,0.0020429340048409546,0.000728629535980965,0.0034238061391247236,0.9987,0.0026,20260831
2026_SEQUENTIAL_EARLY,S2_04,log_loss,98,10000,0.004603238774029823,0.0015989188961663264,0.00775789629012187,0.9986,0.0028,20260831
2026_SEQUENTIAL_EARLY,S2_05,mae,98,10000,-0.0009346846194568224,-0.006876066393132825,0.005393008880052617,0.3873,0.7746,20260831
2026_SEQUENTIAL_EARLY,S2_05,crps,98,10000,-3.2837618276889634e-06,-0.0037310133613288484,0.0038227169916362214,0.502,0.996,20260831
2026_SEQUENTIAL_EARLY,S2_05,brier,98,10000,-4.985061949101776e-05,-0.0004796368784163115,0.00039169870422399943,0.4099,0.8198,20260831
2026_SEQUENTIAL_EARLY,S2_05,log_loss,98,10000,-0.00011366355871323266,-0.0011153463725649924,0.0009130691425736173,0.4128,0.8256,20260831
2026_SEQUENTIAL_EARLY,S2_06,mae,98,10000,0.007592128741029021,0.002881479993969104,0.012341503000469664,0.9995,0.001,20260831
2026_SEQUENTIAL_EARLY,S2_06,crps,98,10000,0.004808281160030732,0.0019139934210100752,0.0077421275856107315,0.9996,0.0008,20260831
2026_SEQUENTIAL_EARLY,S2_06,brier,98,10000,0.0004924570859660536,0.00014196436384870313,0.0008425417667138086,0.9974,0.0052,20260831
2026_SEQUENTIAL_EARLY,S2_06,log_loss,98,10000,0.0010867673996268158,0.00028124970403892424,0.0018948067639535434,0.9961,0.0078,20260831
2026_SEQUENTIAL_EARLY,S2_07,mae,98,10000,-0.003972256561216493,-0.00857024647251772,0.0005237471448355973,0.0426,0.0852,20260831
2026_SEQUENTIAL_EARLY,S2_07,crps,98,10000,-0.002671389487431699,-0.005813209239464716,0.0003800378555654458,0.0428,0.0856,20260831
2026_SEQUENTIAL_EARLY,S2_07,brier,98,10000,-0.00035159220416877555,-0.0007222842387402487,3.92678934673909e-06,0.0268,0.0536,20260831
2026_SEQUENTIAL_EARLY,S2_07,log_loss,98,10000,-0.0008300610320186868,-0.0016790924623509378,-4.801267912897858e-06,0.024,0.048,20260831
2026_SEQUENTIAL_EARLY,S2_08,mae,98,10000,0.0006224132354631099,-0.002479089441349864,0.003764828714139852,0.644,0.712,20260831
2026_SEQUENTIAL_EARLY,S2_08,crps,98,10000,-0.00015901499471045348,-0.0020343179638060756,0.0017024634506399513,0.4311,0.8622,20260831
2026_SEQUENTIAL_EARLY,S2_08,brier,98,10000,-1.4140768411536351e-06,-0.00023345967577384895,0.0002253227878016671,0.4929,0.9858,20260831
