candidate_id,features_pipe,population,mean_signed_delta,mean_absolute_delta,median_absolute_delta,p90_absolute_delta,maximum_absolute_delta
S2_01,home_offense|away_offense,FROZEN_2025_VALIDATION,0.03240026246774496,0.08375104179861327,0.06833792216436585,0.17695823322285306,0.382637857468076
S2_01,home_offense|away_offense,2026_SEQUENTIAL_EARLY,0.032568629860227676,0.07166814302860969,0.06131134601615251,0.15023486393488383,0.33734842235429774
S2_01,home_offense|away_offense,2026_LATE_HOLDOUT,0.0288557941018948,0.06576188131404125,0.054050471036197756,0.1392246115008188,0.21518138157175315
S2_01,home_offense|away_offense,PROSPECTIVE_AUG17_28_CLEAN_RAW,0.03256249477970178,0.06995487760996977,0.06131816902809639,0.1376718253677267,0.18513064257374445
S2_01,home_offense|away_offense,ALL_GOVERNED_EVALUATION,0.03209507919037837,0.07782678178688664,0.06450369494093344,0.16536596860406727,0.382637857468076
S2_02,home_prevention|away_prevention,FROZEN_2025_VALIDATION,-0.02469146928021233,0.0896238563987127,0.08034184950567891,0.16525501050860292,0.43682349441299806
S2_02,home_prevention|away_prevention,2026_SEQUENTIAL_EARLY,-0.024125170637774945,0.08690552550791893,0.07913298066499674,0.16428136333384735,0.4061841724950508
S2_02,home_prevention|away_prevention,2026_LATE_HOLDOUT,-0.022609239269461928,0.0865626524575664,0.07551867296647607,0.1495473708691998,0.4250310256842518
S2_02,home_prevention|away_prevention,PROSPECTIVE_AUG17_28_CLEAN_RAW,-0.01759539778817742,0.08465609903218797,0.07085799333654741,0.1538143615194576,0.36618600079182073
S2_02,home_prevention|away_prevention,ALL_GOVERNED_EVALUATION,-0.024054079006729116,0.0883240140802054,0.07926180713641351,0.16367144298600533,0.43682349441299806
S2_03,home_starter_ra9|away_starter_ra9,FROZEN_2025_VALIDATION,0.012757512688283023,0.05899478421684844,0.04294817043604571,0.12171005385496728,0.8702240674911135
S2_03,home_starter_ra9|away_starter_ra9,2026_SEQUENTIAL_EARLY,0.02012670502516545,0.05671007705868132,0.04226598710748242,0.1136625553116204,0.8440247033601338
S2_03,home_starter_ra9|away_starter_ra9,2026_LATE_HOLDOUT,0.02076325263590195,0.0517298794118552,0.041613540420566864,0.11026447466137784,0.2475643794057163
S2_03,home_starter_ra9|away_starter_ra9,PROSPECTIVE_AUG17_28_CLEAN_RAW,0.018090558075982515,0.05393101290067386,0.04003875541882573,0.11295646750155797,0.38516474877746987
